reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOHj6wnb2WazIa-ptaQXRlGRi0N_wIOWR4W0D3LZP8wbgE7CPjc_0SwsYnf7dtcFYR0Ra_KH9z_8vejyH18,米川順子,https://play-lh.googleusercontent.com/a/AATXAJzq9wVryvyHiwkOytondwS_dbEGs9Z4f4LgHxgO=mo,バズビデオを見て、感動を😆💕✨ありがとう。,5,0,14.1.0.02,2021-12-15 19:25:30,,
gp:AOqpTOHleVi2fplVpv-_AaLaV1p8dFeKp_E4MS4PaEPiN2l0SjFHUcFFX6pZtQpGY0z1eSzJSlfpPL16npyg58o,ユリリマリリ,https://play-lh.googleusercontent.com/a/AATXAJzhezgF0YG4iDkbHFrl_DUPMZxW66TCgXXHZxkH=mo,内容が残酷で異常な人が多い,1,0,14.1.0.02,2021-12-15 12:28:09,,
gp:AOqpTOHG7OilvQXph0jtc4iDjo7R21VBBUHIVQMDipRDrnl1Y25QM1EbZbYKgpnjWvbIxmF3eHenMI1_YCblJ8o,松田晴彦,https://play-lh.googleusercontent.com/a/AATXAJwBH2qWnkFfKoA80BCqMp5bz-1uTJTNrtxl4bPh=mo,分かりづらい,2,0,,2021-12-15 11:09:50,,
gp:AOqpTOGWvT3vTfeI1e7SwptfeoNFT1PdjVM0LZP5AsGfiHdm5emUZy6K2zB3RszO3YMbkr-9MbyZSgc3QWwjuCw,きつねとたぬき,https://play-lh.googleusercontent.com/a-/AOh14GhB1RbWt_maulnLdAiZOKcAywuPhMi1zbEKTXPC,ばず29さいって人が投稿してる動画すべて虚偽動画なのでアカウント削除と動画削除して欲しい。あるだけで大迷惑です。二度と登録し直せないよう個体識別番号で縛ってください。お願いします。,1,0,,2021-12-14 15:16:33,ご不快な思いをさせてしまい、申し訳ございません。アプリでフェイクニュースを発見された場合、動画の右上端にある【…】をタップいただけましたら【レポート】がございます。そこから【虚偽ニュース】をタップしご報告いただけましたら幸いです。今後とも引き続きよろしくお願いいたします。,2021-12-17 11:54:16
gp:AOqpTOGmT_BXovqXf45SvTMraM_uRefEzIzRdw_lNn0iSeCUYRcsHiHS4hKmmMZxH5d__mbDGI-Pngh8ZD3oyJ4,masako yamamoto,https://play-lh.googleusercontent.com/a/AATXAJyFpQr-Gpt-FmL6C1KVtoitKFXRt7zPF-fmrd0=mo,運命の渦を見てたななんと涙が沢山出てこんな事あるんだって思いながら見てました 親も可哀想ですが子供達もそれから彼氏彼女の関係もびっくりです でも最後は円満になって嬉しいです,5,0,,2021-12-14 08:02:43,楽しくご利用頂き、大変嬉しく存じます。頂いた貴重なご意見やご感想は、今後の運営の参考とさせていただきます。 今後とも引き続き、どうぞよろしくお願い申し上げます。,2021-12-17 11:57:30
gp:AOqpTOFqRw99gFmXUWEN_fPdO9ZSamqrsti4A_BbLHpA7hMcfhv9eDHWBWIFGR66BJCtGuLfab0BHGe8JtaHCDU,小村えり,https://play-lh.googleusercontent.com/a/AATXAJyTkTU06lqIsmVvDkAXcodXQQn97ZXptvf5sknj=mo,素晴らしい,5,0,,2021-12-14 06:07:35,,
gp:AOqpTOHg-o5NkGWAuz0qMcE16FgV11LuXbMPJovojVsyKcmtisHv_3wXFBL31XW9j4htlPyN2w83sB_xR4JF66s,コトブキツトム,https://play-lh.googleusercontent.com/a-/AOh14Gg671AhmOEQMFKBnkiYaneFQ5Jxi_1AUBXxUYU2,面白いよね🌠,4,161,14.0.1.01,2021-12-14 02:04:33,,
gp:AOqpTOE6eV7dZFsrFVLBfXkPeVD8TZ5iJcRz-qHYOVrKJwAbPgVcLWT9wKkdAG69syizYG6kOHXYWdpgd1k-Wto,森下博文,https://play-lh.googleusercontent.com/a/AATXAJxhIEBf3XzBpmNX-Pv9Byz8062e6GGo2Vt86xND=mo,いいうた,5,0,14.0.1.01,2021-12-14 00:21:46,,
gp:AOqpTOHxu704IFTAT-UwjitIbdv02iUvfE6x40A2PS7QTdupviGH1AcMmX-2sFAFwz6mYA18qUsFmaKHb0FaMGo,遠藤繁,https://play-lh.googleusercontent.com/a/AATXAJxn8BywEFKutn3xtfZey47K5Y07uzFk1t-NAE_B=mo,楽しんでいます🙆,5,0,14.1.0.02,2021-12-13 15:55:49,,
gp:AOqpTOHcg9gdw3WHDYjk6shx8XDAu9RmGytKCwn9damwC0coniRbsHfp7paTBAj-mBDd1HUeD3htCBC3RzmwaAc,来栖摩耶,https://play-lh.googleusercontent.com/a/AATXAJz2Th3O1Wm8uwvWb4i70KSAn5Np_CCsqdh7TC8g=mo,面白い話し、悲しい話し、イライラする話し等色んな話しがあり、ちょっとした時間に結構楽しめて、いいと思います。　 涙が出る話しを増やして下さい。感動を‼️,4,38,14.0.1.01,2021-12-13 09:37:05,貴重なご意見ありがとうございます。皆様のご期待に添えるように弊社アプリをより一層改善いたしますので、今後とも宜しくお願い申し上げます。,2021-12-17 11:57:47
gp:AOqpTOFIYHCS0xYj6xfD55JMPqzK4BYjV-12-mggKpuQ-bx7FnCm01jljc0M9_5CWtLQaUnSZhtsmEf3Oy9itBk,藤原香代子,https://play-lh.googleusercontent.com/a/AATXAJzKo-90nJ0Krs2aslXtNqmS3HYx3-rXkfGN6KKg=mo,言い記事があって楽しんでいます！,5,0,14.0.1.01,2021-12-13 01:45:15,,
gp:AOqpTOG0zgkPfgxD1k-a4tGxIq63iuQtz5c5j7luW0fFO_SWnjD5y3E8RoORxiudlOtmpIeOWtQZXtQlHnnmcpA,梁瀬治,https://play-lh.googleusercontent.com/a/AATXAJwP8s1oLU7FXCQZO9fnqe49hxg9aca9ff5YEfFI=mo,楽しい。,5,0,14.0.1.01,2021-12-12 22:04:31,,
gp:AOqpTOF7dS1QYOUba_BwDzrvW78K1AdQx6UztOnew0yJeyYrBN2sTWKDAJruIgvFrYQmYLs2JEYDPbl6NlXHJWo,ふぉぼすだいもす,https://play-lh.googleusercontent.com/a-/AOh14Gg64_Bk2THiZlyl3DWEWE4PGWKku0MmW_8jZvYupw,あれ？。前に星１で入れたレビュー消されてる？。じゃまた書くね。トップバズの中で動画流れてる時は結構面白かったけどバズビデオに別れてから観たら………ホントに面白い動画が無い！！。興味あるジャンル設定しても。見出しのタイトルだけ面白そうだけど見るとガッカリ。すぐにアンインストールしました。タイトルで釣るのやめて欲しい。 通報も何度もしたけどきりがなくです。まあそういうのを挙げる奴のせいだけど。,1,3,,2021-12-12 20:15:32,"
ご不快な思いをさせてしまい、申し訳ございません。アプリで釣りタイトルを発見された場合、動画の右上端にある【…】をタップいただけましたら【通報する】ボタンがございます。そこから【釣りタイトル】をタップしご報告いただけましたら幸いです。今後とも引き続きよろしくお願いいたします。",2021-06-11 19:56:50
gp:AOqpTOHc0qRBTM-eF3RNWF6p_VeyqjOb6pQYODrjDYgAP85SyBFJOy8ufyDmC0X0Wcv4pe2KSybvvqMQXxmaukI,杉浦敏明,https://play-lh.googleusercontent.com/a/AATXAJzHRJHyHsI6oKYThaKCT0BdENFc3KwOAUah52C7=mo,最高です。これからも今のかたち 今のままで ヨロシク たのみます。いつも 楽しみです,5,0,14.0.1.01,2021-12-12 19:36:18,楽しくご利用頂き、大変嬉しく存じます。頂いた貴重なご意見やご感想は、今後の運営の参考とさせていただきます。 今後とも引き続き、どうぞよろしくお願い申し上げます。,2021-12-17 11:58:05
gp:AOqpTOGHqGonTl3dH9HCiMiny2SF5w8neLp-HfG2SRsZJpponCDyq0JrLiixYIwgOa-ELj51bhsU8Bl24kNsQmU,西原哲太,https://play-lh.googleusercontent.com/a-/AOh14Gisj1JzAoKMRuX2YUTDF4MnR3Hrm82gq-gQxt5w,大変ありがたい動画です！星5個以上の価値あり。,5,0,14.0.1.01,2021-12-12 14:05:13,楽しくご利用頂き、大変嬉しく存じます。頂いた貴重なご意見やご感想は、今後の運営の参考とさせていただきます。 今後とも引き続き、どうぞよろしくお願い申し上げます。,2021-12-17 11:58:11
gp:AOqpTOEx1l96Uf0mHeZwtqS_3XfeOxAt0CkIIuy7ukN5laFvsV90L8FpQahODNyxrsmHj3_ZbaX8d1TxYB71iQI,大西令子,https://play-lh.googleusercontent.com/a/AATXAJxgb0vvewMbrtNV73kZgtJBXZ-9syADlkv9oZ4s=mo,いい話を聞かせてくれる 心があったかくなるよね❤️,4,0,14.0.1.01,2021-12-12 13:53:14,,
gp:AOqpTOGoiIOU_kuc5XTX1KamBXykvUo_HztnXdbGJhgicyYreFq06EorXzfpOixYNHwmm7d6m65K6n3iDMLLsf8,滝沢研一郎,https://play-lh.googleusercontent.com/a/AATXAJyw-S0ZY15j9M61IcVp_dn-iBRyj6tZpf0fE77E=mo,楽しく見てる,5,0,14.0.1.01,2021-12-12 11:19:40,,
gp:AOqpTOEKV22er6wnm2HEmsdSJp2LdJfLM3DqOLJiaxulAbNyWf8n_G3CJcJXH9o4tnkWH03_RHYEnzdGvRr87RQ,おーサンサン,https://play-lh.googleusercontent.com/a/AATXAJzzK9GVv51LR7djbYvtdNKSaJ8fSuFoVu4oJVq7=mo,渋野日向子ちゃんは本当に応援したい選手です👍🤗🤗🤗🤗,5,0,14.0.1.01,2021-12-12 10:28:09,,
gp:AOqpTOE8ZZYAkSyVBWi_zBNFiCbPUhY9bKDpQfD0e1qszpMvwbZQLlntQTxIoAZvwNxa2oj6Np-TpE-K60uNYkM,武田健吾,https://play-lh.googleusercontent.com/a/AATXAJzFLN9Xq0_D3pIAAhT65Th4vnINWWs4uT2G9wy5=mo,楽しいの一言！,5,0,,2021-12-11 23:27:18,,
gp:AOqpTOEU3JzxtUA4iNPzyOvW8NPQKOsSfaJUHUwT9MBrFl3N_2kNvuyEt0knVAplUEx2epYg7xDXlI6dgr8k5FI,立本幸次,https://play-lh.googleusercontent.com/a/AATXAJzZoEw0_-VLoMaLz3-JA62cZeLbdeAytiZhGPuM=mo,ピロキは出てくる時から引っ込む時までとにかくすべてがおもしろい‼️,5,1,14.0.1.01,2021-12-11 21:15:48,,
gp:AOqpTOGKFDIDfOsJULAIQpaQh1iU6EUKznfvhOAFkwh2i2SblG-ze_hZqM_hy24zfkgcyMa-3jbkbVA5sh9mxiQ,横須賀康,https://play-lh.googleusercontent.com/a/AATXAJzms0rhiErD4nOIBe3KNdyt103Ccd855MpiPMj7=mo,出来れば、文化、芸術の分野を増やして、欲しい。,3,0,14.0.1.01,2021-12-11 20:24:30,貴重なご意見ありがとうございます。皆様のご期待に添えるように弊社アプリをより一層改善いたしますので、今後とも宜しくお願い申し上げます。,2021-12-17 12:51:34
gp:AOqpTOHeboFq8H5D98NZWW1mBND9E3E-dPsABjXP__-OtJTXp8C6SY17v9rkP0Qkdm7UNm2a91KAIYtQQlR7TCQ,３ストーン,https://play-lh.googleusercontent.com/a-/AOh14GgKeeaIMTbNfG1eh5jnRhGyI5QgNoRIrfyVSI66,ライブ配信止めてくれって何回言っても改善しない運営｡いちいちブロックするのマジ大変なんだよ！ 楽しく見てコメントしてたけどいくら言っても聞きゃしねぇからアンストしたわ｡目立ちたがりのブスの動画なんぞ見たかねぇっての!! 見たい奴だけ見れるシステムにすりゃ良いじゃねぇか｡長年愛用してたけどユーザーの言う事聞かねぇ運営が配信してんならもう見ねぇよ｡,1,1,13.0.1.01,2021-12-11 18:28:45,いつもBuzzVideoをご利用いただき、誠にありがとうございます。ご意見いただいた点含め、これからも皆様のご期待に添えるように努力してまいります。引き続きよろしくお願いいたします。,2021-12-17 11:59:12
gp:AOqpTOF-J95IO41dMAwc6iw2txI8quWuuDNAhTMgoDnTBqOfiHSrcSswfN8xpYseGHVGHzmOmY8bZAJN9Vkuic0,福田栄,https://play-lh.googleusercontent.com/a/AATXAJyPeC1MIET7EFdKaIAqFKSySUMqMVDyOXP2-CpK=mo,いろいろと楽しい内容で非常識に楽しいですね。,5,0,14.0.1.01,2021-12-11 16:30:23,,
gp:AOqpTOE4vjs5yQgYNOPaRzX61zTUUXjEDREyag8gd3-jIm7-gdyEh9YlZie4usmE8g-fj_ED-b-K9e-4fSZ-7qI,寺本尚樹,https://play-lh.googleusercontent.com/a/AATXAJxr9GqQruDdMOjogvHcIKcqzarZmIm5Boj_7Mxb=mo,空き時間に楽しませて頂いてます。 ただ、間違えて下にスクロールしてしまって 前の画面に戻りたいのにもどれなく困ることがよくあります。いい方法ありますか?,4,62,14.0.1.01,2021-12-11 14:23:25,貴重なご意見ありがとうございます。 お客様のご期待に添えるように 弊社アプリをより一層改善いたしますので、 今後とも宜しくお願い申し上げます。,2021-12-17 11:59:41
