reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOFcryjc3GD3RnWNIz2mCBYgZMqiaTtWIb3PVkNFWHHPaLJHkVkN7uB4bX1LhwQWReDsmUZCxUm3B769WDE,ゆう,https://play-lh.googleusercontent.com/a-/AOh14GgQgLrqz14rDv5GH3Vrx0zUkpkz7ZNUtjx5VgTQ,ゴミ,1,1,,2021-12-15 20:35:20,,
gp:AOqpTOGt6OwZA7m0EEydp5j8tS_r9rAGcPXt774fmRN3afRg79ffVZtODGCiqJAas1SLab11pAx11UwY_xzhBVU,中村博子,https://play-lh.googleusercontent.com/a/AATXAJxyaGTy2brW19-UL4YWe7o0i2HOzFd0YPRGq6Qc=mo,動作中って何ですか？,1,1,1.4.1,2021-12-15 03:59:59,,
gp:AOqpTOF9IZxSi3mk5pHzM9UfJwbG4zhOCO4rugXC5vmiU_O2KNoF6xJh1X-UX1RX6VP6eVwplahplua6RU7yIXw,ミズウミ,https://play-lh.googleusercontent.com/a-/AOh14GjBpeawXKQ3FKiTRlW9xaXtLv5OJqIyVoesH6rMBA,中抜きウハウハwww,1,1,,2021-12-15 02:34:57,,
gp:AOqpTOEHWVk5eXpP7wp2GJV1XaJQQGFYm7XeUt8a5C6xTVuX2nAhdRNuAM75FPzMrlOnqTcL0C9OQpFeCQIzLYA,松浦利彰,https://play-lh.googleusercontent.com/a/AATXAJwXqIBS36nLnmfjhRBzaxzMs7WYXTmsDkhVehmi=mo,私は、勝つまでは欲しがりません。の世代です。第3☆☆とならないように躾てゆきます。toshi,5,0,,2021-12-14 20:38:57,,
gp:AOqpTOFQ8I36kNDv9NRDEoeDv66QRUzhSFy5PqZlgDc97wcfvW-Wp0y5pyaGjrrgZRYMofLmMYVYtMWEZyfXvCA,川口忠,https://play-lh.googleusercontent.com/a-/AOh14GjmK7BzX0w3FvuzM6P14AWmbaqIZAJjCgdUNEWY,つがからもあるの,5,0,,2021-12-14 19:21:01,,
gp:AOqpTOFejZ0E0YbRk_dATPcuae-OL48rGxVOnjZy81bT6rs39XuUr5-WQ4Ykz4SW_ghCavLFVY6uC6tXUXae0bg,toni,https://play-lh.googleusercontent.com/a/AATXAJzDOUr9d1uuHpKUYA41inEpVtzKeZyCZVXsTWZ3Ow=mo,酷い出来です。 テストしてますか？,1,2,,2021-12-14 12:29:44,,
gp:AOqpTOFGVFA6Hl-hB5EQ9i7pRsl9fYJm2yO3sCM7Sdw0Sc2nCLYA6EL1D2gnnGtDzXQ6ctuhUeeeckW1q9SMgic,佐藤房雄,https://play-lh.googleusercontent.com/a/AATXAJzszWZ-3VwAfflOXdCwl_40t5md7kOSfVp0HSjJ=mo,使いにくい。更新されない,1,2,1.2.6,2021-12-14 10:20:28,,
gp:AOqpTOHfisRJD-FS0FdnexDrI0i6voWC7HJP6gak6MkM_nizvboqUkie1Ddnue-fp0bw9HH0iAf-oxmG0Wp3RMQ,小枝邦治,https://play-lh.googleusercontent.com/a/AATXAJy4UQB0K4QWq-46B3oQJ_oAXgvHrMETC7NijkMA=mo,これからも、続けてください。,5,0,1.2.6,2021-12-14 09:04:17,,
gp:AOqpTOGT4WURvlth8Z4U5dugzDUCFLkktZ7hDB4URtm_54RDUvR0ucWY9gELyj1_hnf_88wdyFZ2YP_Q8KjlAKg,ケンタロウ,https://play-lh.googleusercontent.com/a-/AOh14Gj36SM2tWiitSvDbtFkNjO-ZSk0VwBB807xXIs8gJs,いつもありがとうございます❗😷🙏,4,0,1.4.1,2021-12-13 06:12:35,,
gp:AOqpTOFGhUpRppI2H0kyuJ58rwiHo4vOV6QcbP5LIurCTdFxsXd7s1_2EZw-bRHKVqT7ySqpaednWZpqyUF2S4Q,rop can,https://play-lh.googleusercontent.com/a/AATXAJyaAs9mImiO_sQKPwYQ5H5MOblkc-ieutFf7JM8=mo,ライブやイベント参加のためのアプリ。それ以上の機能はありません。,1,3,1.2.6,2021-12-13 01:55:23,,
gp:AOqpTOFr5Sn0F51jdaXSP5GHO2erKJNnc3qlCCsCFOASPo-EQ-VPP1uCIarHWfVGIuEYqDrtvIym8hN4GSzkVPE,仁也斉藤,https://play-lh.googleusercontent.com/a/AATXAJwUKB3E0yMBSphyatM1mOYeWUxfLuepuCMQeMUj=mo,効果があるのか全く分からない,1,2,1.4.1,2021-12-12 20:52:46,,
gp:AOqpTOGDzUQdxuJbPH6Nn6OUDkk3Ovm12gFVVNbTFKKSOdr4Mo297JZCYQBgB78CtTj1Mt8zEaoESJTIOtWCrx4,t o,https://play-lh.googleusercontent.com/a-/AOh14GiI13fMcmXW_7eoZUSpdrC2ivc51OD7uXRvXhLBhgo,公益性があり、個人向けアプリ活用という手法はよかった。 品質保証できるようソフトウェアを管理できるようになってほしい。,5,21,1.4.1,2021-12-12 14:55:17,,
