reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOH1piJE0-3nTroB5y9zVxYgB8M14xRjcJatgH4vafDbgXPAJ59qEOT4tjcI3W_spt9nqyjiVwXSbM8z-A,kaori seito,https://play-lh.googleusercontent.com/a-/AOh14Ggt90zut4k7QYNCUtDv1JGQCLNQ7QeqYiVk1w4V9A,直近の更新後、自転車移動を感知しなくなりました。次のアップデートで改善されればよいのですが。,2,0,2.70.1.arm64-v8a.production,2021-12-15 10:43:52,,
gp:AOqpTOGCANazjcEcU8fnSqMFlAppmHIxBM3p5OoFEes7I7GMTdxmSzzjNhNOl8QXDuoqrYnNVAzFyynUUreCcw,ゆん,https://play-lh.googleusercontent.com/a-/AOh14GiVjOwd3PU-8iXiU9WLl1MKjnFrJnnkEVHlzv4-,自分が使っているアプリやスマートウォッチと連携が出来なくなっている 早く問題を解決して下さい,2,1,2.70.1.arm64-v8a.production,2021-12-15 09:08:56,,
gp:AOqpTOFStfTxgbYe0nQSG3XWgOqA3_IAugjebNLZxEOjH2ACndJoN_Md_3IUViw_mxGsyBkkVqbPDx8fs_CWgw,福田剛正,https://play-lh.googleusercontent.com/a/AATXAJw1q1ZoDNq7lJKUlb8C_6o1Mzo1Y4N0zv4-LU3r=mo,しょっちゅうフリーズして使い物にならないです。,1,2,2.70.1.arm64-v8a.production,2021-12-15 09:02:06,,
gp:AOqpTOFg1aRqfSqc_kL58WtGUV-GYNot-OK2UUPHl3isrGhiD3GQrXBWy3hDeP0-W8nepxaXBIz28uVeYnq19w,小川晋,https://play-lh.googleusercontent.com/a-/AOh14Ghy_2FBGzt-ZQ4T4QkoCjSJFfC4cywyI9mRBg6F0g,楽しい🎶です,5,0,2.70.1.arm64-v8a.production,2021-12-15 07:49:47,,
gp:AOqpTOFB_2aS9CEpuKg28WrVxHYKVtmsMcgX3sWGxDQfD9Lp8HbMoK7LTG61Bi-bNVWYT9D1mu0jyfiAQ0TlQw,石井良和,https://play-lh.googleusercontent.com/a/AATXAJykwE_cKBeIY5AcTRImfnZW_4va_l51sGpiekH6=mo,分かりやすくて、毎日見たくなります。もう少し精度が上がるともっと良いです。,5,0,2.70.1.arm64-v8a.production,2021-12-15 07:44:14,,
gp:AOqpTOFHYjSlNznrwJzvSwPywjnJjGqscwU7GluM2O808BBTie4pWb1JJvVJAqX8utG-sF-P8mxdgk93_GQzKw,masatoshi Y,https://play-lh.googleusercontent.com/a-/AOh14GhuXjdhxpfB_YHc4OpsZhhOTsyTf2ExSjXKJb1Plw,結構面倒くさいのに、何故か毎日記録を残し続けています。後で役に立っのかな？多分！,4,0,2.70.1.arm64-v8a.production,2021-12-15 06:47:30,,
gp:AOqpTOGe3WywKm9DEnqCVJ9rd4VH8uq5Km7EDL1L05-ZnthSq1gHFn1h3FAm74rlvUpVHtsZwy7OHK6v_JpUFg,鷲見千穂,https://play-lh.googleusercontent.com/a-/AOh14GhVTpdmbseaX-nTSEDMO27iSypdIEmcuGzuUo2zhw,使えない,1,0,2.71.1.arm64-v8a.production,2021-12-15 04:33:16,,
gp:AOqpTOFKqeHBLcwtHZ7y-lZ-tTbEBOwpy2CNuWPtA_mEElhrxls_i55GLfr-ferUG5vX08-oarAp-MWtQ474Mw,近衛モモ,https://play-lh.googleusercontent.com/a/AATXAJzXYs1MIjO85qTix_RWGJN1EWugnBYFaa8ucSlb=mo,時計と連動してとっても便利！ コークオンで歩数もたまる！,5,0,2.70.1.arm64-v8a.production,2021-12-14 22:45:17,,
gp:AOqpTOGuZWNv88WmVXns7qBHPJECJry0tqkzBKZ45svBpDXxjF9f6T0KxEbTv-tEOnH9eEhc80-iaotRFGHQKw,タロウ,https://play-lh.googleusercontent.com/a/AATXAJzKhg1vbfA5VnocSj-l0qFoU_30IjFIeEoP_c8x=mo,歩数が勝手にサイクリング換算される。 かなり使えないアプリです。,1,0,2.70.1.arm64-v8a.production,2021-12-14 21:38:02,,
gp:AOqpTOH58nTEZV6NsvC89xHqxR_6BZH7JhuA_7WSz-ihEdg60N968OlU-LV01ycGqjVkk8Yv5GyuhW07n1ybAw,パンダ,https://play-lh.googleusercontent.com/a-/AOh14Gjd8YHBqANDm7OY6i6NsTihyx7QseLE1Xxv0aCvRg,"他の歩数計アプリと歩数が合わない。他3個入れてるけど、フィットだけ、他より1日1,000歩以上少ない。なんで合わない？",3,0,2.70.1.arm64-v8a.production,2021-12-14 18:09:21,,
gp:AOqpTOEUTLoyPsiywavI-ToIs_LotXhc67acWmAQNAdAgBz7YA-lCA1V8TNZH5Y3UkdO1_fTScF7LL5vVJuW6w,mai,https://play-lh.googleusercontent.com/a/AATXAJz6jBIKSFknaUSdN2Fb1zeFvRL4CmBU68RvFyZN=mo,急に歩数が全くカウントされなくなりました。,1,1,2.70.1.arm64-v8a.production,2021-12-14 13:53:42,,
