reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOHJyeO0Jf0hh6WwQ-_Qt18us_aVRBJbV6hPRBsEPPWh_r9djnOpVHLumrcWSeNlaAdMY30WNrjDozlY,たじまあきこ,https://play-lh.googleusercontent.com/a/AATXAJyogQvujdEkgusAoBbG9xRengzRzHRzXTWjOlII=mo,もう少し更新の頻度があると楽しみ,4,0,4.6.1,2021-12-15 23:17:55,,
gp:AOqpTOGPd5oiWvLUfBFLQMDyVSvLZl2Bhc0nLdAQqUF-c7bQEGDWLrA-J23VPtv_REGgjvunK_aBE8D3rQyB,SHO SASAHARA,https://play-lh.googleusercontent.com/a-/AOh14GjuMpjH-P3BI-lO8J0imHVM_p7hm8tmw5xjmBKj-A,クレジットカードの登録可能ブランドがJCBのみ。 シェアが一番低いブランドしか使えないとか意味がない。,1,0,4.6.1,2021-12-15 21:14:07,,
gp:AOqpTOHhdkFyh83KgZTqGFQwfiVfDVoYG6kBDlEIJ23B5APu43uBhV6s_jFIH-2aVyDK00GM8zMbLlK1hKxz,chocolate parfait,https://play-lh.googleusercontent.com/a-/AOh14GirouI9YbpTi4ewAHK-UIX-4P5EFxjLmWrijtXet5U,ポイントカードが選べて支払いがバーコード一つで済むし、他店向けにポイントカードのバーコードも出せたりします。ちょくちょくお酒の無料クーポンがもらえています。,4,156,4.6.1,2021-12-15 17:12:48,,
gp:AOqpTOGnZS2UCJ6lFgL3dP-enqMkWVGDl1eLel0CtgDtohPEu7TDcAg130E98pFIDyzMhtF7T4csR1Tp2KC-,頑張れ俺,https://play-lh.googleusercontent.com/a/AATXAJxR52o3t9viga9IyxMpP2yB96eODQ8bc5EQwkTl=mo,ファミペイで年賀状が買えた（Familymartだけかな？） ファミポートで、何故現金チャージができない。,3,0,,2021-12-15 17:09:08,,
gp:AOqpTOFU6ZD2JuTM60yN4yoai7AobMDL3GSKVuDto6w44xxzZAnnV_XPyMYJq5H9Xnnc1alQ82qVrqWrE3U2,筒井佐江子,https://play-lh.googleusercontent.com/a-/AOh14GgQRno6rIcfBkRfNijHwm7lFrKXUqYqyCFCjjMvVA,容量食い過ぎ❗️,1,0,4.5.0,2021-12-15 16:59:00,,
gp:AOqpTOG9WbnRdCycO1_yN9-O2v6yUanJYPEmfsQePH8U1oXowxtz4qwMiCmx8eNpytWMCB9mGlBgHPTGeUap,MOMO OZEKI,https://play-lh.googleusercontent.com/a-/AOh14Gg_KUCZ8tBz4fBWli41EJQZQ_uGsRvpBPMRaPeapg,使いやすくて重宝してます。,5,0,4.6.1,2021-12-15 16:54:32,,
gp:AOqpTOEQHRi1zmUlARrmchvfhKmGBiSFyFbp-Wa0KLvxfLTnAYPiXE7SFMg6X1hHx7haHmjc2r_X-_m0P6gG,小林俊文,https://play-lh.googleusercontent.com/a-/AOh14GjksGHRBqVkEu4s83NVkiDOl-G2yzz8Br-JiLocPQ,会員登録してあるにもかかわらず、しばらく利用してなかったら、ログインできなくなった。,1,1,4.6.1,2021-12-15 15:16:42,,
gp:AOqpTOFtB0rZx31g33DzwQO-U2fi0i6duIEaTaVrUinuAoBq59HWpWgeSOYRDZxfhFUTDxrO6F1gEe5X0uJl,yoshi ki,https://play-lh.googleusercontent.com/a/AATXAJyQI_H9LGds_Ycd0K29l77capd0JM2zbLugFtx9=mo,不定期ですがアルコール飲料系の無料クーポンが届くので大変ありがたい。,5,0,4.6.1,2021-12-15 14:27:47,,
gp:AOqpTOGkSp-jy_M4ODsTwNDTYAOZwl-EAvrEmuSzqyWys0rLiiX9-ZqnsgsUFwYz3-JWQAdu7LX0IN0gxtri,萱野,https://play-lh.googleusercontent.com/a-/AOh14GinTbvgYzItpClNJSdbphLnOlDdbYk94FcF-db5,ポイントとの連携も他のアプリより楽だし、クーポンもかなり来る。 このアプリが出来てからファミマ愛用者になりました,5,1,4.6.1,2021-12-15 12:37:36,,
gp:AOqpTOFg9IgKNwaJwwdbABStTXxmqVPvdM1yxY6Ce0iELDWO3kk9W-qqgTUbvdVN2MHm9JpZnFSJB-NyxE9K,佐藤文子,https://play-lh.googleusercontent.com/a/AATXAJxM5B7XnlC-j7qLh3oudpJ0Zlo-glOyVblZCOR9=mo,3000円以上のチャージで無料クーポンが貰えて公共料金の支払いができてちょっと得した気分です😃,5,0,4.6.0,2021-12-15 10:22:12,,
gp:AOqpTOG3XDCe-pJm-H05myv5V5oMgtuw9DI8vfE9wUXBjiCf0wHPyuAlEdsYPuzc6NR37ZGWqO0mype9yW-s,夏目周二,https://play-lh.googleusercontent.com/a/AATXAJzIfx_Y5fqg53RZwkjbSP1g7kiorizPJ_L6GlOX=mo,コンビニ頑張れp(^-^)q,1,0,4.5.0,2021-12-15 10:14:36,,
gp:AOqpTOEBVXKWRz06bemGxTFRScoQx13ZWLfh7C7nAhRJ5rey2SAU2agT0fASmmS9KdLlTmowQqoNXXRylzdm,木村茂,https://play-lh.googleusercontent.com/a/AATXAJxq_Pf5V6YkMiyAfYLTuS5OUSChp40l_JE9oocO=mo,特典がいろいろあって、楽しい。無料クーポンの配布はとても嬉しい。,5,1,4.6.1,2021-12-15 09:28:09,,
gp:AOqpTOF7X-9o_NpPM9cBcCITZu70OGroNnR4u_8X39lfRmL_4KKhpUr9bN3HqS-XcT5sbf0uBh9ThHa1PCq5,若林ひとみ,https://play-lh.googleusercontent.com/a/AATXAJwSlabbk_liqFZS8JUr465B4_w97UmrWx_BP8g-=mo,いつもクーポン利用し、いろんな商品を新たに知る事ができています。ありがとうございます。,5,0,4.6.1,2021-12-15 07:48:13,,
gp:AOqpTOHf5Gh4Njg3Te19UN6JW97Zrb7msXJH7CkkdOLh7EGaJM7N8ZbLxvv2-ec27OBRlqFw1Soz-mKlGg-L,バロン大佐,https://play-lh.googleusercontent.com/a-/AOh14Gj30fLqrCsxd4-QMDqI_HN0vch1UvLIFfJrg3PE,初期の時から比べると進化しましたね!無料で貰える商品も増えて来て良いです。セブンのアプリよりは良いと思う。ポイントが楽天、Tポイント、Dポイントの３箇所、使えるの良いかな。,4,6,4.6.1,2021-12-15 05:08:10,,
gp:AOqpTOH7CPEqzaCQEfIhvfVM4OCC3oll8l9zbMsjxIc4jcYFbKWkirtP3k3ipVd57fCUV1L9Lkny-zKb9DaW,駒沢清一,https://play-lh.googleusercontent.com/a/AATXAJzTuh4LMhLCbUTbL3gGbcxPlWtm2lNBCif6Ivii=mo,分かりやすいけどこのような更新はいつ終わる？,3,0,,2021-12-14 21:00:57,,
gp:AOqpTOFgINzFsMpL_fA4-sEsRIRwsQ7BDYl-JwKkRUfCW8hK9rBs3B0FpglV0oLrymJlZD8Oe4_bsWr168OE,よしよし,https://play-lh.googleusercontent.com/a-/AOh14GhEpm83LDlC7NlsTCtJjve-8Md9dzBpCaFrCIDNkA,無料クーポンプレゼントは、ありがたいです!,5,0,4.6.1,2021-12-14 19:18:23,,
gp:AOqpTOEdU9dJoN555fHSjKEOSL6TpnIHgLiz21cWFFhF5TGFGwduVUcMwoMs1FMhdBQi4L5PrAsn5cmF6O7q,yutaka tanaka,https://play-lh.googleusercontent.com/a-/AOh14GiE5yKDQ22nIn7w6_uaicssJdlC7t30ICDN63NEDw,アプリ特典は素晴らしい,5,0,4.6.1,2021-12-14 18:45:35,,
