reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOEQXDDXfx00FzeBKAN6I72S9FHONlUWPGSzIuvOZElBglzlz1tUTsh9T4zHEPIzuaoUYqAsdtx28V36lWw,Taka S,https://play-lh.googleusercontent.com/a-/AOh14Gh4lUcFqOt-JK3G72rDsFPx8x_3qKG_mx-2QgJMtw,楽天キャッシュが楽天カードしかチャージ対応してないから☆1ですね。 使い勝手悪い,1,0,,2021-12-15 23:52:27,,
gp:AOqpTOEWJsIrrxygJHAn5QYHmGaoqhh57DnzooJH0VwUUYAXZ-xb6CuSwVk8GDPhM24aPdNgCLDJye8BYwADAv4,1 sj,https://play-lh.googleusercontent.com/a/AATXAJz_YWYe7G0XXu7C2FUUlC-prFN3j7c656donBgi=mo,起動出来ない事が多い 結局カードまたは現金で決済,1,1,,2021-12-15 22:29:30,,
gp:AOqpTOEeUUv9uOsTLD9hag9UH83pN37GXWIYd_WKNvUIg-WLaA9w4hF8h6KC5JwasS_YkVPNQ3hQke0PEh89qew,根本房好,https://play-lh.googleusercontent.com/a/AATXAJxbCA0BcIPVWFYX6gj6aCfk3BuCVWllkC2xTmtx=mo,パートナー回線（通信速度１Ｇ時）で利用すると、販売店でのバーコードの読み取りに時間がかかり過ぎる。,2,0,7.6.3,2021-12-15 21:30:28,,
gp:AOqpTOEe0yIi7P3CAcmur6oI8WWun5BttcNbJWKuyJunHBr1ScoMYre7EctJT-NHe63VqqKv6taczg_112qyD6w,堀川裕士,https://play-lh.googleusercontent.com/a/AATXAJyWjRDwjRcItr29dlFHI3TcGyDxO01Mu8ul_Xys=mo,とても便利。,4,0,7.6.3,2021-12-15 20:57:25,,
gp:AOqpTOEeTNVI_nu24VTkrbSwaJnPJMxAs4VfQf4e6EbDYhsEYvZ6ZNEVk81iSLhn4M-KRuK2Z0SnI4_E1Afo6uY,伊藤権兵衛,https://play-lh.googleusercontent.com/a/AATXAJyC4iMMswXDCTM8V75wAsso7AuZThn2P5JSPc31=mo,ポイントを使用したくてインストールしたが失敗だった。動作が重く読み込みに時間がかかり、支払いがうまくいかないことが数回あった。位置情報など余計な権限を求めてくるのも煩わしい。,1,26,7.6.4,2021-12-15 20:08:03,,
gp:AOqpTOHLNouIasaOPCgmBpbuUWS5KNPoWuHk4w-p3labAGPkl9NFfUScZcZfugf_FDoeOeo-S0mPaNuwKBXcDHw,Tsuyoshi Saitou,https://play-lh.googleusercontent.com/a-/AOh14GiWLxRgE3v2lpJOqfKXc9ySEHWCGbU0VSu-k0UjSQ,同感ですね。 無限に回って停止しまくり。。 全く決済できない。。,1,1,7.6.3,2021-12-15 17:45:05,,
gp:AOqpTOH-x_Wk3XVbG7oUMAoM_0QI378wECgFOM8PED2ZzLPSLfNgRVyWgf3dUnbPWQuW2teYXQA5MI2JG65urjY,shizuko T.,https://play-lh.googleusercontent.com/a-/AOh14Gi0e79RxDgLKoynk_KJbcTaMeWGShKxQmxlYYMXCQ,とても簡単だった,4,0,7.6.4,2021-12-15 16:13:36,,
gp:AOqpTOEngMkarOnG9ipX64JlGA2SnCRog8_FEo4F-BjZZLc1cBc3zf13GpzzQuFD3MLjgvr2HDL_Sckkobn_7WE,三上正史,https://play-lh.googleusercontent.com/a/AATXAJyfywBPl6BbC2fEmZ6g-r_9_weOYXzm_3xpH0Na=mo,このアプリの一番使いやすいところは、プリペイドカードと違いクレジットカードト連携していれば、わざわざ残高に注意しながらチャージをしないで済むところですかね。お店のレジで残高不足ということがないのが良いです。,5,1,7.6.3,2021-12-15 15:17:32,,
gp:AOqpTOGgmjoH1YPnEV0y8WI8sQ3VVtddsG_zH0oas657hLLFPBrzS1AQpPH1YmLI9ksfaboeRecVhJkvxNwEN5M,ゆか友香,https://play-lh.googleusercontent.com/a/AATXAJxFR51eU9jnM0RKk5-zsbi2SbwczN3osrDpxoxv=mo,利用限度額が少ないし、何でエラーになるのか分からない,3,0,7.6.3,2021-12-15 14:57:49,,
gp:AOqpTOF0JnpnWjAVPsfiTrJT8ib5HKjOdZD5RXE_cp3y825h_uya0gMptnKgHKoikMGP9Pwznu5vdXRQx_wRvqQ,Mariii K,https://play-lh.googleusercontent.com/a/AATXAJx41dNrIbFhSvHqCMb44s8rG1jkYCP9Fl7CaU7A=mo,楽天ペイアプリで瞬間チャージ設定したものの、肝心の楽天市場→ポイント利用変更画面の中に「楽天キャッシュを優先的に使う」の項目が表示されておらず使えない。 お問い合わせしようにものらりくらりと誘導され直接ヘルプと繋がることができず。 楽天関係はエラーが起きたときの対応力が不足し過ぎです。,1,7,7.6.3,2021-12-15 13:54:07,,
gp:AOqpTOG80h7so9KzkMBaf4SgEscypgAwqoJdBbhSt6VuTeMFY_GJnptBjHYf-fgWV8kSwMl63QHeDC5QpAtHJa4,石崎,https://play-lh.googleusercontent.com/a/AATXAJwHAZlUA0mZtvKSuwEMwbbRY5NmNpPEh99znoEV=mo,バーコードをかざすだけなのでとても簡単でした♪,4,0,7.6.3,2021-12-15 13:30:27,,
gp:AOqpTOFagFG2p4-hrBqlWz843uMRwLgT6vtAdey2b3EZJP6-TOOfLjAr0S1Ji8ymnOuak-w0Nn6GgNAC1XyryeE,MASTER KEY,https://play-lh.googleusercontent.com/a-/AOh14Gg-DiDFJTPHDElP4vI0EFHS3bgkoryQ-Uwm7R1D,何で使えないアプリがGoogleストア登録されてるの？ログインできなくなって3ヶ月以上放置。,1,1,,2021-12-15 12:41:45,,
gp:AOqpTOHRgh93zKA-rWQq_jk9B1cveFGOeJ61U6LjIXHw8WcPBJ4qZAt480I-tIiN5ca5Y2UX6osW7q7JRnY3QF8,HIGO BOSS,https://play-lh.googleusercontent.com/a-/AOh14GiaaTsN8NQywnCv-fp1ULskQPOQ9eCiYQxS4HWOKQ,楽天Payの新規登録出来ないのは東京の在日不法在留者ネパール人が衛星通信映像窃取による盗撮･盗聴を視聴しながら遠隔マイクロ波照射と衝撃波の企業元端末システム直操作の窃取による成りすまし会員窃盗実施証拠｡ 個人､警察署管轄を超えた国家犯罪｡ 企業関係企業同士の情報共有化と早期改善希望する｡,1,0,7.6.3,2021-12-15 12:37:06,,
gp:AOqpTOHDqMerVerSRcy6KFEoNW1TiGC1HM0L_UWtrrVd60D_9V5yAv70kYcK1TNKH4VDsL8ErbAYjtm6PfxsrWg,I R,https://play-lh.googleusercontent.com/a-/AOh14GhPA9SntAmfmHchDHkpN3OcE2nDGtRIQUpnMyMy,システムもシンプルで使い勝手は悪くないが、とにかく起動に時間がかかる。 クレジットカード払いと比べると圧倒的に遅い。 あと、使えるお店が少ないため、そもそも使えないことが多い印象。,2,3,7.6.3,2021-12-15 07:31:03,,
gp:AOqpTOFa3wAsO8vX7SvoY-_D24A_aer7Ry05xiu-sD4FCBf2SQPN9jEvDU0f5sYRctUYrzBKcBDpVAK8t_cpa-g,RIKA AKIRA,https://play-lh.googleusercontent.com/a/AATXAJzSi0uBR4RhwVgWnxUhDrOv90FCIMaQBMNPWvBQ=mo,使ってみようとインストール→クレカ登録、数時間後に利用してみようとすると利用制限。まだ一度も使用していないのに…。そのうえ解除申請してから5日以内で解除って、もうこのまま使うの止めます。 （追記） 申請後二日で解除されたのは素晴らしい。ただ、今度は「タップしてバーコードを表示」と出るので、タップすると一瞬だけバーコード表示されるものの、もう一度「タップしてバーコードを表示」の永遠ループ。うざいのでログアウトしてからアンインストールしようにも、ログアウトもずっとローディングで不可能。ここまでエラーが出るアプリははじめてです。まさか一度も使用できないとは思いませんでした。,1,50,7.6.3,2021-12-14 23:36:13,,
gp:AOqpTOE5wOpulUVYsOYza8q9wXFVIVTJqX51nUiqZ6E5UGTWhn_rmX_k4HhRepydHrfEZWJQqBThYYsQzmhm7Yw,keiichi koyama,https://play-lh.googleusercontent.com/a/AATXAJxzRwyot4sredRpwxkxPX3OHSQmYSHsupC6B2qY=mo,とりあえずすんなり出来ました。 いいと思います。,4,0,7.6.3,2021-12-14 19:03:17,,
gp:AOqpTOEgNknc32w3xIYvPeyQwLZM3J5g-wyRm40HDRGZpoEfdymqMD0LoeTEEBPw9eBUGE1o5s6-mcBSgRK8kOk,kenichi asai,https://play-lh.googleusercontent.com/a/AATXAJzkkriNjEzI-ztOVsJgr3p_3U6CzqGUuYgnitYV=mo,家電屋で2万程度の商品を買おうとしたらエラーコードPGW-005を吐いて決済できませんでした。調べたところカスタマーサポートに連絡しても無駄で、解決方法は無いそうです（笑）現金を持ち歩くのが嫌で電子決済を使っているのにこれでは使い物になりませんね。他の電子決済サービスに乗り換えましょう。,1,33,7.6.3,2021-12-14 18:01:00,,
