reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
5a655ed5-d49b-4070-89e7-dda88b531ec7,角掛喜美江,https://play-lh.googleusercontent.com/a/ACg8ocKxYJKOuAu2IFREzGbmeKZ_DYxKA3D0Pfb2vvYk0AMQ=mo,このアプリは、キーボードを変えるアプリですね!このアプリの良いところは、いろいろなキーボードに変えられるということ！！キーボードの文字の色も変えられるし季節ごとのキーボードも更新されるので、季節が移り変わると、キーボードを変えています！文字を打つときも、音が小さくて周りの人の迷惑にもならないしのでこのアプリはすごいと思いました。でもマイナスの部分は、VIPがあるということ。そういうキーボードもあるのがちょっとマイナスかなーって思いました。でも良いところが多いですね！⌨️長文失礼しました。,5,15,19.4.2,2023-11-16 17:11:44,"Simejiをいつもお楽しみいただきありがとうございます！
Simejiでは、皆さまがより楽しく使えるように精進してまいります。
今後とも何卒よろしくお願いいたします！",2023-11-16 17:42:08
eaba197c-9b32-4f84-a013-f6c7e050fa2e,阿門虎鉄,https://play-lh.googleusercontent.com/a/ACg8ocJPcEnlQJmtRsX0Dm8-tLbQeshuCozGZWDGcn5--v2C=mo,Gboardから乗り換えを考え導入に至ったが、以前何度か試したことはあった。今回は予測変換が期待以上に素晴らしく感動したが、いかんせん余計な機能が多い。そして設定変更したくても設定が見当たらない。これはちょっと一旦勉強しないと使えないパターンか？ ということで星の数は増やせなかった。 入力自体は最高なので、今後面倒だが調べてみようとは思うが、もう少し直感的に操作できてもいいのではないか？,3,99,19.4.2,2023-11-14 10:36:42,"レビューいただきありがとうございます。
Simejiでは皆様からのご意見をいただき、より便利なツールを目指していきたいと考えております。
この度頂戴したご意見は開発にお伝えし、今後の改善案として検討させていただきます。
何卒よろしくお願いいたします。",2023-11-14 12:46:33
6518fbb6-3bc1-4eda-8974-2fe01162201e,Anonymous X.,https://play-lh.googleusercontent.com/a-/ALV-UjUZZoCrxMgqB0xgwC-Mzqe-JBpuaRCbu_DHDKquqtZ0qK4e,[Ctr] +[C]や[Ctr]＋[V]など､どのOSでも共通して使えるショートカットをSimejiでも(ON/OFFで)使えるようになれば長文テキストのタイピングで更に使いやすくなると思います。大手のOSの特許(使用料)の問題もあったり、市販キーボード規格の違いがあったりと、ショートカット機能拡充は容易では無いかもしれませんが、スマホやタブレットでキーボード入力を日常的に多用する者にとってショートカットは必須機能です。欲を言えばAndroid/Win/Mac各ユーザー向けの運指切替えや､ユーザーオリジナルショートカット設定機能があれば、Simeji有料課金ユーザーへの付加機能としての差別化にも寄与できるのではとも思います。更なるモバイル端末の使いやすさに貢献していただけますよう祈念し提案させて頂きました、よろしくお願いいたします。,5,5,19.5,2023-11-21 16:03:35,"レビューいただきありがとうございます。
Simejiでは皆様からのご意見をいただき、より便利なツールを目指していきたいと考えております。
この度頂戴したご意見は開発にお伝えし、今後の改善案として検討させていただきます。
何卒よろしくお願いいたします。",2023-11-21 18:20:07
1b740b98-e93e-4efb-a7c8-c6a8c2cc4357,Nana Phidel,https://play-lh.googleusercontent.com/a/ACg8ocLxUMXBWhHE8Ndu2xKEkAc6URp3R55vzdb88Ri9XYeP=mo,(12/15)かな入力して変換した際、変換候補の順位が変更されるので、目的の語句を確定しようとした際に別の語句が確定されてしまいます。(1/19追記)そんなことは分かっています。変換候補を並べた後、1秒以内に候補の順位が変わるのが問題なのです！(11/28)熟語の読みの変換候補が登録されていない場合、カーソルを動かして前半だけ単漢字変換しようとすると、目的の漢字が出て来ない。後ろのかなを削除して単漢字変換すると目的の漢字が出て来た。後ろの文字に依り変換候補が異なるのは不便過ぎる！,2,15,19.5,2023-11-28 20:08:25,"ご不便おかけしております。
お手数ですが下記をお試しいただけますでしょうか？
・Simejiアプリを最新にアップデート
・Simejiの再起動
Simejiアプリ＞設定＞Simejiについて＞Simejiの再起動
・端末を再起動
・ご利用端末のOSを最新にアップデート

また、上記で解決しない場合は症状の確認と原因調査のため、詳細をお聞かせいただきたく、
たいへんお手数ですが、アプリ内のお問い合わせから詳細や症状の確認できる動画をお送りいただけませんでしょうか。
何卒よろしくお願いいたします。",2023-11-29 15:19:57
794cd348-21de-4c85-9ea4-765e828ca6ad,Kaori OGT,https://play-lh.googleusercontent.com/a/ACg8ocKtz372pxn-9QUlDVclernpc3N8LEdaMi_T164Ga2l2=mo,評判いいからいれてみたけど、動きがモッサリで使いにくいってのが正直な感想。なんで評判いいのか分からない。 スマホを持つようになってから、ずっとAQUOSということもあり、評判は悪いようですが、S-Shoinに慣れ親しんでおり、そのS-Shoinと比較しての感想です。 S-Shoinも、2023年11月に発売された AQUOS sense8 では搭載されず、インストールもできない仕様になったらしいので、使いやすいの探そうと入れてみたんですが、期待はずれだった。,2,45,19.4.2,2023-11-19 21:43:47,"ご不便をおかけしております。
Simejiではお客様から様々なフィードバックをいただき、日々改善に努めておりますが、
その中でお時間が掛かるものや運営の方針と異なるものにつきましては、検討しているものの中々着手できていないものもございます。
お待たせしてばかりで恐縮でございますが、今後のアップデートや改善にご期待頂けますと幸いでございます。
今後ともSimejiを何卒よろしくお願いいたします。",2023-11-20 16:35:00
e07c9a70-0e7d-44bf-a981-f3545975bb25,にこ,https://play-lh.googleusercontent.com/a-/ALV-UjV6IDEsi9UTt78XxibKPhSNgEUZGfSkExhzsFqV-Ld3kMc,☆1。以前無料で使用可能だったキーボードフォントが突然VIP限定(有料)になってしまった。VIP機能を増やすのは良いが、元々無料で使えていたものを急に変更されるのは残念。 また、コピーの位置が変更されることが多く、誤タップしてアプリに飛ばされてしまうのでやめてほしい。,1,116,19.3.1,2023-11-03 11:23:48,"ご不便をおかけしております。
Simejiではお客様から様々なフィードバックをいただき、日々改善に努めておりますが、
その中でお時間が掛かるものや運営の方針と異なるものにつきましては、検討しているものの中々着手できていないものもございます。
お待たせしてばかりで恐縮でございますが、今後のアップデートや改善にご期待頂けますと幸いでございます。
今後ともSimejiを何卒よろしくお願いいたします。",2023-11-06 16:34:58
b486a559-064d-4868-8fe5-b0b84247180f,さぶサンダー,https://play-lh.googleusercontent.com/a-/ALV-UjXmsLkCnGhwZjQF0FNY8xq0WEGWBpxlIoPpe_7EpLpErg,キーボードをカスタムするのに最善のアプリです。絵文字の表示も変更できるので便利。 ですが、表示されている絵文字は端末依存なので変わるようにして欲しいです。,5,0,19.5,2023-11-25 09:47:06,"レビューいただきありがとうございます。
Simejiでは皆様からのご意見をいただき、より便利なツールを目指していきたいと考えております。
この度頂戴したご意見は開発にお伝えし、今後の改善案として検討させていただきます。
何卒よろしくお願いいたします。",2023-11-27 16:06:45
dc528e6b-c25a-42f9-8d3c-db0d518a313a,槌田深月,https://play-lh.googleusercontent.com/a-/ALV-UjUmcir1kX4SIriphkASp9IRbZ-iqSxfxbnsYbEgerFImnc,すごく変換ができるし着せ替え機能や絵文字、スタンプっぽいのもあって楽しいです！ ですがSimejiの検索機能の画面が小さくなってしまって不便です……またスマホの画面を横にするとSimejiAIが使えなくなるのも不便です,3,0,19.4.2,2023-11-13 06:40:25,"レビューいただきありがとうございます。
Simejiでは皆様からのご意見をいただき、より便利なツールを目指していきたいと考えております。
この度頂戴したご意見は開発にお伝えし、今後の改善案として検討させていただきます。
何卒よろしくお願いいたします。",2023-11-13 10:38:33
efd4a983-0920-4c84-975f-8059d94ae2d0,mo-musu sayumin,https://play-lh.googleusercontent.com/a/ACg8ocIXaNCia1iDVNVfXnGDiCWyQHMw4NIIctjmmuVnkbdx=mo,昔からとても便利に使わせていただいてますが、画面録画をしているときに突然アプリのきせかえ画面が表示され、録画が台無しになることがあります。 録画はそのときだけで取り返しがつかないものも多数ありますので、きせかえは利用することがないので設定で切り替えができるようにしていただきたいですね。,3,48,19.3.1,2023-11-08 20:40:46,"レビューいただきありがとうございます。
Simejiでは皆様からのご意見をいただき、より便利なツールを目指していきたいと考えております。
この度頂戴したご意見は開発にお伝えし、今後の改善案として検討させていただきます。
何卒よろしくお願いいたします。",2023-11-09 10:36:04
c3f5bf52-12c3-4bd5-b67b-243685c0d2af,ばぶ,https://play-lh.googleusercontent.com/a-/ALV-UjWZaaKPccpWNIX_BK5VekUACF8yoonybZEKqBhQHfrsZM8,どんどん使いにくくなってきてる気がします💦まず課金しないと使えないものが多すぎます。せめてサンリオのやつぐらい課金しなくても使えるようにして欲しいです…。そして何故か色を変更したり透明度を設定したりができなくなりました。これどういう事ですかね…、前の方が使いやすかったですし、可愛いキーボードにできたので前の方が良かったです。それとサンリオの可愛い無料で使えるキーボードが出ても期間限定だし、本当に無課金者にも優しくして欲しいです。このアプリを昔は愛用していたのですが、どんどん課金物が増えていってから他のアプリを使うことが多くなりました。サンリオのやつ課金しなくても使えるようにできませんか？どうにかできませんかね…？,1,23,19.4.2,2023-11-16 23:31:53,"レビューいただきありがとうございます。
Simejiでは皆様からのご意見をいただき、より便利なツールを目指していきたいと考えております。
この度頂戴したご意見は開発にお伝えし、今後の改善案として検討させていただきます。
何卒よろしくお願いいたします。",2023-11-17 10:40:12
