reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOH06_q-sTtQVFIrou3hQzRpW3ri15JrYFkpLImIgf9ViOhk5dIdnak9t3lv0ZGFs9sMwuGTXV1eHt9f0nA,瀧川勝詞,https://play-lh.googleusercontent.com/a/AATXAJxDYrmBPEix3ccpOak9P6Gw43KYVFXTC0IjvaeE=mo,ええんちゃいますか,5,0,5.6.3,2021-12-15 23:07:49,,
gp:AOqpTOFcmJLHHLrXcmxRoTRDNJAwI5rHyo61dIuOrwtQyYjqaWs1j47QwHO5n0SP09EN8VUUz_iok4_4SzftpF4,華東ーにーず。,https://play-lh.googleusercontent.com/a-/AOh14Gh-J1Wt1btyWpJnREcZEUk7Lua02fq31mWtRhxNew,定期購入でちゃんと支払いもしているのに突然購入していない事になり何度試しても再度定期購入も出来ず好きだっただけに残念,1,0,5.6.3,2021-12-15 22:15:47,"お客様の個人情報等を保護できる環境で専任のスタッフが対応させていただきます。
お手数ですが以下の窓口へご連絡いただけますでしょうか。
https://contact-cc.line.me/serviceId/10805
お困りの状況と併せてストアレビューでもご連絡いただいていることをご記載ください。",2021-12-16 11:15:27
gp:AOqpTOGAl5UJGLwCAtyGnYIwHchy2KpityQzhEeRBXol7k7VtPsmHCrqtt8apHU9HDGTkRbhEYRGANOoAzSfNjc,河辺凌,https://play-lh.googleusercontent.com/a/AATXAJyRNtUjdJn6ZOLCALAvIhxE6RBpcAkpvSDCy7cG=mo,自動更新できない。決済確認すると決済されてないってでてくる,1,0,,2021-12-15 18:46:17,"お客様の個人情報等を保護できる環境で専任のスタッフが対応させていただきます。
お手数ですが以下の窓口へご連絡いただけますでしょうか。
https://contact-cc.line.me/serviceId/10805
お困りの状況と併せてストアレビューでもご連絡いただいていることをご記載ください。",2021-12-16 11:15:17
gp:AOqpTOGLJCKWNTShMO1E9nVSQYoHZzbjU13TiIFC_k5EHrURsHzWcGKWvQzwy0fLIIGYrGlFeVQUmESHJljY1-E,kaz m,https://play-lh.googleusercontent.com/a-/AOh14Gikblq3TZ7dR9XPUkDPWiCml_RZYNJeyYm4MTDo,プレミアム会員ユーザです。利用していて、そこまでの不満や不便なところはないのですが、コイン購入が終了したにも関わらず、コインが必須な楽曲があり、楽曲を購入することが出来ないのが難点です。購入押下するもコインが不足しています。コイン購入は終了しましたと表示されるのですが、そんなことはむちゃくちゃ知っとるわっ！ってなる。そういう時にどうしたらいいのかを知りたいねん！と毎回なります。,3,9,5.6.3,2021-12-15 18:30:02,"LINE MUSICをご利用いただき、ありがとうございます。

MUSICコインの販売につきましては、2021年10月5日をもちまして終了となっておりますため、コイン残高が不足している場合は、今後新しく楽曲を購入することができかねます。

ダウンロード購入限定楽曲（MUSICコインで購入しなければ再生できない楽曲）は4月頃まで販売を継続しますが、販売終了後はLINE MUSIC上での取り扱いがなくなります。

詳細については、LINE MUSICアプリ内［ライブラリ］下部の［お知らせ］にて「MUSICコイン販売終了のお知らせ」をご参照いただけますと幸いです。

お客さまのご期待に沿う回答とならず心苦しいかぎりですが何卒ご理解ご了承くださいますようお願いいたします。",2021-12-16 11:15:01
gp:AOqpTOF8Ei5zUrngvL02FyXloUytwkW7rWAdhOXvjKWiScnurZvgkHoDHu6X_H5_tKGTnIuKDi3NjCqr_u_wws8,丸野菜々美,https://play-lh.googleusercontent.com/a/AATXAJxlVvUPZIaXs45muoEzgUpF1lq4Vucu8IAuuBXI=mo,良い 曲を探せるのがいい,5,0,5.6.3,2021-12-15 16:43:27,,
gp:AOqpTOEGOASPDsIZDWbgMoAFoMpvv6URbgm2_u5vQu7YNLC4KX6WCgWQ47K2RQZFSg_PivrI-uxAUMUcsdgURlg,零,https://play-lh.googleusercontent.com/a-/AOh14GggGiPeUYBhfKtFrbBeSuuj0YiKD5-AMDQtFRI7mw,何年も愛用してましたが、 この度他の方同様、課金して更新したのに 更新されず、お金払ったのにフルで聞けなくなりました。 3日ほど様子見ましたが変わらないので 定期購入キャンセル、解除、アインストールしました。 きちんとバグ治してください。 そして使えないのなら払った金額は返して欲しい。 運営さんも大変だとは思いますが、 金銭が絡むバグは早急に直してください。,1,66,5.6.3,2021-12-15 16:01:15,"ご不便をおかけし申し訳ございません。
お客様の個人情報等を保護できる環境で専任のスタッフが対応させていただきます。
お手数ですが以下の窓口へご連絡いただけますでしょうか。
https://contact-cc.line.me/serviceId/10805
お困りの状況と併せてストアレビューでもご連絡いただいていることをご記載ください。",2021-12-16 11:14:29
gp:AOqpTOFCodPuzYXLsPusDFZFNB2THaJ7D6qw9jhU00ZNkv_4IKRW9VbCGkOZrS_bS68UYcnTipjIiCTHQmLKd1o,Mayumi noda,https://play-lh.googleusercontent.com/a-/AOh14GgpYkXmf7u8PEbE5bZMnl0LotUxTWhHmTjnlNbFQA,突然音楽が再生できなくなりました。不具合の連絡フォームみても、当てはまる文面がなく、対処に困っています。残念ですが、解約するしかないかも。,2,1,5.6.3,2021-12-15 10:03:40,"お客様の個人情報等を保護できる環境で専任のスタッフが対応させていただきます。
お手数ですが以下の窓口へご連絡いただけますでしょうか。
https://contact-cc.line.me/serviceId/10805
お困りの状況と併せてストアレビューでもご連絡いただいていることをご記載ください。",2021-12-15 12:03:17
gp:AOqpTOGn2VSvabD3PAxwvrLxh7z0NUHS3POqajW44lBPaS2KZDmUcoGNbXP0kuPvhNVu93Zjn01xnqdDc-T3DM0,ななな,https://play-lh.googleusercontent.com/a/AATXAJzIfthEMXWzhvVJYmvwNwL1LEPDEvkxngK1drg0=mo,解約ができません！最低,1,0,5.6.3,2021-12-14 22:42:46,"お客様の個人情報等を保護できる環境で専任のスタッフが対応させていただきます。
お手数ですが以下の窓口へご連絡いただけますでしょうか。
https://contact-cc.line.me/serviceId/10805
お困りの状況と併せてストアレビューでもご連絡いただいていることをご記載ください。",2021-12-15 12:03:14
gp:AOqpTOHOqCdx3HvzzmlriF5BPKwPujkgY1sXQVHY2wugyzsFI2OaxL-1EEYu4gh1DbmWrl9l5tDuQO41H0ZBjAw,高橋春美,https://play-lh.googleusercontent.com/a/AATXAJw2KsG01nkLIv1olGy4A8dS8S13drn_ySguHy0P=mo,すごく嬉しい♡,4,0,,2021-12-14 22:13:07,,
gp:AOqpTOEcuSB3f9yZwVdDW23H_trckzo1GB8ng2UHzM3jcQoCDszyx4LDXNDNzXRiaO6GqWRbitE2a8kb69QSL8E,マツバギク,https://play-lh.googleusercontent.com/a-/AOh14Ghy32SS03ILES8uhRwPn0NsYMPwsJzrQ1lteXIr,定期購入が切れたので1度契約を解除してから再契約してお金を払ったのですが、お金は払われているのに契約したことになっておらず曲がフルで聞けません、対応お願いします,1,1,5.6.3,2021-12-14 20:53:15,"お客様の個人情報等を保護できる環境で専任のスタッフが対応させていただきます。
お手数ですが以下の窓口へご連絡いただけますでしょうか。
https://contact-cc.line.me/serviceId/10805
お困りの状況と併せてストアレビューでもご連絡いただいていることをご記載ください。",2021-12-15 12:03:10
