reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOHLnK-mkUrqBHgqN6svbeiqq0YOG2FvyCCTpJFTkTm_OB08HKcv98zEkV4hrTOh8kjqE8YgaYYo2koKUA,kiki LARA,https://play-lh.googleusercontent.com/a/AATXAJzkxxUsCkoitIGvR9K2OfK6NkOnP0Skr92iDQeb=mo,何度もアプリをダンロードしても使えない。いつになったら改善させるですか？,1,0,1.23.1,2021-12-15 12:18:27,kiki LARA様　この度はお客様にご不便をお掛けし、大変申し訳ございません。ログインできない件について、弊社で調査させていただきたく存じます。恐れ入りますが、お問い合わせフォームより、現在の詳細をご記入いただけないでしょうか。お客様にはお手数をお掛けいたしますが、何卒よろしくお願い申し上げます。https://www.ppihgroup.com/form/pc/index.php?fn=994 majicaアプリカスタマーサポートより,2021-12-17 15:06:29
gp:AOqpTOHMKBVM1z3F1nHr-gxm3cdZeyfTqqESFxCkzkwWYyY5tHihA73saY_Mlxj_UHlzizy-1WC2__QqoVFe1A,山口洋子,https://play-lh.googleusercontent.com/a/AATXAJyiZTsJhIfCEJNH3l9Lvfud3I6uBQzGcmdxvqnp=mo,バリスタを安く購入とても使いやすく 満足🈵😃✨味も好みで美味しい😋,5,0,1.23.1,2021-12-15 12:12:18,,
gp:AOqpTOFZo-Z8dnA_bpgbJ3UcWb69l4GoEmJr4UIolo0s06H0sa-qmjxm8MCCTnj_Yf98xwdsIfQ4jaNyQGDprw,A O,https://play-lh.googleusercontent.com/a/AATXAJwtJMkRzsYTLENjw0wnpBfZ1SFaynZx7xGhh3kV=mo,勝手にログアウトされて以来、何をしても入れなくなりました。レジで会計時に格闘すること数度、時間の無駄。ヘルプデスクに聞いたら、アプリ使用前にプラスチックのカードを使っていた者は、その番号を入れなければ永遠にアプリは使えないから、こういうログアウトに備えて「いつでもカード番号とpinを持ち歩け、番号のないものは使用できない」とのことです。アプリに移行したらポイントカードは持ち歩かないし、なんなら捨てますが、メルアドID管理などへの移行も出来ないとのこと。 追伸：ようやくアプリ開けて「11月のアプリ不具合について」の項目開けたけど「お知らせ」のタイトルだけ出てきて、読み込み中から全く進まず真っ白で何も見えず　追伸2:コルセンがめちゃくちゃ上から「お客様は何々なんで〜。何々なんで〜。できませんー」で、一切合切アプリ不具合の期間のポイント加算も断られました。わらける,1,6,1.23.1,2021-12-15 10:20:11,,
gp:AOqpTOHyryT0PjaElpVY5-07JbKiDcqxVB8iXtTp9sx__-gLyiMOsL1a1DP-0gok25f2VU1ZfzeeGH5cmGfB2w,Masa W,https://play-lh.googleusercontent.com/a/AATXAJyJhkG3RLRtTMwm0utHSCCLVqX6jU9HZ0bMtQJm=mo,決済履歴の確認時に表示されない履歴があるのはお金を管理するのに致命的,1,0,1.23.1,2021-12-15 07:41:47,Masa W様　「決済履歴」について貴重なご意見をいただきありがとうございます。ただいまアピタ・ピアゴ・ユーストア全店でもご利用いただけるよう、準備を進めております。恐れ入りますがしばらくお待ちいただきますようお願いいたします。　majicaアプリカスタマーサポートより,2021-12-17 15:06:12
gp:AOqpTOEwsOvRNgrsYkvQb7zxgA3RUE99UD8fbCreeXR4Fbd9qJqvgmQ0TTx4cINtre87DN5ynkIxRKuHpotzng,鈴木広美,https://play-lh.googleusercontent.com/a/AATXAJyK4TQBBHVn81WQ7tltzH0PKX7-Vaxh8ymE0EHf=mo,ドンキホーテ,1,0,,2021-12-14 19:42:03,,
gp:AOqpTOHIXlIxQtdzoTYK_dS9R0PEQoccqJemOu7WlHqoPm4vNR5ACAq4NBsBpIgrXue2bI7wxveq-20MxcFo8A,林田寛子,https://play-lh.googleusercontent.com/a/AATXAJzL53G2bPB_qRuC8m31rZ-tMqt2LCyOz4kqglAC=mo,簡単にチャージできて助かります。,5,0,1.23.1,2021-12-14 18:08:57,,
gp:AOqpTOEMVdaDPjah5CC19jHEJS4MPIdGCf7Yoo4YfZdU1aC7TLZdxhLlu-Qmtx3wSzF1JZ8V5-wjmFm9iHGnqQ,エミッキュ,https://play-lh.googleusercontent.com/a-/AOh14Gh6n-B12BK7osotvGnuxCh4v-e7JI2se662rijMq5c,このアプリを使うとドンキのクレジットカードに加入しませんか？の電話が掛かってきます😩マジでウザイのでアンストします！,1,0,1.23.1,2021-12-14 15:33:23,,
gp:AOqpTOGaP9yJ_ux0g6F-o1WBN7m_EDFo_qluHma0uo4Y5wPDIHw0WIFSTOLMJZZW18rPNum26_125_ADaS8d_Q,本間芳朗,https://play-lh.googleusercontent.com/a/AATXAJyPDAjY40RbDOYuCbya6G4zraKXaopP-LIRymQe=mo,入会したときポイントは、どうすればもらえますか？,2,0,1.23.0,2021-12-13 08:42:12,,
gp:AOqpTOF6noVmc32oRkjaqX7bARC2blYbFfAQrw7Jzw447LbQP8Kg4zqxc7zaz79pA0JAzwUbhfy9UVXMRvIbZQ,Iku Yone,https://play-lh.googleusercontent.com/a/AATXAJwXw7Z7BJvlDsg2AC5mOvLA7w1-J2hyiB85XMJ3=mo,とても便利,5,0,1.23.1,2021-12-13 03:24:37,,
gp:AOqpTOHqcehaaAMlkVFS1IHWiZCToc61ZIrJcOnFz6UtD57MyPoAgdvO_PuEygWFjxyqw3P_0tyGYXJW34tdjw,鬼頭司,https://play-lh.googleusercontent.com/a/AATXAJxylO4qOkDsbn2KSBYio_lxbv2xje11zFpt5S-bwg=mo,マジカポイントをマジカの残高に交換出来れば良いのになぁと思う事は良くありますがそれ以外は満足しています。,4,0,1.23.1,2021-12-12 13:58:42,,
