reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOGf6nP24XArfzlsVMA-DNMaSZ_aj_VPamrGnF5pHqO9BOAK-ELujfruGZZLzxoRYkinRyC8nAZNRMr8vq0,陸一潤,https://play-lh.googleusercontent.com/a-/AOh14GjFEp99ILDCLU3r-c6w9niJHnPrYhPZjqSBw_lK,先日まで楽しく利用していたのですが、数日前からエラーが発生しました(ネットワーク接続エラー)と出てしまいます。,3,2,1.1.0,2021-12-14 21:10:10,,
gp:AOqpTOHx7-j84xfd_Cmz3PYxG121YdSxsmivFbeIU6Wg7wPaup_HyPGQh_u-vgca0ymfaaGZoheugx24m1OLIC4,平田泰子,https://play-lh.googleusercontent.com/a/AATXAJypQVU02PrNKjWkc_Vwb7vq_cHz5NVH0ukcMiss=mo,全然聞き取りできません。。有料版にした途端っていう。,2,1,1.1.0,2021-12-14 17:30:58,,
gp:AOqpTOHQIUAvVnYH5rzUKN0FN7AfcmrMe8kHtjr3rbOl4ZgFjxoSDZTtZ6pDySYZR8dp08pq1zC5yaiaz3FkgZM,小穴志佐子,https://play-lh.googleusercontent.com/a/AATXAJx_A9HHWeDLhCqabrMXpwo4AOpVz5G7yglWBo_r=mo,あまり当てにならない,2,1,1.1.0,2021-12-14 06:04:51,,
gp:AOqpTOHcucDFLmcl79sixp3GeOGAVA-n1jdDfTJd_PaOZHh2LvU_UInf_HwhopW-LIRGNThWVN9TY4quTQ8tI38,【双樹】まきこ,https://play-lh.googleusercontent.com/a-/AOh14GhorOer5C0tlxobyd1HhYHQBfTiOW8ylSZWMd0L5A,にゃんルームに入ったら設定マークから設定出来ないし、翻訳のバリエーションにない鳴き声をするみたい。 前のスマホだったら翻訳されていたのに機種変したら表示できなくなっていました。 せめて設定画面に行けるようにお願いします。,3,4,1.1.0,2021-12-13 17:32:04,,
gp:AOqpTOGr5fiaMiDEhSqBBZNCJD4L2ZjTw5i0bQPmCSH4hcOE53hagqln6U5Kwe8NyIGwKCP-b69b0ga_bMTPyHk,でがらしポニョ,https://play-lh.googleusercontent.com/a-/AOh14Gg-bHmjlTI0UlCnYKSPuBIIxpXrFNOpPAIstTTkKQ,大事な時に聞き取らない、居ないはずの時に何故か聞き取っている(恐ろしい)ハッキリ言って使えない。 翻訳できれば嬉しいけど、うちの子が10回鳴いて一度翻訳機が翻訳するのがせいぜい。 プレミアムにしてみたけど、同じ。正直月額で取れる代物ではない。,1,6,1.1.0,2021-12-13 14:45:06,,
gp:AOqpTOG8T82gd5V_yDWiQoqDVOpxU_pt75XAZIORZjz1tjkymfF2WxTErFPKvyGUje9kkFYxLzHg2j7zZHuhtW4,木戸久美子,https://play-lh.googleusercontent.com/a/AATXAJxOH4LWNh8Z7gCc5u9BI7maoC5X3LGavmga_1c2=mo,猫が本当にそんな事言っているのか!半信半疑です,5,0,1.0.3,2021-12-13 09:21:54,,
gp:AOqpTOHI9_oQE8__SEVk6nr6E5UYKyT2dTAmW9iwyyAswjoNUsrQXARdL5zetGE8sQMJwSBdSJMjZ2g0C5dHXqY,Casselnes Alex,https://play-lh.googleusercontent.com/a-/AOh14Gh4OScq6YE5hQEHxxl4QMvogggdaj9QRy4AywU95g,登録された猫の削除ができるようにして下さい 虹の橋を渡った子を見るのは辛いです,4,0,1.1.0,2021-12-13 09:17:27,,
gp:AOqpTOEz8WnW1ofcrCHg3-5xjNSPQjgju_zzohGUnE6IiQt8zWdjjMHfiqoPLYxImTc9YF4jcu9ubowHPrvs8To,はらまき,https://play-lh.googleusercontent.com/a-/AOh14GiPDLct2Cl_ReoSnaH4oAYuiiV0zOp_h6tbiEYDGQ,まだ｢ネットワークエラーです｣って出て使えません…,1,14,1.1.0,2021-12-12 20:42:34,,
gp:AOqpTOGvWFVYWTn7dRcokbTjQA-mxtE6nU0dHimVk9KpBz7tYNThG0LGxSx-VggVuG77FQ4gNdir8k4FgFbnrfM,cotton canon,https://play-lh.googleusercontent.com/a-/AOh14GgnhOmOFTcL0CtYN_tPEFyCAdJaKBBapZsh41tBMQ,初期段階から”新規登録すら出来ません“ なんだこれ?,1,0,,2021-12-12 03:39:19,,
gp:AOqpTOEVorBrJG9p3reKFkmtWwknFSCVUoes5B1FxCRl6VugsEVq5kgSD2WcR4Yt3QfW_1u2GggYVABVFRV-uMs,まぁさきみぃ,https://play-lh.googleusercontent.com/a-/AOh14GjefkJosmttGzkCDU9yURHvBUZh2fIY2qlR8doImg,たまに「ボカシ」が入った状態の翻訳があるのは何だろう…(?_?) 何となく気になってしまった…,5,0,1.1.0,2021-12-12 03:18:23,,
