at,reviewId,content
2021-12-15 10:43:52,gp:AOqpTOH1piJE0-3nTroB5y9zVxYgB8M14xRjcJatgH4vafDbgXPAJ59qEOT4tjcI3W_spt9nqyjiVwXSbM8z-A,直近の更新後、自転車移動を感知しなくなりました
2021-12-15 10:43:52,gp:AOqpTOH1piJE0-3nTroB5y9zVxYgB8M14xRjcJatgH4vafDbgXPAJ59qEOT4tjcI3W_spt9nqyjiVwXSbM8z-A,次のアップデートで改善されればよいのですが
2021-12-15 09:08:56,gp:AOqpTOGCANazjcEcU8fnSqMFlAppmHIxBM3p5OoFEes7I7GMTdxmSzzjNhNOl8QXDuoqrYnNVAzFyynUUreCcw,自分が使っているアプリやスマートウォッチと連携が出来なくなっている早く問題を解決して下さい
2021-12-15 09:02:06,gp:AOqpTOFStfTxgbYe0nQSG3XWgOqA3_IAugjebNLZxEOjH2ACndJoN_Md_3IUViw_mxGsyBkkVqbPDx8fs_CWgw,しょっちゅうフリーズして使い物にならないです
2021-12-15 07:49:47,gp:AOqpTOFg1aRqfSqc_kL58WtGUV-GYNot-OK2UUPHl3isrGhiD3GQrXBWy3hDeP0-W8nepxaXBIz28uVeYnq19w,楽しいです
2021-12-15 07:44:14,gp:AOqpTOFB_2aS9CEpuKg28WrVxHYKVtmsMcgX3sWGxDQfD9Lp8HbMoK7LTG61Bi-bNVWYT9D1mu0jyfiAQ0TlQw,分かりやすくて、毎日見たくなります
2021-12-15 07:44:14,gp:AOqpTOFB_2aS9CEpuKg28WrVxHYKVtmsMcgX3sWGxDQfD9Lp8HbMoK7LTG61Bi-bNVWYT9D1mu0jyfiAQ0TlQw,もう少し精度が上がるともっと良いです
2021-12-15 06:47:30,gp:AOqpTOFHYjSlNznrwJzvSwPywjnJjGqscwU7GluM2O808BBTie4pWb1JJvVJAqX8utG-sF-P8mxdgk93_GQzKw,結構面倒くさいのに、何故か毎日記録を残し続けています
2021-12-15 06:47:30,gp:AOqpTOFHYjSlNznrwJzvSwPywjnJjGqscwU7GluM2O808BBTie4pWb1JJvVJAqX8utG-sF-P8mxdgk93_GQzKw,後で役に立っのかな
2021-12-15 06:47:30,gp:AOqpTOFHYjSlNznrwJzvSwPywjnJjGqscwU7GluM2O808BBTie4pWb1JJvVJAqX8utG-sF-P8mxdgk93_GQzKw,多分
