at,reviewId,content
2021-12-15 23:52:27,gp:AOqpTOEQXDDXfx00FzeBKAN6I72S9FHONlUWPGSzIuvOZElBglzlz1tUTsh9T4zHEPIzuaoUYqAsdtx28V36lWw,楽天キャッシュが楽天カードしかチャージ対応してないから☆1ですね
2021-12-15 23:52:27,gp:AOqpTOEQXDDXfx00FzeBKAN6I72S9FHONlUWPGSzIuvOZElBglzlz1tUTsh9T4zHEPIzuaoUYqAsdtx28V36lWw,使い勝手悪い
2021-12-15 22:29:30,gp:AOqpTOEWJsIrrxygJHAn5QYHmGaoqhh57DnzooJH0VwUUYAXZ-xb6CuSwVk8GDPhM24aPdNgCLDJye8BYwADAv4,起動出来ない事が多い結局カードまたは現金で決済
2021-12-15 21:30:28,gp:AOqpTOEeUUv9uOsTLD9hag9UH83pN37GXWIYd_WKNvUIg-WLaA9w4hF8h6KC5JwasS_YkVPNQ3hQke0PEh89qew,パートナー回線通信速度1g時で利用すると、販売店でのバーコードの読み取りに時間がかかり過ぎる
2021-12-15 20:57:25,gp:AOqpTOEe0yIi7P3CAcmur6oI8WWun5BttcNbJWKuyJunHBr1ScoMYre7EctJT-NHe63VqqKv6taczg_112qyD6w,とても便利
2021-12-15 20:08:03,gp:AOqpTOEeTNVI_nu24VTkrbSwaJnPJMxAs4VfQf4e6EbDYhsEYvZ6ZNEVk81iSLhn4M-KRuK2Z0SnI4_E1Afo6uY,ポイントを使用したくてインストールしたが失敗だった
2021-12-15 20:08:03,gp:AOqpTOEeTNVI_nu24VTkrbSwaJnPJMxAs4VfQf4e6EbDYhsEYvZ6ZNEVk81iSLhn4M-KRuK2Z0SnI4_E1Afo6uY,動作が重く読み込みに時間がかかり、支払いがうまくいかないことが数回あった
2021-12-15 20:08:03,gp:AOqpTOEeTNVI_nu24VTkrbSwaJnPJMxAs4VfQf4e6EbDYhsEYvZ6ZNEVk81iSLhn4M-KRuK2Z0SnI4_E1Afo6uY,位置情報など余計な権限を求めてくるのも煩わしい
2021-12-15 17:45:05,gp:AOqpTOHLNouIasaOPCgmBpbuUWS5KNPoWuHk4w-p3labAGPkl9NFfUScZcZfugf_FDoeOeo-S0mPaNuwKBXcDHw,同感ですね
2021-12-15 17:45:05,gp:AOqpTOHLNouIasaOPCgmBpbuUWS5KNPoWuHk4w-p3labAGPkl9NFfUScZcZfugf_FDoeOeo-S0mPaNuwKBXcDHw,無限に回って停止しまくり
2021-12-15 17:45:05,gp:AOqpTOHLNouIasaOPCgmBpbuUWS5KNPoWuHk4w-p3labAGPkl9NFfUScZcZfugf_FDoeOeo-S0mPaNuwKBXcDHw,全く決済できない
2021-12-15 16:13:36,gp:AOqpTOH-x_Wk3XVbG7oUMAoM_0QI378wECgFOM8PED2ZzLPSLfNgRVyWgf3dUnbPWQuW2teYXQA5MI2JG65urjY,とても簡単だった
2021-12-15 15:17:32,gp:AOqpTOEngMkarOnG9ipX64JlGA2SnCRog8_FEo4F-BjZZLc1cBc3zf13GpzzQuFD3MLjgvr2HDL_Sckkobn_7WE,このアプリの一番使いやすいところは、プリペイドカードと違いクレジットカードト連携していれば、わざわざ残高に注意しながらチャージをしないで済むところですかね
2021-12-15 15:17:32,gp:AOqpTOEngMkarOnG9ipX64JlGA2SnCRog8_FEo4F-BjZZLc1cBc3zf13GpzzQuFD3MLjgvr2HDL_Sckkobn_7WE,お店のレジで残高不足ということがないのが良いです
2021-12-15 14:57:49,gp:AOqpTOGgmjoH1YPnEV0y8WI8sQ3VVtddsG_zH0oas657hLLFPBrzS1AQpPH1YmLI9ksfaboeRecVhJkvxNwEN5M,利用限度額が少ないし、何でエラーになるのか分からない
2021-12-15 13:54:07,gp:AOqpTOF0JnpnWjAVPsfiTrJT8ib5HKjOdZD5RXE_cp3y825h_uya0gMptnKgHKoikMGP9Pwznu5vdXRQx_wRvqQ,楽天ペイアプリで瞬間チャージ設定したものの、肝心の楽天市場→ポイント利用変更画面の中に楽天キャッシュを優先的に使うの項目が表示されておらず使えない
2021-12-15 13:54:07,gp:AOqpTOF0JnpnWjAVPsfiTrJT8ib5HKjOdZD5RXE_cp3y825h_uya0gMptnKgHKoikMGP9Pwznu5vdXRQx_wRvqQ,お問い合わせしようにものらりくらりと誘導され直接ヘルプと繋がることができず
2021-12-15 13:54:07,gp:AOqpTOF0JnpnWjAVPsfiTrJT8ib5HKjOdZD5RXE_cp3y825h_uya0gMptnKgHKoikMGP9Pwznu5vdXRQx_wRvqQ,楽天関係はエラーが起きたときの対応力が不足し過ぎです
2021-12-15 13:30:27,gp:AOqpTOG80h7so9KzkMBaf4SgEscypgAwqoJdBbhSt6VuTeMFY_GJnptBjHYf-fgWV8kSwMl63QHeDC5QpAtHJa4,バーコードをかざすだけなのでとても簡単でした♪
2021-12-15 12:41:45,gp:AOqpTOFagFG2p4-hrBqlWz843uMRwLgT6vtAdey2b3EZJP6-TOOfLjAr0S1Ji8ymnOuak-w0Nn6GgNAC1XyryeE,何で使えないアプリがgoogleストア登録されてるの
2021-12-15 12:41:45,gp:AOqpTOFagFG2p4-hrBqlWz843uMRwLgT6vtAdey2b3EZJP6-TOOfLjAr0S1Ji8ymnOuak-w0Nn6GgNAC1XyryeE,ログインできなくなって3ヶ月以上放置
2021-12-15 12:37:06,gp:AOqpTOHRgh93zKA-rWQq_jk9B1cveFGOeJ61U6LjIXHw8WcPBJ4qZAt480I-tIiN5ca5Y2UX6osW7q7JRnY3QF8,楽天payの新規登録出来ないのは東京の在日不法在留者ネパール人が衛星通信映像窃取による盗撮・盗聴を視聴しながら遠隔マイクロ波照射と衝撃波の企業元端末システム直操作の窃取による成りすまし会員窃盗実施証拠
2021-12-15 12:37:06,gp:AOqpTOHRgh93zKA-rWQq_jk9B1cveFGOeJ61U6LjIXHw8WcPBJ4qZAt480I-tIiN5ca5Y2UX6osW7q7JRnY3QF8,個人、警察署管轄を超えた国家犯罪
2021-12-15 12:37:06,gp:AOqpTOHRgh93zKA-rWQq_jk9B1cveFGOeJ61U6LjIXHw8WcPBJ4qZAt480I-tIiN5ca5Y2UX6osW7q7JRnY3QF8,企業関係企業同士の情報共有化と早期改善希望する
