at,reviewId,content
2021-12-15 23:17:55,gp:AOqpTOHJyeO0Jf0hh6WwQ-_Qt18us_aVRBJbV6hPRBsEPPWh_r9djnOpVHLumrcWSeNlaAdMY30WNrjDozlY,もう少し更新の頻度があると楽しみ
2021-12-15 21:14:07,gp:AOqpTOGPd5oiWvLUfBFLQMDyVSvLZl2Bhc0nLdAQqUF-c7bQEGDWLrA-J23VPtv_REGgjvunK_aBE8D3rQyB,クレジットカードの登録可能ブランドがjcbのみ
2021-12-15 21:14:07,gp:AOqpTOGPd5oiWvLUfBFLQMDyVSvLZl2Bhc0nLdAQqUF-c7bQEGDWLrA-J23VPtv_REGgjvunK_aBE8D3rQyB,シェアが一番低いブランドしか使えないとか意味がない
2021-12-15 17:12:48,gp:AOqpTOHhdkFyh83KgZTqGFQwfiVfDVoYG6kBDlEIJ23B5APu43uBhV6s_jFIH-2aVyDK00GM8zMbLlK1hKxz,ポイントカードが選べて支払いがバーコード一つで済むし、他店向けにポイントカードのバーコードも出せたりします
2021-12-15 17:12:48,gp:AOqpTOHhdkFyh83KgZTqGFQwfiVfDVoYG6kBDlEIJ23B5APu43uBhV6s_jFIH-2aVyDK00GM8zMbLlK1hKxz,ちょくちょくお酒の無料クーポンがもらえています
2021-12-15 17:09:08,gp:AOqpTOGnZS2UCJ6lFgL3dP-enqMkWVGDl1eLel0CtgDtohPEu7TDcAg130E98pFIDyzMhtF7T4csR1Tp2KC-,ファミペイで年賀状が買えたfamilymartだけかな
2021-12-15 17:09:08,gp:AOqpTOGnZS2UCJ6lFgL3dP-enqMkWVGDl1eLel0CtgDtohPEu7TDcAg130E98pFIDyzMhtF7T4csR1Tp2KC-,ファミポートで、何故現金チャージができない
2021-12-15 16:59:00,gp:AOqpTOFU6ZD2JuTM60yN4yoai7AobMDL3GSKVuDto6w44xxzZAnnV_XPyMYJq5H9Xnnc1alQ82qVrqWrE3U2,容量食い過ぎ️
2021-12-15 16:54:32,gp:AOqpTOG9WbnRdCycO1_yN9-O2v6yUanJYPEmfsQePH8U1oXowxtz4qwMiCmx8eNpytWMCB9mGlBgHPTGeUap,使いやすくて重宝してます
2021-12-15 15:16:42,gp:AOqpTOEQHRi1zmUlARrmchvfhKmGBiSFyFbp-Wa0KLvxfLTnAYPiXE7SFMg6X1hHx7haHmjc2r_X-_m0P6gG,会員登録してあるにもかかわらず、しばらく利用してなかったら、ログインできなくなった
2021-12-15 14:27:47,gp:AOqpTOFtB0rZx31g33DzwQO-U2fi0i6duIEaTaVrUinuAoBq59HWpWgeSOYRDZxfhFUTDxrO6F1gEe5X0uJl,不定期ですがアルコール飲料系の無料クーポンが届くので大変ありがたい
2021-12-15 12:37:36,gp:AOqpTOGkSp-jy_M4ODsTwNDTYAOZwl-EAvrEmuSzqyWys0rLiiX9-ZqnsgsUFwYz3-JWQAdu7LX0IN0gxtri,ポイントとの連携も他のアプリより楽だし、クーポンもかなり来る
2021-12-15 12:37:36,gp:AOqpTOGkSp-jy_M4ODsTwNDTYAOZwl-EAvrEmuSzqyWys0rLiiX9-ZqnsgsUFwYz3-JWQAdu7LX0IN0gxtri,このアプリが出来てからファミマ愛用者になりました
2021-12-15 10:22:12,gp:AOqpTOFg9IgKNwaJwwdbABStTXxmqVPvdM1yxY6Ce0iELDWO3kk9W-qqgTUbvdVN2MHm9JpZnFSJB-NyxE9K,3000円以上のチャージで無料クーポンが貰えて公共料金の支払いができてちょっと得した気分です
2021-12-15 10:14:36,gp:AOqpTOG3XDCe-pJm-H05myv5V5oMgtuw9DI8vfE9wUXBjiCf0wHPyuAlEdsYPuzc6NR37ZGWqO0mype9yW-s,コンビニ頑張れp^-^q
2021-12-15 09:28:09,gp:AOqpTOEBVXKWRz06bemGxTFRScoQx13ZWLfh7C7nAhRJ5rey2SAU2agT0fASmmS9KdLlTmowQqoNXXRylzdm,特典がいろいろあって、楽しい
2021-12-15 09:28:09,gp:AOqpTOEBVXKWRz06bemGxTFRScoQx13ZWLfh7C7nAhRJ5rey2SAU2agT0fASmmS9KdLlTmowQqoNXXRylzdm,無料クーポンの配布はとても嬉しい
2021-12-15 07:48:13,gp:AOqpTOF7X-9o_NpPM9cBcCITZu70OGroNnR4u_8X39lfRmL_4KKhpUr9bN3HqS-XcT5sbf0uBh9ThHa1PCq5,いつもクーポン利用し、いろんな商品を新たに知る事ができています
2021-12-15 07:48:13,gp:AOqpTOF7X-9o_NpPM9cBcCITZu70OGroNnR4u_8X39lfRmL_4KKhpUr9bN3HqS-XcT5sbf0uBh9ThHa1PCq5,ありがとうございます
2021-12-15 05:08:10,gp:AOqpTOHf5Gh4Njg3Te19UN6JW97Zrb7msXJH7CkkdOLh7EGaJM7N8ZbLxvv2-ec27OBRlqFw1Soz-mKlGg-L,初期の時から比べると進化しましたね
2021-12-15 05:08:10,gp:AOqpTOHf5Gh4Njg3Te19UN6JW97Zrb7msXJH7CkkdOLh7EGaJM7N8ZbLxvv2-ec27OBRlqFw1Soz-mKlGg-L,無料で貰える商品も増えて来て良いです
2021-12-15 05:08:10,gp:AOqpTOHf5Gh4Njg3Te19UN6JW97Zrb7msXJH7CkkdOLh7EGaJM7N8ZbLxvv2-ec27OBRlqFw1Soz-mKlGg-L,セブンのアプリよりは良いと思う
2021-12-15 05:08:10,gp:AOqpTOHf5Gh4Njg3Te19UN6JW97Zrb7msXJH7CkkdOLh7EGaJM7N8ZbLxvv2-ec27OBRlqFw1Soz-mKlGg-L,ポイントが楽天、tポイント、dポイントの3箇所、使えるの良いかな
2021-12-14 21:00:57,gp:AOqpTOH7CPEqzaCQEfIhvfVM4OCC3oll8l9zbMsjxIc4jcYFbKWkirtP3k3ipVd57fCUV1L9Lkny-zKb9DaW,分かりやすいけどこのような更新はいつ終わる
2021-12-14 19:18:23,gp:AOqpTOFgINzFsMpL_fA4-sEsRIRwsQ7BDYl-JwKkRUfCW8hK9rBs3B0FpglV0oLrymJlZD8Oe4_bsWr168OE,無料クーポンプレゼントは、ありがたいです
2021-12-14 18:45:35,gp:AOqpTOEdU9dJoN555fHSjKEOSL6TpnIHgLiz21cWFFhF5TGFGwduVUcMwoMs1FMhdBQi4L5PrAsn5cmF6O7q,アプリ特典は素晴らしい
2021-12-14 17:20:47,gp:AOqpTOErEj6TntKeAExfbfRh04VKsMAzyw398lF6ZizzvFXb6-yPSr7N6N_yNiz0srPmvBlHRfJp0xqXfSr2,クーポンが結構もらえる
2021-12-14 15:28:36,gp:AOqpTOGnFVEJ3qqvLQuS1p6fZ496ao8Y80APHPS5uTcmR0ZRwDOWKK93_fr9MFuAGDaurmcmh-YVSCZ-EzhR,最悪
2021-12-14 15:28:36,gp:AOqpTOGnFVEJ3qqvLQuS1p6fZ496ao8Y80APHPS5uTcmR0ZRwDOWKK93_fr9MFuAGDaurmcmh-YVSCZ-EzhR,支払いの時に強制的に更新させる
2021-12-14 15:28:36,gp:AOqpTOGnFVEJ3qqvLQuS1p6fZ496ao8Y80APHPS5uTcmR0ZRwDOWKK93_fr9MFuAGDaurmcmh-YVSCZ-EzhR,全くユーザーのことを考えていない糞アプリ
