at,id,content
2023-10-24 14:00:08+00:00,1716816849483288991,"RT @emuratee: 夜露が降りて水滴が付きすぎて、名和晃平の鹿みたいになってる、ヤマトシジミ

https://t.co/eDbWuhdZ0s https://t.co/R4SQOFuCO4"
2023-10-24 14:00:02+00:00,1716816825529622853,今日はロードバイクで。昨日、Google fitがサボったお陰で走ってないことになってたので、ちょい頑張って距離を伸ばしてみる。ま26×2.0で走った翌日の700×25cの回転の軽さが面白い。太いタイヤ楽しいと思って、翌日に細い高圧タイヤのギャップよ。 https://t.co/43XnlgZvmZ
2023-10-24 13:59:27+00:00,1716816678351454573,Speed Comicking. how to hack your own art | by Ryan Estrada | Artist Advice  | Medium https://t.co/wZmuN9rSYV
2023-10-24 13:57:29+00:00,1716816183767503195,"RT @Foon8176: Apo Nnattawin CD ICON RELAXED-FIT T-SHIRT #CDiCon #DiorSpring24 
@Nnattawin1 #Nnattawin @Dior https://t.co/Lnqoqe5B6a https:/…"
2023-10-24 13:50:14+00:00,1716814357915693356,RT @HuaweiMobileKSA: اي من هذين الشاشتين الرائعتين ستفضل HUAWEI MatePad PaperMatte 11.5  ذو الشاشة الورقية المانعة للإنعكاس او الشاشة الكلا…
2023-10-24 13:46:00+00:00,1716813293254230119,@Sigma_Painter_ @Moathh91 @NugrahaAulia15 @halfbakedhumans @jakeshieldsajj I can also give you quotes from your bible that prove he is not the son of god or god but its too many they can’t fit here :) i have to put them in a google doc lmao
2023-10-24 13:44:19+00:00,1716812867960500712,"RT @emuratee: 夜露が降りて水滴が付きすぎて、名和晃平の鹿みたいになってる、ヤマトシジミ

https://t.co/eDbWuhdZ0s https://t.co/R4SQOFuCO4"
2023-10-24 13:43:37+00:00,1716812691908731149,"RT @emuratee: 夜露が降りて水滴が付きすぎて、名和晃平の鹿みたいになってる、ヤマトシジミ

https://t.co/eDbWuhdZ0s https://t.co/R4SQOFuCO4"
2023-10-24 13:41:10+00:00,1716812076411441431,"夜露が降りて水滴が付きすぎて、名和晃平の鹿みたいになってる、ヤマトシジミ

https://t.co/eDbWuhdZ0s https://t.co/R4SQOFuCO4"
2023-10-24 13:38:03+00:00,1716811292693209397,RT @HuaweiMobileKSA: اي من هذين الشاشتين الرائعتين ستفضل HUAWEI MatePad PaperMatte 11.5  ذو الشاشة الورقية المانعة للإنعكاس او الشاشة الكلا…
2023-10-24 13:31:47+00:00,1716809716318507439,RT @HuaweiMobileKSA: اي من هذين الشاشتين الرائعتين ستفضل HUAWEI MatePad PaperMatte 11.5  ذو الشاشة الورقية المانعة للإنعكاس او الشاشة الكلا…
2023-10-24 13:27:02+00:00,1716808519285109247,RT @HuaweiMobileKSA: اي من هذين الشاشتين الرائعتين ستفضل HUAWEI MatePad PaperMatte 11.5  ذو الشاشة الورقية المانعة للإنعكاس او الشاشة الكلا…
2023-10-24 13:21:19+00:00,1716807079975895513,"RT @Toasted_6: We're hiring a builders for @MatthewBeem gaming! Preferably one full time!

Apply below and tag people who you think would b…"
2023-10-24 13:20:51+00:00,1716806964615819424,"RT @Toasted_6: We're hiring a builders for @MatthewBeem gaming! Preferably one full time!

Apply below and tag people who you think would b…"
2023-10-24 13:15:58+00:00,1716805733768163395,"@MattTutt1 Hey Google 

How many bottle of Chateauneuf de Pape can you fit in a British standard size shopping trolley?

Using this data I can calculate how many bottles of wine per hour (to invoice, not to drink). 

Once I have the number of hours I can spread out my AVB per month. 

Logic"
2023-10-24 13:02:24+00:00,1716802319684178076,RT @HuaweiMobileKSA: اي من هذين الشاشتين الرائعتين ستفضل HUAWEI MatePad PaperMatte 11.5  ذو الشاشة الورقية المانعة للإنعكاس او الشاشة الكلا…
