at,id,content
2023-10-24 13:51:05+00:00,1716814571502272585,"スマートニュース #毎日ナンプレ #496
https://t.co/HgKcy5pua7

⬜⬜⬜　⬜5️⃣⬜　4️⃣1️⃣8️⃣
8️⃣⬜4️⃣　6️⃣⬜⬜　5️⃣⬜⬜
1️⃣⬜7️⃣　⬜⬜3️⃣　⬜⬜⬜

⬜⬜9️⃣　5️⃣⬜8️⃣　⬜⬜6️⃣
2️⃣8️⃣⬜　⬜⬜⬜　⬜3️⃣⬜
⬜1️⃣⬜　⬜⬜2️⃣　8️⃣⬜⬜

⬜⬜⬜　⬜⬜6️⃣　⬜2️⃣5️⃣
⬜6️⃣1️⃣　7️⃣2️⃣⬜　⬜⬜⬜
7️⃣⬜⬜　⬜4️⃣⬜　⬜6️⃣⬜"
2023-10-24 13:40:58+00:00,1716812026931228859,"スマートニュース #毎日ナンプレ #496
https://t.co/UrcuniMHtB

⬜⬜⬜　⬜5️⃣⬜　4️⃣1️⃣8️⃣
8️⃣⬜4️⃣　6️⃣⬜⬜　5️⃣⬜⬜
1️⃣⬜7️⃣　⬜⬜3️⃣　⬜⬜⬜

⬜⬜9️⃣　5️⃣⬜8️⃣　⬜⬜6️⃣
2️⃣8️⃣⬜　⬜⬜⬜　⬜3️⃣⬜
⬜1️⃣⬜　⬜⬜2️⃣　8️⃣⬜⬜

⬜⬜⬜　⬜⬜6️⃣　⬜2️⃣5️⃣
⬜6️⃣1️⃣　7️⃣2️⃣⬜　⬜⬜⬜
7️⃣⬜⬜　⬜4️⃣⬜　⬜6️⃣⬜
2719"
2023-10-24 13:28:36+00:00,1716808912501198966,"スマートニュース #毎日ナンプレ #496
https://t.co/FJKpI7Ycne

⬜⬜⬜　⬜5️⃣⬜　4️⃣1️⃣8️⃣
8️⃣⬜4️⃣　6️⃣⬜⬜　5️⃣⬜⬜
1️⃣⬜7️⃣　⬜⬜3️⃣　⬜⬜⬜

⬜⬜9️⃣　5️⃣⬜8️⃣　⬜⬜6️⃣
2️⃣8️⃣⬜　⬜⬜⬜　⬜3️⃣⬜
⬜1️⃣⬜　⬜⬜2️⃣　8️⃣⬜⬜

⬜⬜⬜　⬜⬜6️⃣　⬜2️⃣5️⃣
⬜6️⃣1️⃣　7️⃣2️⃣⬜　⬜⬜⬜
7️⃣⬜⬜　⬜4️⃣⬜　⬜6️⃣⬜"
2023-10-24 13:28:00+00:00,1716808760981934566,上がるはずの銘柄。スマートニュースなどでチェックして。ユニクロとか。 https://t.co/jZnfIYB1Wr
2023-10-24 12:59:20+00:00,1716801549727633700,"RT @seriserijonn: 【お仕事】スマートニュース様にて不破湊さんを描かせていただきました！
7/17までポスターかクリアファイルが当たる抽選を開催しています、是非ご応募ください！ https://t.co/UcKGrvJyij"
2023-10-24 12:45:58+00:00,1716798185631601048,"@saison_universe スマートニュースのアプリで
櫻坂って調べると公式チャンネル出るので
そこで見れます！( ^-^ )b"
2023-10-24 12:40:18+00:00,1716796757936672969,スマートニュースのネタバレやめてほしい、もうアプリ消す
2023-10-24 11:45:36+00:00,1716782992038002939,"スマートニュース
#毎日挑戦クロスワード #559
⬜🟨⬜⬜⬜
⬛⬜🟨⬛🟨
⬜⬜⬛⬜⬜
🟨⬛⬜⬜⬜
⬜⬜⬜⬜⬜
今日のラッキーワード: タイキン
https://t.co/PH85PsiB0I"
2023-10-24 11:38:12+00:00,1716781128948895971,"RT @IHayato: うお、びっくり！

BYD（中国の車メーカー、比亜迪汽車）の広告がスマートニュースに。

もちろんEVです。残念ながら自動運転はなし（自動運転あったらほしかった！）

テスラを筆頭に、日本車よりもいい選択肢は、どんどん出てきそうですね。 https:/…"
2023-10-24 11:34:35+00:00,1716780218730577942,"お疲れ様〜✨️

エガちゃんねる400万人達成のアーカイブなかなか見れない😭

キングオブコントも見れない😭
キングが誰になったか知らないよう禁スマートニュース状態🥹
ちょっとした浦島さん🥲"
2023-10-24 11:33:47+00:00,1716780017273995750,タコハイ、スマートニュースの記事に載ってたから夕飯の時に飲んでみたけど結構さっぱりしてていいねこれ
2023-10-24 11:29:51+00:00,1716779031151190280,"@natablog__mm スマートニュースってCMで見たけど、今までずっとスルーだった！👀
そんな使い方もあるとは…📝"
2023-10-24 11:17:35+00:00,1716775940414701611,"RT @naohiraishi: ✅ウ軍支えるｲｰﾛﾝ•ﾏｽｸ""スターリンク""
衛星•ドローン駆使
鈴木一人さん@KS_1013 

✅ｽﾏｰﾄﾆｭｰｽ""こたつ記事""排除か?🤔

✅成田悠輔さんと考える""飛び級&amp;落第""

#アベプラ 新年度
議論振り返る時間とり､一歩前へ😊…"
2023-10-24 11:00:51+00:00,1716771732638568646,"スマートニュース #毎日ナンプレ #496
https://t.co/TLwn9plKPh

⬜⬜⬜　⬜5️⃣⬜　4️⃣1️⃣8️⃣
8️⃣⬜4️⃣　6️⃣⬜⬜　5️⃣⬜⬜
1️⃣⬜7️⃣　⬜⬜3️⃣　⬜⬜⬜

⬜⬜9️⃣　5️⃣⬜8️⃣　⬜⬜6️⃣
2️⃣8️⃣⬜　⬜⬜⬜　⬜3️⃣⬜
⬜1️⃣⬜　⬜⬜2️⃣　8️⃣⬜⬜

⬜⬜⬜　⬜⬜6️⃣　⬜2️⃣5️⃣
⬜6️⃣1️⃣　7️⃣2️⃣⬜　⬜⬜⬜
7️⃣⬜⬜　⬜4️⃣⬜　⬜6️⃣⬜"
2023-10-24 10:47:27+00:00,1716768360644702253,"@ponbenekoaaaa しごとしてたー‼️🌟
あれいスマートニュースに載ってる^_^"
2023-10-24 10:46:36+00:00,1716768143601996134,"スマートニュース
#毎日挑戦クロスワード #559
⬜🟨⬜⬜⬜
⬛⬜🟨⬛🟨
⬜⬜⬛⬜⬜
🟨⬛⬜⬜⬜
⬜⬜⬜⬜⬜
今日のラッキーワード: タイキン
https://t.co/zncMPM8rss"
2023-10-24 10:41:46+00:00,1716766929900441744,スマートニュースの速報があぽーおっちに流れて来た時ちょうどトイレに入ってて驚きすぎておしっことまった
2023-10-24 10:27:44+00:00,1716763396362907858,"スマートニュース
#毎日挑戦クロスワード #559
⬜🟨⬜⬜⬜
⬛⬜🟨⬛🟨
⬜⬜⬛⬜⬜
🟨⬛⬜⬜⬜
⬜⬜⬜⬜⬜
今日のラッキーワード: タイキン
https://t.co/BV4nqj4Zwz"
2023-10-24 10:09:32+00:00,1716758815612489793,"今日も僕のスマートニュースのトップは、ホスト、売春、ホスト、売春…

さあ今日も朝まで頑張ろう😍🥂 https://t.co/E1C2cFxH7i"
2023-10-24 09:55:07+00:00,1716755189397676098,"スマートニュース
#毎日挑戦クロスワード #559
⬜🟨⬜⬜⬜
⬛⬜🟨⬛🟨
⬜⬜⬛⬜⬜
🟨⬛⬜⬜⬜
⬜⬜⬜⬜⬜
今日のラッキーワード: タイキン
https://t.co/HHd5flxFTK"
2023-10-24 09:46:54+00:00,1716753120385290455,@335_box こんばんは、今日スマートニュースで夏目様の記事を発見しました。人気者だね。
2023-10-24 09:37:29+00:00,1716750753338122356,"スマートニュース #毎日ナンプレ #496
https://t.co/puHJlO6hFo

⬜⬜⬜　⬜5️⃣⬜　4️⃣1️⃣8️⃣
8️⃣⬜4️⃣　6️⃣⬜⬜　5️⃣⬜⬜
1️⃣⬜7️⃣　⬜⬜3️⃣　⬜⬜⬜

⬜⬜9️⃣　5️⃣⬜8️⃣　⬜⬜6️⃣
2️⃣8️⃣⬜　⬜⬜⬜　⬜3️⃣⬜
⬜1️⃣⬜　⬜⬜2️⃣　8️⃣⬜⬜

⬜⬜⬜　⬜⬜6️⃣　⬜2️⃣5️⃣
⬜6️⃣1️⃣　7️⃣2️⃣⬜　⬜⬜⬜
7️⃣⬜⬜　⬜4️⃣⬜　⬜6️⃣⬜"
2023-10-24 09:22:16+00:00,1716746920125940152,"RT @m_n_c_r: スマートニュース様で壱百満天原サロメさんの待ち受けを描かせていただきました💯
本日ダウンロードラストチャンスですのでよろしくお願いいたします～！ https://t.co/DDtpoilv6A"
2023-10-24 09:21:31+00:00,1716746733471080566,"RT @m_n_c_r: スマートニュース様(@smartnews_ja)でリゼ・ヘルエスタさんの待ち受けを担当させていただきました！👑
抽選でポスターやクリアファイルがもらえるキャンペーン中ですのでチェックしてみてください✨ https://t.co/VZlXx8j1Es"
2023-10-24 09:20:50+00:00,1716746560019816698,"スマートニュース
#毎日挑戦クロスワード #559
⬜🟨⬜⬜⬜
⬛⬜🟨⬛🟨
⬜⬜⬛⬜⬜
🟨⬛⬜⬜⬜
⬜⬜⬜⬜⬜
今日のラッキーワード: タイキン
https://t.co/9zhtv2tyVn"
2023-10-24 09:18:36+00:00,1716746000906453297,@Katsumi_N666 スマートニュースに速報が入っていて、信じられないです😣
2023-10-24 09:15:47+00:00,1716745292421435618,"スマートニュース
#毎日挑戦クロスワード #559
⬜🟨⬜⬜⬜
⬛⬜🟨⬛🟨
⬜⬜⬛⬜⬜
🟨⬛⬜⬜⬜
⬜⬜⬜⬜⬜
今日のラッキーワード: タイキン
https://t.co/ontUZBqKKs"
2023-10-24 09:10:55+00:00,1716744066774478975,"@mamipon7 スマートニュースに
出た人ですか？"
2023-10-24 09:08:48+00:00,1716743532709634140,"母に詐欺の電話かかってきた。こわ・・
NTTファイナンスからスマートニュースの架空請求。
「あなたの電話の応対が悪いから未納の場合は弁護士をたてて訴訟を起こしますよ！」って男性にぶちぎれられたらしい。母も負けじと「友達にきいてみますね！！」って切れ返したら電話切られたみたいｗ"
2023-10-24 08:31:19+00:00,1716734101192167813,"RT @seriserijonn: 【お仕事】スマートニュース様にて不破湊さんを描かせていただきました！
7/17までポスターかクリアファイルが当たる抽選を開催しています、是非ご応募ください！ https://t.co/UcKGrvJyij"
2023-10-24 08:02:08+00:00,1716726756684730511,"通知全消去しちゃったけどまたスマートニュース溜まってら
ついったの通知は消えてないよ"
2023-10-24 07:59:36+00:00,1716726118584311814,"スマートニュース #毎日ナンプレ #496
https://t.co/SjjUrHZ2AK

⬜⬜⬜　⬜5️⃣⬜　4️⃣1️⃣8️⃣
8️⃣⬜4️⃣　6️⃣⬜⬜　5️⃣⬜⬜
1️⃣⬜7️⃣　⬜⬜3️⃣　⬜⬜⬜

⬜⬜9️⃣　5️⃣⬜8️⃣　⬜⬜6️⃣
2️⃣8️⃣⬜　⬜⬜⬜　⬜3️⃣⬜
⬜1️⃣⬜　⬜⬜2️⃣　8️⃣⬜⬜

⬜⬜⬜　⬜⬜6️⃣　⬜2️⃣5️⃣
⬜6️⃣1️⃣　7️⃣2️⃣⬜　⬜⬜⬜
7️⃣⬜⬜　⬜4️⃣⬜　⬜6️⃣⬜"
2023-10-24 07:59:11+00:00,1716726014200660330,"スマートニュース
#毎日挑戦クロスワード #559
⬜🟨⬜⬜⬜
⬛⬜🟨⬛🟨
⬜⬜⬛⬜⬜
🟨⬛⬜⬜⬜
⬜⬜⬜⬜⬜
今日のラッキーワード: タイキン
https://t.co/zSxDDYhuAr"
2023-10-24 07:58:08+00:00,1716725749720477896,"ショップで店員さん待ちしてる時にスマートニュースの通知が来て、何かと思ったらBUCK-TICK櫻井さんの訃報で息を呑んだ。そんなこと、あってたまるかと思って。
先日のFC限定ライブの途中で体調を悪くされたとはニュースで見てたけど、まさか…早すぎるよ…。"
2023-10-24 07:23:44+00:00,1716717091775193380,"@natablog__mm 私もスマートニュース使ってる〜🤭💖
ヒント見つけるぞ✊🏻✊🏻"
2023-10-24 07:21:57+00:00,1716716643307696499,"スマートニュース
#毎日挑戦クロスワード #559
⬜🟨⬜⬜⬜
⬛⬜🟨⬛🟨
⬜⬜⬛⬜⬜
🟨⬛⬜⬜⬜
⬜⬜⬜⬜⬜
今日のラッキーワード: タイキン
https://t.co/djQKW4OtyK"
2023-10-24 07:08:57+00:00,1716713369838006354,"RT @Youko11041: |ｮ'ω'〃)おはようございます♪
今朝の1枚📸何か違う吉幾三さんww
いつもスマートニュースから怪しいのを探してます(*´艸`*)
昨日あげたトモちゃんはなりすましのアカウントからでした💦
スマニューも気付かないのかな？
皆さまにとって今日も笑…"
2023-10-24 06:55:58+00:00,1716710104580669646,"RT @seriserijonn: 【お仕事】スマートニュース様にて不破湊さんを描かせていただきました！
7/17までポスターかクリアファイルが当たる抽選を開催しています、是非ご応募ください！ https://t.co/UcKGrvJyij"
2023-10-24 06:51:32+00:00,1716708990393143309,スマートニュースのクロスワード、出題者変わった？
2023-10-24 06:48:51+00:00,1716708315550638514,"RT @JYPETWICE_JAPAN: #MISAMO 日本初公演記念 ✨

スマートニュース内TWICEチャンネルにて、MISAMOサイン入りグッズ抽選会がスタート！
第1弾企画は【3人のサイン入りTシャツ】毎日抽選❣️
詳細は特設ページにて📷

⇨https://t.co…"
2023-10-24 06:24:16+00:00,1716702125936583014,"スマートニュース
#毎日挑戦クロスワード #559
⬜🟨⬜⬜⬜
⬛⬜🟨⬛🟨
⬜⬜⬛⬜⬜
🟨⬛⬜⬜⬜
⬜⬜⬜⬜⬜
今日のラッキーワード: タイキン
https://t.co/Mv9btqzyVJ"
