at,id,content
2021-12-15T23:59:21.000Z,1471268676460769281,"やはりファミペイは素晴らしい

私の好みのクーポンを定期的に届けてくれる

ただアプリを開かないと使えないから、ウォレットで起動出来るようにしたいなぁ

@famima_now 
#ファミペイ"
2021-12-15T23:55:17.000Z,1471267651452534784,"店員が渋々レジの操作をして、ファミペイのQRコードを読み取ると支払いが完了した。
店員がビックリした⁉️
店員「ファミペイで支払えるなんて知りませんでした❗️」
私「私も初めてだったからちょっと不安でしたよ。」
お互い笑って会計が完了した😆

ローソンでファミペイを使うという暴挙でした😂"
2021-12-15T23:55:17.000Z,1471267650504638466,"昨日、ローソンで
私「ファミペイで支払います」
店員「ここはファミマじゃないです」
私「知ってます。支払いをファミペイで払いたいんです。」
店員「ここはローソンだからできません」
私「支払えるのは確認してあるのでやってみて❗️」
店員が渋々レジの操作をして…続く"
2021-12-15T23:55:17.000Z,1471267651452534784,"店員が渋々レジの操作をして、ファミペイのQRコードを読み取ると支払いが完了した。
店員がビックリした⁉️
店員「ファミペイで支払えるなんて知りませんでした❗️」
私「私も初めてだったからちょっと不安でしたよ。」
お互い笑って会計が完了した😆

ローソンでファミペイを使うという暴挙でした😂"
2021-12-15T23:55:17.000Z,1471267650504638466,"昨日、ローソンで
私「ファミペイで支払います」
店員「ここはファミマじゃないです」
私「知ってます。支払いをファミペイで払いたいんです。」
店員「ここはローソンだからできません」
私「支払えるのは確認してあるのでやってみて❗️」
店員が渋々レジの操作をして…続く"
2021-12-15T23:34:24.000Z,1471262393686962176,"ファミマのぐぐぷれキャンペーンありがたい。
今ファミマが最大20%還元キャンペーンやってて、銀行チャージ→本人確認→翌月払いができていれば、
１ファミマ(ぐぐぷれカード)とその他のお店(薬局でうまい棒とか)合計1万以上使用
２そのうちいくらかを翌月払い(ファミペイ残高以上買う)
でOKなの。"
2021-12-15T23:17:17.000Z,1471258086648455170,モンスターを買うときにファミペイで払うと10円安いことがあり、「ファミペイの払いで」と言ってるので「本居宣長」みたいな語感になってる
2021-12-15T23:00:53.000Z,1471253960464166912,"はい、また もらっちゃいました‼️#ファミペイ から クーポンを～
美味しく 頂きました‼️🍺 "
2021-12-15T22:04:19.000Z,1471239726526976000,"ファミマにて、ファミペイのアプリのバーコードを見せたからって、直ぐに“ファミペイで支払いですか？”って決済されそうになったけど、いやいやそこは客にヒアリングしろよ！って思った。

トレーニング中のお姉さん、２回目だよ、キャッシュレス決済使ったことないの？使った事なさげだなw"
2021-12-15T21:55:00.000Z,1471237382611812352,＼〈速報〉ブログ追加よ〜／ 【誰でもおトク！】今日の無料コンビニクーポン・おトク情報（2021/12/16） 今日の#無料クーポン #お得情報 を紹介するわ~ #ファミペイ #ローソンアプリ #お試し引換券 #おトク
