1,【特定】 【ジャンル】 【ユーザー】 
2,【通知】 【表情】 
3,【非表示】 【機能】 【表示】 
4,【なら】 【あて】 
5,【ネットワーク】 【でき】 【不安定】 
6,【機能性】 【必要】 【ある】 
7,【過ぎ】 
8,【画面】 【無音】 【タップ】 
9,【見え】 【動画】 【文字】 
10,【内容】 【構成】 【幼稚】 
11,【アプリ】 【最低】 
12,【ユーザー】 【増え】 
13,【多い】 【古い】 【もの】 
14,【少ない】 【ユーザー】 
15,【広告】 【詐欺】 【レベル】 
16,【反応】 【くる】 
17,【カメラ】 【項目】 【診断】 
18,【ダーク】 【モード】 【ほしい】 
19,【エラー】 【ネットワーク】 
20,【接続】 【インターネット】 【不安定】 
21,【仕様】 【アプリ】 【理解】 
22,【致命的】 【不具合】 
23,【採用】 【パック】 【そのまま】 
24,【止まり】 
25,【やめ】 【やり方】 【困り】 
26,【伴い】 【時間】 【増加】 
27,【追記】 【反映】 【発生】 
28,【買い物】 【アプリ】 【出来】 
29,【脂性】 【素人】 【作り出さ】 
30,【転載】 【多い】 【無断】 
31,【反映】 【投稿】 
32,【通知】 【内容】 【くる】 
33,【分かる】 【診断】 
