1,【simeji】 【打ち】 【起動】 
2,【vs】 【持っ】 【伴い】 
3,【simeji】 【とも】 【表示】 
4,【絵文字】 【入力】 【入れ】 
5,
6,【simeji】 【すぎ】 【変換】 
7,【simeji】 【文章】 【変換】 
8,【めんどくさい】 【個人情報】 【打つ】 
9,【simeji】 【タイピング】 【アプリ】 
10,【変換】 【意味】 【わから】 
11,【変換】 【ミス】 
12,【iphone】 【キーボード】 【使え】 
13,【切り替える】 【再起動】 【いけ】 
14,【simeji】 【絵文字】 【新しい】 
15,【すぎる】 【キーボード】 【反応】 
16,【電池】 【減る】 
17,【iphone】 【使おう】 【line】 
18,【あり】 【メーカー】 【キーボード】 
19,【入力ミス】 【simeji】 【仕様】 
20,【反応】 【遅い】 
21,【きつい】 【絵文字】 【simeji】 
22,【打た】 【いけ】 【unk】 
23,【操作】 【simeji】 【背景】 
24,【ズレる】 【simeji】 【アプリ】 
25,【再起動】 【スマホ】 【アプリ】 
26,
27,【消える】 【一気】 【文字】 
28,【使え】 【昨日】 【選択肢】 
29,【予測】 【感度】 【違う】 
30,【simeji】 【アプリ】 【なっ】 
31,【simeji】 【キーボード】 【戻る】 
32,【simeji】 【のん】 【機能】 
33,【simeji】 【予測】 【変換】 
34,【切り替え】 【面倒】 
35,
36,【simeji】 【タップ】 【on】 
37,【めんどくさい】 【打つ】 【わかる】 
38,
39,【simeji】 【使え】 【なる】 
40,【記号】 【出力】 
41,【simeji】 【うるさい】 【可愛い】 
42,【simeji】 【なっ】 【discord】 
43,【ローマ字】 【綴り】 【そもそも】 
44,
45,【simeji】 【わから】 【キャラ】 
46,【simeji】 【iphone】 【先走り】 
