1,【ゴミ】 【邪魔】 【記事】 
2,
3,【機能】 【スマート】 【クリップ】 
4,【voiceover】 【くれ】 【ニュース】 
5,【smartnews】 【拡大】 【降り】 
6,【楽天ポイント】 【しまう】 【もらえ】 
7,
8,【改善】 【バグ】 【ズレ】 
9,【時間差】 【問題】 【バラバラ】 
10,【見分け】 【広告】 【スマート】 
11,【スマホ】 【みにくく】 【機能】 
12,【更新】 【スマート】 【google】 
13,【メディア】 【なっ】 【タイムライン】 
14,【voiceover】 【なっ】 【ニュース】 
15,【悲しい】 【クーポン】 【スマート】 
16,【受付】 【スマート】 【新規】 
17,【なっ】 【グノシー】 【広告】 
18,【スマート】 【ニュース】 【開か】 
19,【スマート】 【アプリ】 【更新】 
20,【すぎ】 【記事】 
21,【ボイス】 【なっ】 【読み上げ】 
22,【スマート】 【表示】 【警察】 
23,【アプリ】 【ボイス】 【スマート】 
24,【リスト】 【なっ】 【読ま】 
25,【なっ】 【本体】 【部分】 
26,【特定】 【持つ】 【機能】 
27,
28,【メディア】 【スマート】 【ソース】 
29,【川越】 【遅延】 【全線】 
30,【芸能人】 【機種変】 【とき】 
31,【不具合】 
32,
33,【スマート】 【不具合】 【ニュース】 
