g_3711,paypay,2023-12-04 15:48:13,案内が不十分であるが,案内が不十分,1
g_3717,paypay,2023-11-21 11:37:41,83歳今一頭が霞んで前進がないです,83歳今一頭が霞んで前進がない,4
g_3718,paypay,2023-10-26 10:32:03,ソフトバンクユーザー限定クーポンがあるのに、何故ワイモバイルユーザー対象外なのでしょうか,ソフトバンクユーザー限定クーポンがあるのに、何故ワイモバイルユーザー対象外なのでしょうか,5
g_3719,paypay,2023-11-07 11:42:41,現在はお金の管理のために用途別に複数電子マネーを使っているのですが、面倒なのとpaypayの方が利用できる範囲が広いので,現在はお金の管理のために用途別に複数電子マネーを使っているのですが、面倒なのとpaypayの方が利用できる範囲が広い,6
g_3721,paypay,2023-11-03 15:54:48,本人確認の為に運転免許証を撮影し、厚み確認に移ろうとすると強制終了されて一向に進まない,強制終了されて一向に進まない,8
g_3724,paypay,2023-10-14 00:29:45,オートチャージにしろと,オートチャージにしろと,9
g_3725,paypay,2023-10-13 18:43:28,取り出しとバーコード読み込んでもらわないとめんどくさい,取り出しとバーコード読み込んでもらわないとめんどくさい,10
g_3882,paypay,2023-10-13 18:43:28,取り出しとバーコード読み込んでもらわないとめんどくさい,取り出しとバーコード読み込んでもらわないとめんどくさい,10
g_3726,paypay,2023-10-30 10:41:23,各社家計簿サービスと連携できるようにして欲しい,各社家計簿サービスと連携できるようにして欲しい,11
g_3727,paypay,2023-11-29 18:54:41,警察にまで足を運んでるのにpaypayの本部の人は何も犯人について調べて処罰してくれませんでした,犯人について調べて処罰してくれません,12
g_3728,paypay,2023-12-12 07:38:09,重たい思いもしなくてすみます,重たい,13
g_3729,paypay,2023-11-04 14:17:32,残高履歴が無くなった,残高履歴が無くなった,14
g_3732,paypay,2023-12-10 19:52:55,故意に解りずらくしているようだ,故意に解りずらくしている,15
g_3734,paypay,2023-11-10 11:05:58,でも、ペイペイクレジットカードでないと決済ができなくなると聞いたのですが、そうなったら違う決済方法にかえると思います,ペイペイクレジットカードでないと決済ができなくなると聞いたのですが、そうなったら違う決済方法にかえる,16
g_3738,paypay,2023-10-15 08:35:19,アップデート後から設定が反映されてません,設定が反映されてません,17
g_5305,paypay,2023-10-30 17:40:13,設定でも表示出来ない模様,設定でも表示出来ない,17
g_3739,paypay,2023-12-03 17:19:01,宣伝や通知、お知らせはユーザー側でどんなに古くても消すことができない,宣伝や通知、お知らせはユーザー側でどんなに古くても消すことができない,18
g_3745,paypay,2023-10-23 21:32:55,"最近、買い物してレジで支払いをしようとアプリを立ち上げると、インターネットに接続出来ませんのメッセージが出て、5,000円までなら支払が出来ますとポップアップで表示される事が多発するので、別の支払方法を使わなきゃならなくなります","インターネットに接続出来ませんのメッセージが出て、5,000円までなら支払が出来ますとポップアップで表示される事が多発する",21
g_3747,paypay,2023-10-04 18:38:24,使用したが本人確認が妨害されモバイルネットワークが勝手ジャンプは元端末システム直操作の在日ロックbitの在日多国籍軍25万人の荒川区金髪、、7スタン、、、、、茶髪男女イスラム、、、、、、、、、、、クマル70代バァバァが遠隔殺人マイクロ波固定化照射電子レンジ化➋サブミリ波照射、➌超音波、➍レーザー光線照射、➎赤外線照射、➏衝撃波マイクロ波は秒速30万km身体固定化侵攻、脳固定化侵攻、耳管固定化侵攻の耳管狭窄症、眼球固定化侵攻、喉、気道固定化侵攻の喉頭蓋妨害、肺固定化侵攻の肺酸素吸引による酸欠呼吸困難と偽肺炎、偽誤嚥性肺炎、血管・血液固定化侵攻、神経、筋肉固定化侵攻、膀胱固定化侵攻、睾丸・子宮固定化侵攻の子孫繁栄妨害の少子高齢化、癌どこの部位でも、とスマホ元端末システム直操作窃取によるアカウント窃盗の他人スマホ交換と改ざん実施,本人確認が妨害されモバイルネットワークが勝手ジャンプは元端末システム直操作の在日ロックbitの在日多国籍軍25万人の荒川区金髪、、7スタン、、、、、茶髪男女イスラム、、、、、、、、、、、クマル70代バァバァが遠隔殺人マイクロ波固定化照射電子レンジ化[UNK]サブミリ波照射、[UNK]超音波、[UNK]レーザー光線照射、[UNK]赤外線照射、[UNK]衝撃波マイクロ波は秒速30万km身体固定化侵攻、脳固定化侵攻、耳管固定化侵攻の耳管[UNK]症、眼球固定化侵攻、喉、気道固定化侵攻の喉頭蓋妨害、肺固定化侵攻の肺酸素吸引による酸欠呼吸困難と偽肺炎、偽誤[UNK]性肺炎、血管・血液固定化侵攻、神経、筋肉固定化侵攻、[UNK]固定化侵攻、[UNK]・子宮固定化侵攻の子孫繁栄妨害の少子高齢化、癌どこの部位でも、とスマホ元端末システム直操作窃取によるアカウント窃盗の他人スマホ交換と改ざん実施,23
g_3790,paypay,2023-10-04 18:38:24,使用したが本人確認が妨害されモバイルネットワークが勝手ジャンプは元端末システム直操作の在日ロックbitの在日多国籍軍25万人の荒川区金髪、、7スタン、、、、、茶髪男女イスラム、、、、、、、、、、、クマル70代バァバァが遠隔殺人マイクロ波固定化照射電子レンジ化➋サブミリ波照射、➌超音波、➍レーザー光線照射、➎赤外線照射、➏衝撃波マイクロ波は秒速30万km身体固定化侵攻、脳固定化侵攻、耳管固定化侵攻の耳管狭窄症、眼球固定化侵攻、喉、気道固定化侵攻の喉頭蓋妨害、肺固定化侵攻の肺酸素吸引による酸欠呼吸困難と偽肺炎、偽誤嚥性肺炎、血管・血液固定化侵攻、神経、筋肉固定化侵攻、膀胱固定化侵攻、睾丸・子宮固定化侵攻の子孫繁栄妨害の少子高齢化、癌どこの部位でも、とスマホ元端末システム直操作窃取によるアカウント窃盗の他人スマホ交換と改ざん実施,本人確認が妨害されモバイルネットワークが勝手ジャンプは元端末システム直操作の在日ロックbitの在日多国籍軍25万人の荒川区金髪、、7スタン、、、、、茶髪男女イスラム、、、、、、、、、、、クマル70代バァバァが遠隔殺人マイクロ波固定化照射電子レンジ化[UNK]サブミリ波照射、[UNK]超音波、[UNK]レーザー光線照射、[UNK]赤外線照射、[UNK]衝撃波マイクロ波は秒速30万km身体固定化侵攻、脳固定化侵攻、耳管固定化侵攻の耳管[UNK]症、眼球固定化侵攻、喉、気道固定化侵攻の喉頭蓋妨害、肺固定化侵攻の肺酸素吸引による酸欠呼吸困難と偽肺炎、偽誤[UNK]性肺炎、血管・血液固定化侵攻、神経、筋肉固定化侵攻、[UNK]固定化侵攻、[UNK]・子宮固定化侵攻の子孫繁栄妨害の少子高齢化、癌どこの部位でも、とスマホ元端末システム直操作窃取によるアカウント窃盗の他人スマホ交換と改ざん実施,23
g_3752,paypay,2023-10-19 21:28:10,ズバトク等で当たったpaypayポイントが、残高に反映されないんだけど,ズバトク等で当たったpaypayポイントが、残高に反映されない,24
g_3758,paypay,2023-11-18 18:19:53,また見たい日付までスワイプさせていかないといけない,見たい日付までスワイプさせていかないといけない,26
g_3760,paypay,2023-12-01 14:47:08,どこでも使える様にして欲しいです〜,どこでも使える様にして欲しい,27
g_3761,paypay,2023-11-20 21:52:07,クーポンもフォローしてる店舗は自動的にクーポン獲得するようにしてください,クーポンもフォローしてる店舗は自動的にクーポン獲得するようにしてください,28
g_3762,paypay,2023-12-06 17:54:16,価値の無いコンテンツが多いように感じる,価値の無いコンテンツが多い,29
g_3767,paypay,2023-10-17 20:04:49,paypayのポイントを残高に移せたがいきなり0円になるのはなぜ,paypayのポイントを残高に移せたがいきなり0円になる,30
g_3768,paypay,2023-11-18 11:48:28,支払い設定を別々に出来ないでしょうか,支払い設定を別々に出来ないでしょうか,31
g_3769,paypay,2023-12-12 19:05:13,多くの方が別のアカウントですでに本人確認済みの場合について解決を求める声多いのに解決するきないとしか思えない,多くの方が別のアカウントですでに本人確認済みの場合について解決を求める声多いのに解決するきない,32
g_3770,paypay,2023-10-05 09:48:28,銀行口座を登録したのにも関わらず残高チャージができない,銀行口座を登録したのにも関わらず残高チャージができない,33
g_3771,paypay,2023-11-25 17:25:44,支払いと付与されたポイントがわかり易かった残高履歴が使えなくなり、わかりにくい表示の取引履歴に移行してしまったので、星3つです,支払いと付与されたポイントがわかり易かった残高履歴が使えなくなり、わかりにくい表示の取引履歴に移行してしまった,34
g_3772,paypay,2023-10-28 12:14:41,なぜandroid版のみウィジェットが無いのか謎なのですが、とても便利なのでウィジェット機能をいち早く追加してほしいです,android版のみウィジェットが無いのか謎なのですが、とても便利なのでウィジェット機能をいち早く追加してほしい,35
g_3773,paypay,2023-10-05 21:19:30,出てくるのが遅いという口コミが多かったので予約の際にお刺身の盛り合わせだけ頼んでいたのですが、本当に美味しい,出てくるのが遅い,36
g_3774,paypay,2023-11-28 23:22:12,先月利用分のポイントが今月のいつについたのかがわかりにくいです,先月利用分のポイントが今月のいつについたのかがわかりにくい,37
g_4529,paypay,2023-10-31 18:54:12,いつのポイントがいつ付与されたのかがわからないから混乱する,いつのポイントがいつ付与されたのかがわからない,37
g_3775,paypay,2023-12-09 06:37:17,セキュリティも選べないし強制されるし一体なんなんだろう,セキュリティも選べないし強制される,38
g_3777,paypay,2023-12-04 15:41:43,最初は使い勝手良かったけど最初はなかったのにいろんなもから手数料取り始めたり還元率普通に悪くなってきたりで別に使う意味ないかなって感じてきた,最初は使い勝手良かったけど最初はなかったのにいろんなもから手数料取り始めたり還元率普通に悪くなってきたり,39
g_3786,paypay,2023-10-30 17:40:13,トップの残高とウォレットの用途の違いを理解して欲しい,トップの残高とウォレットの用途の違いを理解して欲しい,42
g_3787,paypay,2023-11-06 02:33:30,本人確認しろと言われても、その必要書類の種類が少ないのでそれを持ってない人には出来ませんし、ソフトバンクユーザーで連携しているんだからそれで本人確認してくれよ,本人確認しろと言われても、その必要書類の種類が少ない,43
g_3791,paypay,2023-12-06 17:54:16,できるだけこの画面を見たいくないくらいuiが悪い,できるだけこの画面を見たいくないくらいuiが悪い,45
g_3794,paypay,2023-11-20 21:52:07,とにかく検索機能が全く使い物になりません,検索機能が全く使い物になりません,46
