音楽の波形と実際に出てくる音が全然合ってない明らかに無音パートなのに波形はある,93
ノイズ軽減,69
どうにかしてください,83
画像がぶれて、再生ボタン押しても再生されなくなったしあと画像が勝手に伸びる,122
を修正してほしい,29
アプデする前まで加工補正しても音ズレなく綺麗に仕上がってたのに、アプデした途端音ズレがかなり酷くなったから加工補正できない,11
1回電源を切って、もう一度起動すると直ります,84
長時間になった部分を再度短くするもしくは削除しようとすると一切合切操作を受け付けてくれなくなりアプリの再起動をしても改善せず使い物にならなくて,11
gifが使えないダウンロードもしてアルバムにも入ってるのにアプリを開いて動画や画像を載せようとするとgifだけ入っていない,73
capcutを開くと編集出来ず落とされてしまい編集が出来ない,26
自分でインポートしたものに名前をつけられて検索できるとなおよし,114
使い勝手変えすぎて使い方がさらにわかりにくくなった,112
使いたい時にいちいち探すのめんどくさい,86
スマホから音声を取り出すと、選んだものとは違う音声が挿入されて,124
保存したあとの動画を見てみると重くて固まった動画になってて,1
一時停止の欠如,94
フォントをダウンロードしたのにアプリにアップロードできない,101
動画保存もそんな時間かからない,102
バグ,16
1つ戻るボタンの横のひし形のマークのやつ、置いても何も起きないしグラフとか付けてもなにも動かない,78
私のミスがなにかあったかと思い、いろいろ確認したのですが普通にお目当ての音声はスマホではちゃんと再生されます,80
動画と、写真だけではなく、gifも使えるようにしてほしい,105
複数の文字のフォントや色を変えてを押すと、最後のひとつしか反映されなくなりました,100
容量が増えてエクスポートできない,96
アルバムから消えたものは保存していてもその動画から消えるのは改善してほしい,6
愛用してるので復活させて下さい,66
運営さん、やめてください,77
ぼかしなどができない,103
ロック系も増えて欲しい,74
バグも多い,22
テキスト読み上げのカワボがあるならばイケボも追加してほしい,79
めっちゃ落ちる,92
なんか沢山画像を使うとかくつく,68
顔モザを自動でつける機能が欲しい,104
編集ができない,121
エラー,97
写真を多く入れるとラグが出てくるのでそこを直してくれたら,116
バグが書ききれない,2
修正お願いします,29
不満があるとすれば文字の教科書フォントでたまに文字が変になる,91
過去のプロジェクトも残っているものと、音楽のみ残って動画だけ消えている,59
そこを直してくれたら嬉しい,31
フォント消えた,12
