id,datetime,context,question,answer
g_1409,2021-11-22 18:34:18,使い勝手が良くなってきて嬉しいです,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
t_4500069,2021-10-24T09:54:25.000Z,お家でも,この文はTwitterのツイートです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
t_1792675,2021-11-09T04:01:17.000Z,女の子にリアルでは縁がないため,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_3873235,2021-10-28T02:56:57.000Z,一日二回ガチャが引けるお祭りだ,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
g_6756,2021-10-23 23:15:32,majicaサーバーとの通信に失敗しましたと表示されリトライしても繋がらず,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,majicaサーバーとの通信に失敗しましたと表示されリトライしても繋がらず
g_8948,2021-11-13 20:45:09,小銭を持たずに支払いが出来て、キャンペーンも多いので重宝しています,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,
t_2550832,2021-11-27T08:14:33.000Z,で,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_3572,2021-12-15 20:01:20,抽選に全く当たる気がしない,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
g_10473,2021-11-24 12:38:46,良かった,この文章はGooglePlayストアのレビューです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_3254,2021-10-30 15:12:20,おおむね良好ですが、自販機前での反応が悪いことがあります,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,自販機前での反応が悪い
t_4146492,2021-11-19T12:37:12.000Z,×まさかのコラボ,この文はTwitterのツイートです。simejiアプリの欠陥やsimejiアプリに対する要望が書かれているのはどこですか？,
t_1052245,2021-10-21T11:24:50.000Z,3時間企画,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_1549859,2021-11-03T01:41:32.000Z,誰か1200vbucks余ってるからpaypay900円と交換してくれないかな,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_3718989,2021-12-08T21:39:47.000Z,秘密厳守します️,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_13223,2021-12-07 19:31:23,もっとポピュラーに普及して欲しいです,この文章はGooglePlayストアのレビューです。楽天ペイアプリの欠陥や楽天ペイアプリに対する要望が書かれているのはどこですか？,ポピュラーに普及して欲しい
g_2357,2021-11-07 12:31:17,スタンプためるのが、おもしろい,この文章はGooglePlayストアのレビューです。CokeONアプリの欠陥やCokeONアプリに対する要望が書かれているのはどこですか？,
t_2697234,2021-11-30T11:58:40.000Z,1等賞品はpaypayボーナス1万円相当が5名様に今すぐアクセス,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_1725069,2021-11-04T03:08:28.000Z,5000円2,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
g_7453,2021-11-21 13:48:35,便利しかない^o^,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,
g_8167,2021-11-24 18:08:02,ただスマホはdocomo派です,この文章はGooglePlayストアのレビューです。Paypayアプリの欠陥やPaypayアプリに対する要望が書かれているのはどこですか？,
t_2057075,2021-11-18T13:18:16.000Z,実績作りの為、格安で対応します,この文はTwitterのツイートです。paypayアプリの欠陥やpaypayアプリに対する要望が書かれているのはどこですか？,
t_4418371,2021-11-22T17:50:23.000Z,アプリからスマートニュースをdl,この文はTwitterのツイートです。スマートニュースアプリの欠陥やスマートニュースアプリに対する要望が書かれているのはどこですか？,
g_6157,2021-11-30 09:25:29,開いてもすぐに閉じてしまう,この文章はGooglePlayストアのレビューです。majicaアプリの欠陥やmajicaアプリに対する要望が書かれているのはどこですか？,開いてもすぐに閉じてしまう
