id,app_name,datetime,context,prediction
g_1,buzzvideo,2021-11-02 01:02:25,なかなか美形多くて良いが、可愛いくてeカップくらいの美女のmai-k・倉木麻衣ちゃんのlive動画も挙げてほしい,可愛いくてeカップくらいの美女のmai-k・倉木麻衣ちゃんのlive動画も挙げてほしい
g_2,buzzvideo,2021-11-11 09:40:21,正直言って同じ画像が通知で何回もくる場合もあるどんどん新しいのを送ってほしい,同じ画像が通知で何回もくる場合もあるどんどん新しいのを送ってほしい
g_8,buzzvideo,2021-11-21 21:43:27,ビデオは面白いのに、嫌いな広告無効にできないので☆1他の広告は流れてもかまわない,嫌いな広告無効にできない
g_12,buzzvideo,2021-11-17 09:00:05,タイトル詐欺が多すぎる,タイトル詐欺が多すぎる
g_19,buzzvideo,2021-10-30 00:12:37,時々、話が途中で終わってしまうものが有るんですが、何故か解りません,話が途中で終わってしまうものが有る
g_20,buzzvideo,2021-11-15 19:06:21,良くわからなかった、,良くわからなかった
g_23,buzzvideo,2021-10-31 13:16:10,エラー発生した,エラー発生した
g_24,buzzvideo,2021-12-15 11:09:50,分かりづらい,分かりづらい
g_26,buzzvideo,2021-11-10 00:37:22,投稿コメントの、修整本人のみが出来ると、なお良い,投稿コメントの、修整本人のみが出来ると、なお良い
g_28,buzzvideo,2021-11-25 05:55:44,再生時間が短いから気軽に見られますよ,再生時間が短い
g_34,buzzvideo,2021-10-30 21:59:12,友達いねーもんだから嘘の動画投稿する事しか出来ねーのかよ‪,嘘の動画投稿する事しか出来ねーのか
g_38,buzzvideo,2021-11-06 23:35:37,殆ど毎日見てますが、ここ何ヵ月間に、見てる最中、途中から動画が停まってしまい再生されません,途中から動画が停まってしまい再生されません
g_41,buzzvideo,2021-11-13 09:03:33,あと広告に関しては、しょうがないとは思ってるが、無理やり音を出して見せようとしてくる,広告に関しては、しょうがないとは思ってるが、無理やり音を出して見せようとしてくる
g_53,buzzvideo,2021-10-28 19:19:02,しかしまだまだ有るのが実態です,しかしまだまだ有る
g_57,buzzvideo,2021-11-01 22:41:54,最近小室圭さん関連の動画流れてますが、取り締まりできないのですか,最近小室圭さん関連の動画流れてますが、取り締まりできないのですか
g_62,buzzvideo,2021-10-30 21:59:12,社会の時間って奴なんとしろよ,社会の時間って奴なんとしろよ
g_64,buzzvideo,2021-10-30 04:10:23,低評価したビデオが何度もオススメ通知される,低評価したビデオが何度もオススメ通知される
g_68,buzzvideo,2021-12-06 07:07:53,変な絡みしてくる人多い,変な絡みしてくる
g_69,buzzvideo,2021-11-15 23:32:00,途中終了は流石に酷い落ちがわからないとつまらん,途中終了は流石に酷い落ちがわからないとつまらん
