id,app_name,datetime,context,prediction
g_3953,google_fit,2021-12-01 09:24:32,距離や地図、速度、高低差が出て、やった感があります,距離や地図、速度、高低差が出て
g_3956,google_fit,2021-10-27 09:14:37,多数のデバイスと接続可能で便利ではあるが、頻繁にデータが消えてしまう,データが消えてしまう
g_3958,google_fit,2021-11-18 17:26:29,ちなみにアプリ再起動も端末再起動も試したが改善されなかったので、アップデートで修正してほしい,アプリ再起動も端末再起動も試したが改善されなかったので、アップデートで修正してほしい
g_3962,google_fit,2021-12-04 22:33:14,何も設定をいじっていないのですが、何だったんでしょうか,何も設定をいじっていない
g_3963,google_fit,2021-11-17 08:09:39,よく止まる,よく止まる
g_3965,google_fit,2021-12-14 13:53:42,急に歩数が全くカウントされなくなりました,歩数が全くカウントされなくなりました
g_3966,google_fit,2021-11-18 17:26:29,おかしいなと思いながらも更に運動してもう一度確認すると、減っていた歩数からまた更に減っている,減っていた歩数からまた更に減っている
g_3969,google_fit,2021-12-02 12:50:40,最近は一度歩数としてカウントしたものを後から減産するようになったのではないか,
g_3970,google_fit,2021-11-01 00:03:56,他のアプリと連動させてポイントを集めてるのにカウントされなくなったりカウントが減ったりする,カウントされなくなったりカウントが減ったりする
g_3971,google_fit,2021-11-07 21:45:58,11/7追記今日5000歩も減りました11/1追記毎日何百歩も歩数減る,毎日何百歩も歩数減る
g_3972,google_fit,2021-11-11 19:27:52,バグが多すぎる,バグが多すぎる
g_3973,google_fit,2021-11-10 06:15:18,歩いても歩数がカウントされない事が多い,歩数がカウントされない
g_3976,google_fit,2021-11-26 10:23:47,歩数が知りたいのに運動時間しかわからない,歩数が知りたいのに運動時間しかわからない
g_3977,google_fit,2021-11-11 08:28:30,酷い時は一気に200歩近く減る,一気に200歩近く減る
g_3978,google_fit,2021-11-07 13:57:15,一時間歩いて3000歩も歩いてないってのはありえないです,一時間歩いて3000歩も歩いてない
g_3979,google_fit,2021-12-04 19:21:54,他のアプリと連動させているので困っています,他のアプリと連動させている
g_3980,google_fit,2021-11-01 19:32:41,ダウンロードが出来ないぞ,ダウンロードが出来ない
g_3983,google_fit,2021-11-13 19:51:03,歩数計としての機能がアバウト過ぎです,歩数計としての機能がアバウト過ぎ
