id,app_name,datetime,context,prediction
g_5773,majica,2021-11-28 14:21:34,1度アプリを削減し再インストールしようとしましたがお使いのデバイスでは利用できませんと表示されインストールできません,お使いのデバイスでは利用できませんと表示されインストールできません
g_5774,majica,2021-12-05 13:25:55,まぁ、安い物も無いことはありませんが、先日のアプリのトラブル以来、ドンキでの買い物は激減しました,安い物も無い
g_5776,majica,2021-11-27 18:28:05,最近、不具合多過ぎ,不具合多過ぎ
g_5777,majica,2021-11-27 10:38:58,昨日からアプリが開けません,アプリが開けません
g_5778,majica,2021-11-20 16:31:12,どのメニューを選んでも同じエラーで全く使えない,どのメニューを選んでも同じエラーで全く使えない
g_5781,majica,2021-11-12 19:57:59,退会や解約が出来ず、辞めたくなっても個人情報の保護が出来ません,個人情報の保護が出来ません
g_5782,majica,2021-11-29 08:54:12,よろしければ、本日中には、改善していただきたいと願います,よろしければ、本日中には、改善していただきたいと願います
g_5783,majica,2021-11-30 08:39:21,対応がダメなので★は変えません,対応がダメ
g_5784,majica,2021-11-29 23:27:52,いつもは使えるのに、今日アプリをお店で開いたら、開けない状態になっててうちの携帯が壊れたんかと思ってしまった,アプリをお店で開いたら、開けない状態になっててうちの携帯が壊れた
g_5785,majica,2021-12-15 10:20:11,勝手にログアウトされて以来、何をしても入れなくなりました,勝手にログアウトされて以来、何をしても入れなくなりました
g_5786,majica,2021-11-28 18:32:48,ただ、残高やクーポンなどは復旧するまで使用できません,残高やクーポンなどは復旧するまで使用できません
g_5787,majica,2021-11-29 08:40:19,起動してもすぐに消えるとなる現象がここ何日間つづいている,起動してもすぐに消える
g_5789,majica,2021-11-27 21:35:56,何とか直して欲しい,何とか直して欲しい
g_5790,majica,2021-11-29 21:58:12,今日、クーポンを使って買い物しようと思っていたら、アプリが開けず再起動しても何してもダメ,アプリが開けず
g_5791,majica,2021-11-28 12:15:44,再起動しても変わらず,再起動しても変わらず
g_5792,majica,2021-11-28 10:08:31,他の人も同じような症状が出てるようなので、早急に解決をお願いします,早急に解決をお願いします
g_5793,majica,2021-11-27 19:54:31,ある日いきなり立ち上がらなくなるなど決済アプリとしては致命的だと思いますその後の復旧後の対処も最低です,いきなり立ち上がらなくなるなど決済アプリとしては致命的だと思いますその後の復旧後の対処も最低
g_5794,majica,2021-11-29 01:50:18,マジカのアプリ死んでるって声に出して言ってましたけど、店員さん何も教えてくれませんでしたね,マジカのアプリ死んでるって声に出して言ってましたけど、店員さん何も教えてくれませんでした
g_5798,majica,2021-11-26 18:18:41,アップデートしたら使えなくなって、一度アンインストールしてもう一度最初から・・・認証させるのが面倒でした,アップデートしたら使えなくなって、一度アンインストールしてもう一度最初から・・・認証させるのが面倒
g_5803,majica,2021-12-01 11:16:17,調べると、一部androidユーザーに不具合が起きていてすでに修正したので更新してとのことだが,androidユーザーに不具合
g_5805,majica,2021-11-27 11:29:52,繰り返し停止していますと表示されてしまう,繰り返し停止していますと表示されてしまう
g_5806,majica,2021-11-27 13:18:19,クーポンを見たいのに開かないから見れない,開かない
g_5807,majica,2021-10-29 07:58:32,店内にはいると、クーポンが表示されたり、されなかったり通信エラーバーコードでの検索もできなかったが、お店からはなれると、それが、スムーズにできるって、どうゆうこと,クーポンが表示されたり、されなかったり通信エラーバーコードでの検索もできなかった
g_5809,majica,2021-11-29 12:56:50,とにかく早く何とかして下さい,とにかく早く何とかして下さい
