id,app_name,datetime,context,prediction
g_7370,paypay,2021-11-04 14:45:41,自治体の割引のお店を探すのが非常に使いにくい,自治体の割引のお店を探すのが非常に使いにくい
g_7371,paypay,2021-10-31 21:45:59,5%同じく5万円以上で2%同じく10万円以上で5%に変更してほしいです,5%同じく5万円以上で2%同じく10万円以上で5%に変更してほしい
g_7372,paypay,2021-11-09 17:32:05,画面にはただクーポンを利用するとだけ書いてあり、何度それを押してもクーポンは得られない,クーポンは得られない
g_7378,paypay,2021-11-09 18:57:50,どこかに説明は有るのだろうが解りにくく、いちいち検索しないと判らないのは残念です,いちいち検索しないと判らない
g_7382,paypay,2021-11-21 10:18:06,そこで進まなくなっちゃう,進まなくなっちゃう
g_7390,paypay,2021-11-09 17:33:47,殆ど使わない機能は›で、よく利用する機能をトップに表示したいです,よく利用する機能をトップに表示したい
g_7393,paypay,2021-10-31 20:02:09,ペイペイ銀行を開設しようと思ったのに何回やっても本人確認できないし、最近不満がたまってきた,本人確認できない
g_7394,paypay,2021-11-17 18:04:18,コンビニでは決済できたのに、paypayが使えるお店で支払いすると使えませんでした,paypayが使えるお店で支払いすると使えません
g_7397,paypay,2021-11-03 19:36:40,地図は物凄くズームしないと店舗が見られません,地図は物凄くズームしないと店舗が見られません
g_7403,paypay,2021-10-21 13:02:02,まとめて払い携帯代支払いしてるのに今日いきなりご利用制限がかかった,いきなりご利用制限がかかった
g_7406,paypay,2021-12-01 23:40:58,認証精度が低いのであれば代替案を用意すべき,認証精度が低い
g_7407,paypay,2021-10-26 11:42:17,問い合わせ先も解りにくいし、問い合わせた方も解りにくい,問い合わせ先も解りにくい
g_7411,paypay,2021-11-28 14:41:39,paypayと別れて欲しい,paypayと別れて欲しい
g_7417,paypay,2021-10-27 18:47:16,せめて1%にして欲しい,せめて1%にして欲しい
g_7420,paypay,2021-11-06 13:53:52,日は、セブンイレブンいくの遠いのでローソンチャージてきるようにしてほしいイオンモールのイオン銀行でもてきるようにしてほしいな,セブンイレブンいくの遠いのでローソンチャージてきるようにしてほしいイオンモールのイオン銀行でもてきるようにしてほしい
g_7427,paypay,2021-11-08 23:21:34,paypayを使おうと開いたら問題が発生しましたと表示され強制終了になり全く開けない状態です,問題が発生しましたと表示され強制終了になり全く開けない
g_7428,paypay,2021-12-06 18:57:21,tポイントだけでなくセブンやローソンのカードも連携してるとなお良い,tポイントだけでなくセブンやローソンのカードも連携してるとなお良い
g_7432,paypay,2021-12-10 12:48:09,トップ画面がごちゃごちゃしていて見にくい,トップ画面がごちゃごちゃしていて見にくい
g_7439,paypay,2021-12-09 13:01:37,容量くいすぎ,容量くいすぎ
g_7446,paypay,2021-11-07 17:52:33,最近ポイントつかなくなった、,ポイントつかなくなった
g_7447,paypay,2021-11-09 16:38:52,なぜかファミリーマートだけ接続ができないとかになるのがちょっと不便,ファミリーマートだけ接続ができない
g_7457,paypay,2021-11-11 11:17:43,本人確認がどうやっても出来なくて銀行チャージができなくなった,本人確認がどうやっても出来なくて銀行チャージができなくなった
g_7461,paypay,2021-11-14 09:24:09,改良をお願いします,改良をお願いします
g_7462,paypay,2021-10-23 15:50:45,いざというとき開かないときがある,開かない
g_7464,paypay,2021-11-04 21:15:44,機械苦手な人の為に配慮してほしい,機械苦手な人の為に配慮してほしい
g_7467,paypay,2021-11-12 07:54:34,uberやマイナポイント等自分には不要なボタンが多いのでトップ画面にどの項目を表示させるかを編集できるようにしてほしいです,トップ画面にどの項目を表示させるかを編集できるようにしてほしい
g_7472,paypay,2021-11-03 19:36:40,paypayを使うのが面倒になる一番の理由が地図検索のしづらさからです,地図検索のしづらさ
g_7476,paypay,2021-11-12 14:52:27,ワンクリックでtカードのバーコード出せるように戻して〜レジで手間取るんだが、もしくはセブンアプリの様にペイペイとtカード一緒に表示してほしい〜まあ、セブンでしかペイペイでの決済は使ってないけどw,ワンクリックでtカードのバーコード出せるように戻して〜レジで手間取るんだが、もしくはセブンアプリの様にペイペイとtカード一緒に表示してほしい
g_7478,paypay,2021-11-22 21:44:50,支払おうと思ったら勝手にログアウト,支払おうと思ったら勝手にログアウト
g_7482,paypay,2021-11-02 12:44:06,ショッピング利用してますが先日30000円位の物日曜softbankで10%となってるがポイント還元限度額1000円じゃ10000円以上の買い物しても還元ないので損した感じ,ショッピング利用してますが先日30000円位の物日曜softbankで10%となってるがポイント還元限度額1000円じゃ10000円以上の買い物しても還元ない
