id,app_name,datetime,context,prediction
g_9939,スマートニュース,2021-11-02 14:24:40,更新もされない、勝手にaccountが、docomoの遠隔サポートに変えられて使えなくされてるんだけどパスワードも勝手に変えられて、docomoのaccountもgaccountもすべてなくなり、携帯電話番号迄変えられてあり得ないんだけど、自分の携帯電話番号が、他の自分の契約していた携帯電話番号にされていたから、自分の使用している携帯電話番号が、勝手になかったので、ずーと支払いだけしていたのに、携帯電話番号がないんだけど、使えてなかったのに支払いだけしていたのに、まだ支払いさせられてる、docomoが、電話で、廃止にしなければ、使えなくされても、払いはしてもらわないと言われた、あり得ないんだけど裁判にされたけど、支払いしてるあり得ないんだけど、廃止にしたくせにずーと支払いだけさせられてる、小学生の娘のも廃止にされたから娘の携帯電話番号にされていたから、あり得ないけど、小学生の娘のも廃止にされたからです,更新もされない、勝手にaccountが、docomoの遠隔サポートに変えられて使えなくされてる
g_9940,スマートニュース,2021-11-24 22:39:51,最近タイトルと中身が違いすぎる釣り記事みたいなのが多くて、最後まで読んだのにタイトルにふれてなかったりとか、すごく良さげなタイトルなのに中身ペラペラとか、時間を無駄に浪費させられて、すごくイライラする,最近タイトルと中身が違いすぎる釣り記事みたいなのが多くて、最後まで読んだのにタイトルにふれてなかったりとか、すごく良さげなタイトルなのに中身ペラペラとか、時間を無駄に浪費させられて
g_9942,スマートニュース,2021-11-08 23:06:00,3行目以降は正常に表示されます,3行目以降は正常に表示されます
g_9944,スマートニュース,2021-12-05 03:10:40,yahooニュースみたいにコメントがないのがいい,yahooニュースみたいにコメントがない
g_9946,スマートニュース,2021-11-20 19:02:27,通知が多すぎる,通知が多すぎる
g_9947,スマートニュース,2021-10-31 11:02:00,色々な分野に別れていて他の報道関係のネーム、確実に国民の方々の思いが綴り解釈しやすい内容に分かれていますこれからもスマートニュースアプリみたいなと思います,他の報道関係のネーム、確実に国民の方々の思いが綴り解釈しやすい内容に分かれています
g_9954,スマートニュース,2021-11-05 06:22:58,内容が、浅くて理解にくるしむ,
g_9955,スマートニュース,2021-10-24 18:26:20,みたくないものもでててけせるようにしてほしい,みたくないものもでててけせるようにしてほしい
g_9960,スマートニュース,2021-12-07 15:52:54,面倒くさいことがおおすぎますあまりりようしませんたまにはいいがうるさいでず,面倒くさいことがおおすぎ
g_9970,スマートニュース,2021-12-03 18:10:14,もっと沢山プロ野球のストーブリーグの記事を特集して欲しいです,もっと沢山プロ野球のストーブリーグの記事を特集して欲しい
g_9973,スマートニュース,2021-12-09 21:15:47,途中から上手く行かない,途中から上手く行かない
g_9982,スマートニュース,2021-11-02 08:24:03,機種交換に伴い再び使用するも改善されたとは感じない、コンテンツは良いので広告を排除する有料仕様があっても良いのでは無いかと思う,広告を排除する有料仕様があっても良い
g_9986,スマートニュース,2021-11-06 13:43:47,統合失調症パンツを脱がして真っ赤になるまでお尻ペンペンしたい,統合失調症パンツを脱がして真っ赤になるまでお尻ペンペンしたい
g_9992,スマートニュース,2021-11-15 22:20:51,なぜいい加減修整しないのだろう,いい加減修整しない
