id,app_name,datetime,context,prediction
g_12653,ファミペイ,2021-11-15 12:17:29,電話番号、パスワードは入れれてもログインボタンが無反応で対処しようもないエラーも出ないから何も出来ない全て無駄になった,電話番号、パスワードは入れれてもログインボタンが無反応で対処しようもないエラーも出ない
g_12655,ファミペイ,2021-11-27 09:58:03,機種変更したらパスワード使えなくなったのでアンインストールしましたさようなら,パスワード使えなくなった
g_12656,ファミペイ,2021-11-23 06:11:45,ポイントで交換出来るお試しクーポンが最初は10種類も多かったのに今は良くて2~4,
g_12657,ファミペイ,2021-12-01 21:31:28,通知が来たら勝手にアプリが開く意味わからん,通知が来たら勝手にアプリが開く
g_12659,ファミペイ,2021-12-04 17:57:42,エラーが多い,エラー
g_12662,ファミペイ,2021-12-13 07:55:16,ワンタイム聞かれてないのにワンタイムが失敗しましたって出ます,ワンタイム聞かれてないのにワンタイムが失敗しました
g_12670,ファミペイ,2021-11-29 13:15:36,重くてダウンロードに時間掛かりすぎです,重くてダウンロードに時間掛かりすぎ
g_12672,ファミペイ,2021-12-12 18:03:24,アプリの更新ができません,アプリの更新ができません
g_12673,ファミペイ,2021-12-01 00:35:32,10円しかもらえないけど,10円しかもらえない
g_12676,ファミペイ,2021-10-21 03:05:20,セブンイレブンアプリに比べると使いにくいです,セブンイレブンアプリに比べると使いにくい
g_12677,ファミペイ,2021-12-11 17:47:49,インストール出来ません,インストール出来ません
g_12678,ファミペイ,2021-10-28 11:09:42,よくよくみればよくある質問なんかも見れない対応して欲しい,よくある質問なんかも見れない対応して欲しい
g_12682,ファミペイ,2021-10-25 16:07:19,操作も、簡単ですし使っていると、お得なクーポンも、もらえるので良いのですが、ファミペイがはじまる以前に作ったtカードとひもづけできないのが、残念,ファミペイがはじまる以前に作ったtカードとひもづけできない
g_12683,ファミペイ,2021-11-25 04:17:10,40倍キャンペーンで1決済分が適応されず、付与額が本来より少なかったのでメールした,1決済分が適応されず、付与額が本来より少なかった
g_12686,ファミペイ,2021-12-15 23:17:55,もう少し更新の頻度があると楽しみ,更新の頻度があると楽しみ
g_12688,ファミペイ,2021-12-11 05:48:14,今日インストールして会員登録までしたが、その後ログインのダウンロードが永遠と,ログインのダウンロードが永遠と
g_12690,ファミペイ,2021-12-08 09:31:13,くも膜下出血に成り60歳過ぎてアプリ使いこなせない,くも膜下出血に成り60歳過ぎてアプリ使いこなせない
g_12691,ファミペイ,2021-12-05 18:24:07,使いにくい,使いにくい
g_12692,ファミペイ,2021-12-03 19:11:14,キャンペーンの適用条件がわかりにくい,キャンペーンの適用条件がわかりにくい
g_12693,ファミペイ,2021-12-03 21:23:28,アップデートしてバーコードの位置が変わって告知される広告の部分と被るようになってから使い勝手が非常に悪くなった,バーコードの位置が変わって告知される広告の部分と被るようになってから使い勝手が非常に悪くなった
g_12695,ファミペイ,2021-12-04 07:28:50,返信求む,返信求む
g_12696,ファミペイ,2021-12-02 06:40:41,クーポンやゲーム等が、もっと増えたら嬉しいです́・∀・`,クーポンやゲーム等が、もっと増えたら嬉しい
g_12701,ファミペイ,2021-11-25 04:17:10,そもそもメール対応を望んだ相手に電話対応を求めるのだから最低限フリーダイヤルを記載すべきでしょう,メール対応を望んだ相手に電話対応を求めるのだから最低限フリーダイヤルを記載すべき
g_12710,ファミペイ,2021-12-12 22:48:24,アプリ内で買い物するのにパスワード入力しないと利用出来ない,パスワード入力しないと利用出来ない
g_12711,ファミペイ,2021-11-11 13:27:10,会員登録すら出来ない新規登録の為、電話番号送信するも認証コード送られてくるまでが遅すぎて入力すら出来ない送られて来たときにはまた電話番号送信ページからやり直し,会員登録すら出来ない新規登録の為、電話番号送信するも認証コード送られてくるまでが遅すぎて入力すら出来ない送られて来たときにはまた電話番号送信ページからやり直し
g_12712,ファミペイ,2021-10-25 07:52:02,起動遅すぎレジに並んでから起動することメインだろこのアプリそこらへんのソシャゲでももう少し起動早いぞ,起動遅すぎ
