id,app_name,datetime,context,prediction
t_130,buzzvideo,2021-11-02T13:40:02.000Z,新垢の削除ボタン消えたの、どうやらバグみたいやな,新[UNK]の削除ボタン消えた
t_1183,buzzvideo,2021-11-30T19:32:44.000Z,こんなスピード出してても車輪がレールから外れないのが凄いよな,
t_1661,buzzvideo,2021-12-05T12:08:29.000Z,1本食べるごとに寿命が30秒削られる,1本食べるごとに寿命が30秒削られる
t_1818,buzzvideo,2021-12-15T11:49:23.000Z,バズビデオにログインできない,バズビデオにログインできない
t_2118,buzzvideo,2021-10-31T01:50:58.000Z,唖然狭い交差点を曲がれなくて、ヤケになってしまった大型トラックの運転手,狭い交差点を曲がれなくて
t_2169,buzzvideo,2021-12-10T21:50:04.000Z,韓国ドラマと現実が違い過ぎると批判殺到,韓国ドラマと現実が違い過ぎる
t_2170,buzzvideo,2021-12-05T12:19:08.000Z,しかもファッションでつけているのではなく、ステージ上ではライトが強くて鍵盤が見えずうまく弾けなかったので、その対策として大きな溶接用メガネをかけていたらしい,ライトが強くて鍵盤が見えずうまく弾けなかった
t_2229,buzzvideo,2021-11-21T21:44:15.000Z,バズビデオbuzzvideo信じられないバグが発生中,バズビデオbuzzvideo信じられないバグが発生中
t_2841,buzzvideo,2021-12-10T16:39:55.000Z,登録直後からコミュニティガイドラインの違反行為あると表示されまくっているってことは、投稿させたくないのか,
t_3148,buzzvideo,2021-11-11T07:35:16.000Z,スイーツ世界大会で日本に嫌がらせをする韓国,スイーツ世界大会で日本に嫌がらせをする
t_3186,buzzvideo,2021-11-29T14:00:02.000Z,めんどくさいから,
t_3346,buzzvideo,2021-11-11T10:11:40.000Z,jaywalk何も言えなくて,
t_3442,buzzvideo,2021-12-13T23:06:45.000Z,行動ができなくて困っている方へ,行動ができなくて
t_3558,buzzvideo,2021-11-05T08:10:03.000Z,行動ができなくて困っている方へ,行動ができなくて
t_3691,buzzvideo,2021-11-11T06:23:23.000Z,小室圭さんフォーダム大学の卒業を取り消されただけでなく、新入生名簿からも名前が消えていた,小室圭さんフォーダム大学の卒業を取り消されただけでなく、新入生名簿からも名前が消えていた
t_3761,buzzvideo,2021-11-14T00:22:50.000Z,司法試験を受けられなくなる可能性が浮上,
t_3882,buzzvideo,2021-12-09T12:47:05.000Z,最高裁の判決の法的根拠を突き崩す事態が続出,最高裁の判決の法的根拠を突き崩す
t_4687,buzzvideo,2021-11-03T03:28:35.000Z,けどまだまだ誤変換むちゃ多いわ,誤変換むちゃ多い
t_4699,buzzvideo,2021-11-07T18:53:27.000Z,tsmcの日本進出に隣国が猛反発,
t_4756,buzzvideo,2021-12-08T13:36:52.000Z,小室圭さんフォーダム大学の卒業を取り消されただけでなく、新入生名簿からも名前が消えていた,小室圭さんフォーダム大学の卒業を取り消されただけでなく、新入生名簿からも名前が消えていた
t_5094,buzzvideo,2021-10-31T10:02:00.000Z,微妙なところを微妙にせめるとバズるんだけど単価落ちとのせめぎあい,微妙なところを微妙にせめるとバズる
t_5190,buzzvideo,2021-11-26T00:08:37.000Z,集中できずあえぎ声がやばい,集中できずあえぎ声がやばい
t_5379,buzzvideo,2021-11-20T00:30:08.000Z,たった30分駐車しただけで請求された料金に開いた口が塞がりません,たった30分駐車しただけで請求された料金に開いた口が塞がりません
