id,app_name,datetime,context,prediction
t_89329,capcut,2021-12-14T16:07:11.000Z,capcutは使い方が無理すぎた,capcutは使い方が無理すぎた
t_89382,capcut,2021-11-22T22:10:49.000Z,capcutふとましくなった,capcutふとましくなった
t_89419,capcut,2021-10-25T13:22:53.000Z,capcut重すぎなんだよ,capcut重すぎ
t_89549,capcut,2021-12-08T09:24:52.000Z,歌詞動画作っててcapcutで作ってたんだけどなんか突然文字の位置が全部バラバラになっておかしいことなりました,文字の位置が全部バラバラになっておかしいことなりました
t_89608,capcut,2021-12-03T02:35:20.000Z,fakebabyを使ってて感心感心と思ってたら効果音のクセがスゴイ,効果音のクセがスゴイ
t_89667,capcut,2021-12-12T14:33:37.000Z,さすがに音源とアニメーション合わねぇしまともに動画作れねぇよwww,音源とアニメーション合わねぇしまともに動画作れねぇ
t_89711,capcut,2021-11-14T15:25:05.000Z,そしてそれgifに出来たらgifにする,gifに出来たらgifにする
t_89791,capcut,2021-11-25T10:15:17.000Z,alight使えなくなったから,alight使えなくなった
t_89834,capcut,2021-11-12T13:58:06.000Z,capcutで選択したbgmがことごとく著作権に引っかかってエラーになる,capcutで選択したbgmがことごとく著作権に引っかかってエラーになる
t_89858,capcut,2021-11-12T04:37:50.000Z,緩急もだけどcapcutって秒数短いとトランジションも短くなっちゃうからそれもあるら,緩急もだけどcapcutって秒数短いとトランジションも短くなっちゃう
t_89940,capcut,2021-12-07T09:50:31.000Z,今capcutってアプリで試してますが、モザイクを移動するやり方が複雑ですね,モザイクを移動するやり方が複雑
t_90039,capcut,2021-10-23T16:36:19.000Z,capcutだと動画と動画の間に入れるエフェクトとか多いから、結構オススメ,capcutだと動画と動画の間に入れるエフェクトとか多い
t_90072,capcut,2021-12-14T09:07:07.000Z,inshotはあまり重くはないけど画像を写真から消すとその写真を使用した動画が開けなくなる,画像を写真から消すとその写真を使用した動画が開けなくなる
t_90134,capcut,2021-12-07T14:39:49.000Z,ものすごく萎えることに頑張って編集と撮影等をcapcutで、やって、やっと完成したのでエクスポートしたら動画が真っ白になってて、しかも出来上がったと思って消してしまっていたので、ショックでした,
t_90206,capcut,2021-10-31T01:38:25.000Z,capcutとかvnとかで繋げたら下がんなくね,
t_90336,capcut,2021-11-05T03:50:17.000Z,でも文字の動きうるさいな,文字の動きうるさい
t_90396,capcut,2021-12-03T11:43:51.000Z,マジで自分動画初心者というか作った数が少なすぎるし慣れてもないしcapcutを使いこなせてる自信もないから動画褒められるとビビり散らかしてただひたすら頭を下げるだけの化け物になるんだよね,
t_90397,capcut,2021-11-15T15:16:56.000Z,capcut音ズレひどいなんで,capcut音ズレひどい
t_90410,capcut,2021-12-13T10:41:56.000Z,capcutなんかフォント前のやつ消えて外国の言葉になってるんだけどめっちゃ使いづらい,フォント前のやつ消えて外国の言葉になってるんだけどめっちゃ使いづらい
t_90425,capcut,2021-11-02T07:34:42.000Z,capcutのフェードアウトの暗転,capcutのフェードアウトの暗転
t_90512,capcut,2021-10-30T02:08:59.000Z,capcutでの編集が楽すぎたって事がよく分かった笑がんばろ,capcutでの編集が楽すぎた
t_90525,capcut,2021-11-11T06:51:23.000Z,capcutわからん過ぎて死ぬ,
t_90547,capcut,2021-11-07T08:02:39.000Z,capcutが使いやすすぎてそれに慣れちゃうとやっぱちょっと使いにくいかな,capcutが使いやすすぎてそれに慣れちゃうとやっぱちょっと使いにくい
t_90598,capcut,2021-11-08T09:25:23.000Z,皆からcapcutオススメされたのでそれ使ってるんですけど、文字のうごかし方が全然分からなくて,文字のうごかし方が全然分からなくて
t_90696,capcut,2021-11-22T10:48:52.000Z,1文字ずつ改行しなきゃだし、括弧とかめんどくさい,1文字ずつ改行しなきゃだし、括弧とかめんどくさい
t_90719,capcut,2021-10-26T02:57:06.000Z,vlloとインショットは文字入れる時capcutみたいに同じ位置に文字入らないからコピーして最後まで伸ばして少しづつ切ってって使うとよきまるだよ,
t_90798,capcut,2021-11-25T23:02:54.000Z,capcutだと何故か冒頭が切れるので,capcutだと何故か冒頭が切れる
t_90806,capcut,2021-11-12T01:40:41.000Z,わかりづらくてごめんなさい、”元の動画”が1分超えるとってことです,わかりづらくて
t_90815,capcut,2021-10-26T06:22:48.000Z,capcutでピッチあげたら速さも変わるから編集めっちゃめんどくさくなる,capcutでピッチあげたら速さも変わるから編集めっちゃめんどくさくなる
t_90835,capcut,2021-12-05T07:12:42.000Z,capcutがバグって使えなくなったのでtiktokで編集しました,capcutがバグって使えなくなった
t_90987,capcut,2021-11-12T02:38:48.000Z,capcutの文字そのまま使うとほんとラグくなって遅いし被るから好きくない,capcutの文字そのまま使うとほんとラグくなって遅い
t_90988,capcut,2021-11-02T12:00:46.000Z,capcut音声ファイルとわけれないからvelo入れたら音もスローになってきもいんですよねwww,capcut音声ファイルとわけれないからvelo入れたら音もスローになってきもいん
t_91175,capcut,2021-12-03T09:34:02.000Z,他にもcapcutとかあるみたいですがinshotで慣れちゃったので他のアプリがよくわからなくて,他のアプリがよくわからなくて
t_91245,capcut,2021-10-22T07:24:02.000Z,capcutのグラフの使い方がよくわからん,capcutのグラフの使い方がよくわからん
t_91270,capcut,2021-10-23T05:59:42.000Z,capcutたのちいけどあと少しだけエフェクト増やして欲しい,capcutたのちいけどあと少しだけエフェクト増やして欲しい
t_91358,capcut,2021-12-09T11:46:34.000Z,capcut開けんくなったなんで,capcut開けんくなった
t_91408,capcut,2021-10-21T12:35:46.000Z,なんか気付いたらcapcut使えるようになってたwwwいつの間にかバグ修正されてた,
t_91445,capcut,2021-10-31T05:00:06.000Z,shakeもcapcutとは思えないくらい上手いと思うんですが、全部に使っているとちょっと飽きてくるのでshakeを3パターンとかでもいいのでちょっとバリエーション増やすといいかもです,shakeを3パターンとかでもいいのでちょっとバリエーション増やすといい
t_91604,capcut,2021-11-17T12:41:27.000Z,なんか音源に合わせて適当に画像と文字動かしときゃなんとかなる、,なんか音源に合わせて適当に画像と文字動かしときゃなんとかなる
t_91668,capcut,2021-11-17T08:16:16.000Z,編集したいけどどうやってもcapcutの使い方が分かりません,capcutの使い方が分かりません
t_91676,capcut,2021-10-28T10:01:37.000Z,なかなか反映しなくて,なかなか反映しなくて
t_91749,capcut,2021-11-10T10:37:28.000Z,capcut私がやりたい動かし方が無くてさぁあとシールとかの上からエフェクトがかからんのよ,シールとかの上からエフェクトがかからん
t_91767,capcut,2021-11-10T15:06:33.000Z,capcut使いやすいけど文字の色がなんか違うんだよな,
t_91869,capcut,2021-11-23T02:55:55.000Z,これはすごい余談なんですがcapcutのテキストツールと和解できなかったので文字は全部アイビスで出した後に画像として透過保存して貼ってやった,capcutのテキストツールと和解できなかった
t_91885,capcut,2021-11-09T05:36:25.000Z,音源の抽出分からんしな,音源の抽出分からん
t_91890,capcut,2021-11-02T07:24:36.000Z,バグ改善されず,
t_91950,capcut,2021-11-18T11:06:44.000Z,あーもー最悪またcapcutバグったせいでイラストの設定秒数滅茶苦茶にされるし、ほんとイラつく一生終わらん一日一回データ消えてて終わるわけねぇ~~,capcutバグ
t_92006,capcut,2021-11-09T14:44:42.000Z,capcutのエフェクトもっとほしい,capcutのエフェクトもっとほしい
t_92021,capcut,2021-12-13T23:17:20.000Z,テンポの良い動画にしようとするが音と合わせるのが難しい,音と合わせるのが難しい
t_92164,capcut,2021-12-03T09:13:42.000Z,capcutバク多すぎて,
t_92199,capcut,2021-10-24T12:08:26.000Z,文字沢山あるしエフェクトとかもあるからお勧めだけど画質ちょっと悪くなるよ〜,文字沢山あるしエフェクトとかもあるからお勧めだけど画質ちょっと悪くなる
t_92323,capcut,2021-10-27T05:42:19.000Z,capcutバグってて使いづらい,capcutバグ
