id,app_name,datetime,context,prediction
t_104623,coke_on,2021-12-15T23:49:06.000Z,シャッターのタイミングか角度で売切が写らなかったみたい,シャッターのタイミングか角度で売切が写らなかった
t_104645,coke_on,2021-11-14T05:24:27.000Z,コークオンペイ対応自販機が無い,
t_104646,coke_on,2021-11-22T00:59:10.000Z,溜まってたポイントを今日全部使って抽選したらあたったー,溜まってたポイントを今日全部使って抽選したらあたった
t_104653,coke_on,2021-12-07T03:53:24.000Z,わかりにくい/,わかりにくい
t_104674,coke_on,2021-11-16T14:23:35.000Z,一瞬脳がバグったw,一瞬脳がバグった
t_104697,coke_on,2021-10-31T22:51:32.000Z,コークオン繋がらんし,コークオン繋がらん
t_105300,coke_on,2021-10-22T08:53:02.000Z,コークオンってアプリほんと最悪️自販機に繋がらないしiphoneのbluetoothは設定済iphoneのコークオンアプリの設定の所にbluetooth表示されないからオンオフも出来ず,自販機に繋がらないしiphoneのbluetoothは設定済iphoneのコークオンアプリの設定の所にbluetooth表示されないからオンオフも出来ず
t_105686,coke_on,2021-11-27T08:52:15.000Z,コークオンがエラー起こした以外なんら問題がねえ,
t_105792,coke_on,2021-10-29T09:42:53.000Z,その10分後くらいに、別の自販機でも、試してみたのですがなかなか自販機に接続されず、チケットを使う時も数十秒のラグが起きました,自販機に接続されず
t_106148,coke_on,2021-11-24T11:54:31.000Z,コークオンの歩数カウントをバンドリの揺れで溜められないか試したら1曲30歩くらいしか溜まらんかった,コークオンの歩数カウントをバンドリの揺れで溜められないか試したら1曲30歩くらいしか溜まらん
t_106696,coke_on,2021-12-10T10:14:06.000Z,さっきコークオン反応しなかったんだけど,コークオン反応しなかった
t_107116,coke_on,2021-11-04T11:00:17.000Z,コークオンペイで決済されたのに商品が出てこなかった,コークオンペイで決済されたのに商品が出てこなかった
t_107204,coke_on,2021-10-26T23:37:56.000Z,通信制限のせいで、コークオンが使えん,通信制限のせいで、コークオンが使えん
t_107208,coke_on,2021-11-04T03:43:26.000Z,そしたら何度やっても自販機とスマホが接続されない,自販機とスマホが接続されない
t_107422,coke_on,2021-11-18T09:39:41.000Z,コークオンや思って近づいた自販機に、ずっと繋がらへん繋がらへんてスマホ向けてたけどコークオンちゃうかった,
t_107546,coke_on,2021-10-27T14:50:26.000Z,miles数日試してみたけどコーヒー引き換えとか1回きりだし特典がゴミすぎない,
t_107917,coke_on,2021-11-24T04:29:36.000Z,cokeon、接続確認して買ったのに今日もスタンプが貰えてなかったスタンプ反映されないのwifiのせいなんかな,スタンプが貰えてなかったスタンプ反映されないのwifiのせいなんかな
t_108064,coke_on,2021-10-30T15:31:25.000Z,だがめんどくさい,めんどくさい
t_108302,coke_on,2021-11-20T05:01:15.000Z,コークオン自販機行ったのに、買えなかった,コークオン自販機行ったのに、買えなかった
t_108366,coke_on,2021-11-01T00:31:33.000Z,って思ったけど、iphone側のデータ通信オフになってんじゃねーか,iphone側のデータ通信オフになってんじゃねーか
t_108826,coke_on,2021-11-28T02:08:49.000Z,cokeonの自販機とそうじゃないの混在してたり連携してる決済方法使えなかったりする罠で飲み物買えずにいる,cokeonの自販機とそうじゃないの混在してたり連携してる決済方法使えなかったりする
t_108897,coke_on,2021-11-09T07:08:13.000Z,コークオンの自販機を探すときにその自販機にどの商品があるかわかる機能を追加してほしい,コークオンの自販機を探すときにその自販機にどの商品があるかわかる機能を追加してほしい
t_109004,coke_on,2021-11-07T16:18:16.000Z,家の近くの公園の入口にある自販機が少し前からお金入れても戻ってきて買えない状態になってる,自販機が少し前からお金入れても戻ってきて買えない状態になってる
t_109672,coke_on,2021-10-30T06:57:31.000Z,問い合わせがアプリ番号やらスマホ機種やら入力必要で面倒すぎ,問い合わせがアプリ番号やらスマホ機種やら入力必要で面倒すぎ
t_109708,coke_on,2021-12-01T13:19:27.000Z,cokeonpass、メンテナンス中で使えなかったよ,cokeonpass、メンテナンス中で使えなかった
t_109790,coke_on,2021-10-22T23:07:01.000Z,流れて最近1番小さい音にしてるのに大きく流れる現象多すぎてなんだろな,流れて最近1番小さい音にしてるのに大きく流れる現象多すぎ
t_109962,coke_on,2021-12-01T22:34:56.000Z,っていうシールも貼ってあるのに全く接続できない自販機たまにあるけど何かのイタズラか,っていうシールも貼ってあるのに全く接続できない自販機たまにある
t_110115,coke_on,2021-11-28T03:51:11.000Z,コークオンが自販機を認識しないから使う度にスマホ再起動せにゃいかん,コークオンが自販機を認識しないから使う度にスマホ再起動せにゃいかん
t_110635,coke_on,2021-11-20T07:11:56.000Z,コークオンのチケットでホットココア飲んで帰ろうとしたら、朝あったホットココアが撤去されてコンポタになっとった,コークオンのチケットでホットココア飲んで帰ろうとしたら、朝あったホットココアが撤去されてコンポタになっとった
t_110922,coke_on,2021-11-22T15:59:23.000Z,cokeonアプリのバグでドリンクチケット2枚消えて最悪,cokeonアプリのバグでドリンクチケット2枚消えて
