id,app_name,datetime,context,prediction
t_276176,line_music,2021-11-01T00:58:19.000Z,そういえばapplemusicには彩音の11eyesシリーズの曲あるのにlineミュージックにはないのかな,そういえばapplemusicには彩音の11eyesシリーズの曲あるのにlineミュージックにはないのかな
t_276255,line_music,2021-11-05T02:02:08.000Z,昨日は眼科で点眼薬さされてずっと字がぼやけて見えてあまりrt出来なかったけど、これは聴いているだけだからできたよ,字がぼやけて見えてあまりrt出来なかった
t_276361,line_music,2021-10-29T11:01:04.000Z,linemusic止まってませんか,linemusic止まってませんか
t_276661,line_music,2021-11-24T01:48:37.000Z,あーspotifyでは配信されねぇのか,あーspotifyでは配信されねぇのか
t_276781,line_music,2021-12-14T09:24:08.000Z,良曲すぎてしんどい,良曲すぎてしんどい
t_276869,line_music,2021-12-14T03:13:16.000Z,linemusic止まってないかな,linemusic止まってないかな
t_276947,line_music,2021-11-04T12:32:59.000Z,え、linemusicでアリスソフトの曲が軒並み聞けなくなったんじゃが,linemusicでアリスソフトの曲が軒並み聞けなくなった
t_276973,line_music,2021-12-14T22:28:50.000Z,ライブのseで流れたらめちゃくちゃ上がる,ライブのseで流れたらめちゃくちゃ上がる
t_276984,line_music,2021-11-22T11:30:25.000Z,linemusic止まってない,linemusic止まって
t_277020,line_music,2021-11-10T00:55:17.000Z,急に落ちるの嫌ですよね〜,急に落ちる
t_277029,line_music,2021-10-27T12:33:28.000Z,children曲名と歌が最近一致したけどまじでやばいな,
t_277139,line_music,2021-11-05T00:01:26.000Z,チェックしたら1台止まってた,チェックしたら1台止まってた
t_277171,line_music,2021-11-18T04:21:41.000Z,ランキングでその期間がカウントされなくなるにつれて,
t_277188,line_music,2021-10-27T11:06:56.000Z,linemusicなかった,linemusicなかった
t_277247,line_music,2021-11-24T13:18:28.000Z,タイミングが分かりませんw,タイミングが分かりません
t_277406,line_music,2021-11-05T15:25:32.000Z,ばかり見てるとlinemusicがおろそかになってしまう,ばかり見てるとlinemusicがおろそかになってしまう
t_277639,line_music,2021-11-18T15:27:47.000Z,amazonmusicに行ってみても繋がらない,amazonmusicに行ってみても繋がらない
t_277944,line_music,2021-11-21T23:28:45.000Z,確認画面が出なくて入力ちゃんとできているのか一抹の不安があるけどorβitハナlinemusicキャンペーン応募完了しました今回は初めてギリギリまでハナ聴きました,
t_278093,line_music,2021-11-11T15:50:28.000Z,linemusicでもじゃぽん出てこなかった,linemusicでもじゃぽん出てこなかった
t_278309,line_music,2021-12-05T15:12:48.000Z,ギターの音やばすぎるんだけど,ギターの音やばすぎる
t_278458,line_music,2021-12-05T03:44:19.000Z,linemusicが消えたんですけど,linemusicが消えた
t_278471,line_music,2021-12-13T16:40:29.000Z,linemusic、pcだとブラウザ再生しか出来ないの不便すぎないか,linemusic、pcだとブラウザ再生しか出来ない
t_278489,line_music,2021-12-13T13:56:10.000Z,アーティストのページで曲見てるのにコンピだかオムニバスだかも出てきて一気にlinemusicやめたくなってる検索の邪魔すぎ,検索の邪魔すぎ
t_278547,line_music,2021-11-07T15:03:16.000Z,linemusic止まってないかな,linemusic止まってないかな
t_278549,line_music,2021-11-26T06:16:47.000Z,ねえねえlinemusicなんでドボ聴けなくなってるの,ドボ聴けなくなってる
t_278552,line_music,2021-11-23T11:30:32.000Z,linemusic止まってない,linemusic止まって
t_278647,line_music,2021-11-03T11:25:27.000Z,linemusicのやつ、最後にみたいと思ったのに、エラーで開けない,エラーで開けない
t_278685,line_music,2021-10-31T09:35:48.000Z,ついに携帯のapplemusicが聴けなくなった,携帯のapplemusicが聴けなくなった
t_278872,line_music,2021-11-05T15:33:01.000Z,lineミュ止まってた,lineミュ止まってた
t_278965,line_music,2021-10-31T20:04:17.000Z,だっlinemusic止まってたー,linemusic止まってた
t_279075,line_music,2021-11-03T10:44:20.000Z,linemusicで抜いたり抜かれたり,linemusicで抜いたり抜かれたり
t_279149,line_music,2021-11-09T03:53:14.000Z,linemusicは止まってませんか,linemusicは止まってませんか
t_279186,line_music,2021-10-27T22:50:34.000Z,linemusic、起きたら止まってた,起きたら止まってた
