id,app_name,datetime,context,prediction
t_534776,majica,2021-11-25T09:17:39.000Z,なんか急にアプリが立ち上がらなくなった、今日ドンキよるつもりだったけどやめとくか,急にアプリが立ち上がらなくなった
t_534781,majica,2021-12-04T09:06:09.000Z,majicaマジカアプリ繰り返し停止してる為〜と出て進まない障害メンテナンスいつまで,majicaマジカアプリ繰り返し停止してる為〜と出て進まない障害メンテナンス
t_534834,majica,2021-11-17T10:26:27.000Z,majicaがapplepayに対応してくれないかな、,majicaがapplepayに対応してくれないかな
t_534836,majica,2021-11-27T22:40:32.000Z,majicaアプリ障害のお知らせだせてえらいけどドン・キホーテってポイント管理からクーポンから全部majicaアプリだから正直お知らせ出してなにも経過内容なしで3日使えないとか糞システムすぎるんだが,なにも経過内容なしで3日使えない
t_534880,majica,2021-11-04T12:56:43.000Z,認証に繰り返し失敗したので時間をおいてとか言われるけど3時間チャレンジして先に進めない,認証に繰り返し失敗したので時間をおいてとか言われるけど3時間チャレンジして先に進めない
t_534892,majica,2021-11-25T04:16:22.000Z,午前中は電源抜いたんですが、少し溶けてなんとか開いたって感じなので溶けるまでってなるとだいぶ時間かかりそうなのでレンジで熱した布巾を試してみますアドバイスありがとうございます,
t_534910,majica,2021-12-11T23:41:29.000Z,いつになったら使えるようになるのか,
t_534977,majica,2021-11-29T03:12:58.000Z,majicaアプリの不具合を至急直して欲しいです,majicaアプリの不具合を至急直して欲しい
t_535006,majica,2021-11-27T15:49:06.000Z,再インストール後にメールアドレスでログインできないのは、最新バージョンの不具合と別件なんだろうか,再インストール後にメールアドレスでログインできない
t_535022,majica,2021-10-22T03:06:18.000Z,ps5抽選のためかドンキホーテのmajicaアプリ繋がらない笑,ドンキホーテのmajicaアプリ繋がらない
t_535031,majica,2021-11-26T05:53:23.000Z,majicaアプリが起動しなくなってしまいandroid再起動してもだめだったので、公式からなにか情報ないかなとみてみたらmajicaアプリ障害のお知らせでてた,majicaアプリが起動しなくなってしまいandroid再起動してもだめ
t_535037,majica,2021-11-10T09:25:40.000Z,ドン・キホーテのmajicaってアプリで商品検索したら置いてる店舗一覧出るようにしてほしい,ドン・キホーテのmajicaってアプリで商品検索したら置いてる店舗一覧出るようにしてほしい
t_535100,majica,2021-12-01T06:57:00.000Z,majicaアプリがアクセス集中で一部機能が使えなくなってるんだけどまさかヒカキン効果,一部機能が使えなくなってる
t_535109,majica,2021-11-28T04:56:36.000Z,majica起動しないの腹立たしいね,majica起動しない
t_535111,majica,2021-12-03T23:32:21.000Z,majicaマジカアプリ使えない開けない,majicaマジカアプリ使えない開けない
t_535183,majica,2021-11-29T07:59:17.000Z,またオレオとリッツが出てるしmajicaは起動しないらしい,またオレオとリッツが出てるしmajicaは起動しない
t_535281,majica,2021-11-28T03:17:30.000Z,昨日から急にmajicaアプリが使えなくなった,majicaアプリが使えなくなった
t_535297,majica,2021-10-25T00:34:01.000Z,iphoneのアプリ検索、完全一致じゃなくて曖昧検索にして欲しい,iphoneのアプリ検索、完全一致じゃなくて曖昧検索にして欲しい
t_535352,majica,2021-11-10T07:33:08.000Z,majicaの問題って、メアドと電話番号どちらでも登録できるようになってて情報もとってるけど、最後に認証した方式のみ有効で、メアドで登録したのに電話番号でログインした場合は同じユーザーでも認証失敗になる,majicaの問題って、メアドと電話番号どちらでも登録できるようになってて情報もとってるけど、最後に認証した方式のみ有効で、メアドで登録したのに電話番号でログインした場合は同じユーザーでも認証失敗になる
t_535357,majica,2021-11-27T11:31:19.000Z,先程かなり久しぶりにppih店舗に行き、これまた久しぶりにmajicaアプリ起動を試みたところ強制終了,強制終了
t_535362,majica,2021-10-26T04:10:09.000Z,majicaの通知に激落ちくんと表示されて一瞬ドキッとした,majicaの通知に激落ちくんと表示されて一瞬ドキッとした
t_535380,majica,2021-10-23T11:19:27.000Z,即乾タイプは食物繊維かなんかが使われているからなのか、しばらく使っていると膜状の何かが漂ってくるので流しただけでは取れない、柑橘系じゃなくてもやめたほうが良い,
t_535385,majica,2021-11-26T05:53:23.000Z,使えないのは困るけど、とりあえずアプリ側の問題なのがわかってよかった,使えない
t_535394,majica,2021-11-28T11:46:10.000Z,・キホーテのandroid携帯向けアプリに不具合が出てるようで、起動させてもすぐに落ちるループ,キホーテのandroid携帯向けアプリに不具合が出てるようで、起動させてもすぐに落ちるループ
t_535414,majica,2021-11-30T14:34:22.000Z,ドンキホーテのmajicaアプリが起動しないのは、たぶんhikakinのせい,ドンキホーテのmajicaアプリが起動しない
t_535458,majica,2021-11-26T01:01:56.000Z,というか起動できない,起動できない
t_535474,majica,2021-12-01T01:17:21.000Z,アクセス過多,アクセス過多
t_535491,majica,2021-11-26T02:27:27.000Z,現在一部端末のmajicaアプリにおいてシステム障害が発生しており、正常に作動しにくい状態が発生しております,正常に作動しにくい状態が発生しております
t_535570,majica,2021-11-28T18:48:47.000Z,と一切利用出来ない状況が26日以降続いているにも関わらず、御社サイト上に何の発表も対応も一切無く非常に不誠実です,
t_535785,majica,2021-11-20T13:05:23.000Z,kyashも6gramもtoyotawalletも使える状況だが、どんなに工夫してもメルペイ、linepay、majicaの3種はどうしてもチャージできない気がする,メルペイ、linepay、majicaの3種はどうしてもチャージできない
t_535799,majica,2021-11-28T04:04:17.000Z,majicaアプリ開けない,majicaアプリ開けない
t_535849,majica,2021-11-27T07:42:15.000Z,paypayやlinepayでも障害が出てるようで、同じ原因かな,
t_535858,majica,2021-12-13T15:47:52.000Z,どこの店舗に在庫あるか明瞭になる機能欲しいです,どこの店舗に在庫あるか明瞭になる機能欲しい
t_535889,majica,2021-12-01T02:51:21.000Z,アクセス集中しすぎて,アクセス集中しすぎて
t_535919,majica,2021-11-06T11:03:10.000Z,majicaアプリに商品検索してその商品がどこの店舗だと在庫あるか分かる機能欲しい,majicaアプリに商品検索してその商品がどこの店舗だと在庫あるか分かる機能欲しい
t_535980,majica,2021-11-28T01:23:18.000Z,majicaアプリ開かないのは私だけ,majicaアプリ開かない
t_536029,majica,2021-11-26T00:02:34.000Z,ドン・キホーテのmajicaアプリが昨晩からずっと繰り返し停止していますと出て一向に起動できなくて困ってる,ドン・キホーテのmajicaアプリが昨晩からずっと繰り返し停止していますと出て一向に起動できなくて
t_536036,majica,2021-12-15T15:28:04.000Z,ドギマギした部分が主で、どろっとした部分が薄いというか,ドギマギした部分が主で、どろっとした部分が薄い
t_536080,majica,2021-11-18T03:49:45.000Z,majicaとかwaonみたいな特定の店でしか使えない決済システム絶滅させてえ,majicaとかwaonみたいな特定の店でしか使えない決済システム絶滅させてえ
t_536100,majica,2021-11-26T01:00:01.000Z,ドンキさん、majicaアプリが起動できないのですが,majicaアプリが起動できない
t_536167,majica,2021-11-25T11:36:05.000Z,majicaが開けませぬ,majicaが開けませぬ
t_536192,majica,2021-11-27T06:27:59.000Z,昨日からmajicaアプリが強制終了しまくるのはアップデートが原因だったのか,昨日からmajicaアプリが強制終了しまくる
t_536193,majica,2021-12-14T05:39:00.000Z,せどり始める時にアホみたいにクレジットカード作ったんだけど、管理の煩雑さとか考えると整理が必要,管理の煩雑さとか考えると整理が必要
t_536251,majica,2021-10-23T20:30:45.000Z,majicaアプリ鯖落ちしてますけど,
t_536258,majica,2021-10-31T02:19:18.000Z,事前に表示してスタンバってりゃぁ前の精算客が厄介さんだったりで時間かかりすぎで画面オフ&amp;ロックでまたやり直しの踏んだり蹴ったり,事前に表示してスタンバってりゃぁ前の精算客が厄介さんだったりで時間かかりすぎ
t_536259,majica,2021-11-27T11:31:19.000Z,と思ってしまいましたが、後ほど検索したところアプリ不具合の模様,検索したところアプリ不具合
t_536286,majica,2021-11-26T03:45:58.000Z,アプリ開かないからクーポン見れないし、かつガードは古くて剥がれてるからクーポン機にいれれないし詰んだ,アプリ開かない
t_536292,majica,2021-11-28T01:10:53.000Z,ドンキ行こうとしたらmajicaアプリ不具合とか,ドンキ行こうとしたらmajicaアプリ不具合
t_536467,majica,2021-11-27T15:08:52.000Z,アプリにお金をチャージしてる分が使えないと困ると思い調べたらandroidでアップデートした人がそうなると,アプリにお金をチャージしてる分が使えない
t_536543,majica,2021-10-22T03:39:37.000Z,アプリが開かないっていうねw,アプリが開かない
t_536648,majica,2021-12-06T10:56:22.000Z,majicaアプリ開けないww,majicaアプリ開けない
t_536655,majica,2021-11-26T06:20:52.000Z,majicaアプリが開かない,majicaアプリが開かない
t_536661,majica,2021-12-06T10:51:29.000Z,有吉ゼミのせいでmajicaアプリ落ちてて草困るが,majicaアプリ落ちてて
t_536698,majica,2021-11-26T09:27:48.000Z,majica立ち上がらなくなった,majica立ち上がらなくなった
t_536707,majica,2021-12-13T15:47:52.000Z,majicaアプリの商品検索機能をテキストで検索できるようにしてほしいです,majicaアプリの商品検索機能をテキストで検索できるようにしてほしい
t_536716,majica,2021-10-30T03:28:27.000Z,majicaの電子マネー、現金チャージした金でも2年で失効とか大分おかしくない,
t_536834,majica,2021-11-26T00:02:34.000Z,起動できないから利用もチャージも出来ない,起動できないから利用もチャージも出来ない
t_537099,majica,2021-12-01T02:13:12.000Z,これのせいか、マジカアプリがアクセス集中で繋がらない,マジカアプリがアクセス集中で繋がらない
t_537111,majica,2021-11-28T18:48:47.000Z,と出てアプリが落ちてしまいクーポンは取れない,アプリが落ちてしまいクーポンは取れない
t_537143,majica,2021-12-10T05:39:27.000Z,再インストール、カード番号いれてアプリは復旧したが、以前来ていたメールが来ない,以前来ていたメールが来ない
t_537149,majica,2021-11-18T22:38:09.000Z,majicaアプリ朝から見てたら途中から表示されなくなっちゃった,途中から表示されなくなっちゃった
t_537168,majica,2021-12-03T10:24:41.000Z,ポイントカードのアプリで起動時にすぐバーコードが表示されるより優先される,
t_537203,majica,2021-11-29T00:08:13.000Z,昨日から既に不具合出てたん,昨日から既に不具合出てたん
t_537248,majica,2021-11-27T07:42:15.000Z,majicaアプリ落ちまくりでおかしいなーと思ったら公式でシステム障害の報告出てた,majicaアプリ落ちまくり
t_537273,majica,2021-11-09T09:42:29.000Z,マイナポイントという国からの補助金をmajicaに設定したのにまさかの使用制限とかw,
t_537400,majica,2021-12-01T01:52:20.000Z,昨日ヒカキンの動画見て、ドン・キホーテとhikakinコラボのキラキラステッカーめちゃくちゃ欲しいなーってmajicaアプリダウンロードして開いたらサーバーダウンしてた笑hikakin人気恐るべし,ドン・キホーテとhikakinコラボのキラキラステッカーめちゃくちゃ欲しいなーってmajicaアプリダウンロードして開いたらサーバーダウンしてた
t_537448,majica,2021-11-27T08:50:17.000Z,対処方法にあったの機内モードにしてもアプリ起動せずバーコード表示不能,アプリ起動せずバーコード表示不能
t_537470,majica,2021-11-27T15:08:52.000Z,ドンキホーテでアプリmajicaマジカがタップしても起動不具合しなかったので,ドンキホーテでアプリmajicaマジカがタップしても起動不具合しなかった
t_537481,majica,2021-11-26T00:48:17.000Z,、majicaアプリが開かなくなった,majicaアプリが開かなくなった
t_537530,majica,2021-12-04T13:18:02.000Z,majicaアプリを登録しようとするも認証コードメールが一向に届かなくて全然登録できない,認証コードメールが一向に届かなくて全然登録できない
t_537542,majica,2021-11-26T02:32:20.000Z,majicaで支払いしようと思ったのにアプリが開かない,アプリが開かない
t_537569,majica,2021-11-10T06:58:24.000Z,majicaアプリ機種変すると確実にあってるパスワードでも間違ってるってエラーにするよな,majicaアプリ機種変すると確実にあってるパスワードでも間違ってるってエラーにするよな
t_537716,majica,2021-11-28T18:48:47.000Z,数日前からアプリを開いた瞬間にmajicaが繰り返し停止しています,数日前からアプリを開いた瞬間にmajicaが繰り返し停止しています
t_537730,majica,2021-11-02T23:56:27.000Z,しかも私の地元で保々スマホ決済出来る店舗が多いのにドンキだけmajicaカードしか使えないのはちょっとどうかと思う,ドンキだけmajicaカードしか使えない
t_537765,majica,2021-11-10T06:58:24.000Z,で、2回チャレンジして次にパスワードをお忘れの方ってリンク踏むと30分ロックかけるよな,で、2回チャレンジして次にパスワードをお忘れの方ってリンク踏むと30分ロックかける
t_537773,majica,2021-12-02T01:56:25.000Z,ドンキホーテに来たけど、クーポン使えなくて困っております,クーポン使えなくて
t_537963,majica,2021-10-22T03:18:05.000Z,majicaアプリがサーバに繋がらない_:3∠_,majicaアプリがサーバに繋がらない
t_537968,majica,2021-11-29T22:55:43.000Z,ドンキの電子マネーマジカmajicaのアプリが開かない不具合出てるみたい,ドンキの電子マネーマジカmajicaのアプリが開かない
t_538048,majica,2021-11-26T01:51:10.000Z,今店にいるのにドンキのアプリが開かない,ドンキのアプリが開かない
t_538092,majica,2021-11-20T13:05:13.000Z,kyashも6gramもtoyotawalletも使える状況だが、どんなに工夫してもメルペイ、linepay、majicaの3種はどうしてもチャージできない気がする,メルペイ、linepay、majicaの3種はどうしてもチャージできない
t_538138,majica,2021-11-27T07:48:04.000Z,マジカアプリが起動せず,マジカアプリが起動せず
t_538153,majica,2021-11-28T03:17:30.000Z,起動したら元の画面に戻ってしまう,起動したら元の画面に戻ってしまう
t_538251,majica,2021-11-29T01:10:34.000Z,majicaアプリ全然開かんのやけどどうなってんのコレ,
t_538281,majica,2021-11-27T08:20:54.000Z,今日もドンキのmajicaアプリつながらないけど、レジのところに1部端末で不具合が出てるって案内が貼ってある,
t_538286,majica,2021-11-27T13:30:21.000Z,majicaアプリ開いてみたら落ちるw,majicaアプリ開いてみたら落ちる
t_538370,majica,2021-11-27T22:53:33.000Z,うん再インスコでいけるっぽいけどそもそもカードなくてもアプリ入れたら全部解決するって言うのがドン・キホーテが言うところのmajicaアプリなんでカードないと再登録できないとかいうシステムが糞だって話wそれなら紐付けメアドと電話番号にしとけやっていう,うん再インスコでいけるっぽいけどそもそもカードなくてもアプリ入れたら全部解決するって言うのがドン・キホーテが言うところのmajicaアプリなんでカードないと再登録できない
t_538407,majica,2021-11-28T05:09:24.000Z,使えないのは,
t_538427,majica,2021-11-29T00:08:13.000Z,majicaアプリ開けないんだけど,
t_538437,majica,2021-12-02T02:21:45.000Z,アクセス集中しすぎてmajicaアプリのクーポン使えないw,アクセス集中しすぎてmajicaアプリのクーポン使えない
t_538499,majica,2021-11-27T13:53:02.000Z,ドンキのmajicaアプリが開けなくて困ってたけど機内モード使えば開くの初めて知った,ドンキのmajicaアプリが開けなくて
t_538525,majica,2021-10-28T03:11:22.000Z,さっき駅の券売機でmanacaにチャージしようとしたら出来なくて、何で,manacaにチャージしようとしたら出来なくて
t_538611,majica,2021-11-09T13:51:04.000Z,使えないです,
t_538626,majica,2021-10-21T03:09:17.000Z,授業中に何故かmajicaポイントの歌が頭から離れなくなった,majicaポイントの歌が頭から離れなくなった
t_538651,majica,2021-11-25T09:16:32.000Z,ちょっと待ってmajicaアプリ更新したらすぐ落ちるんだがしまったぁやっちまった,
t_538653,majica,2021-11-23T22:45:04.000Z,majicaの端末、自店電子マネーはmajicaのみしか利用できないけど、残高不足時の操作が面倒くさい,残高不足時の操作が面倒くさい
t_538723,majica,2021-11-27T23:05:21.000Z,majica起動せず,
t_538732,majica,2021-11-28T12:16:47.000Z,何かを始めようとすると現れる見えない壁店舗せどりを始める一歩目としてドンキのmajicaアプリを知っていたが使い方がわからない面倒くさいこんな思いから後回しにしていた,使い方がわからない面倒くさい
t_538736,majica,2021-12-01T08:01:19.000Z,現在一部端末のmajicaアプリにおいてシステム障害が発生しており、正常に作動しにくい状態が発生しております,正常に作動しにくい状態が発生しております
t_538794,majica,2021-11-14T15:48:01.000Z,ドンキでカラコン買おうとしたらmajica会員にさせられた,ドンキでカラコン買おうとしたらmajica会員にさせられた
t_538803,majica,2021-11-28T07:51:13.000Z,majicaのアプリが落ちるのは不具合なのか,majicaのアプリが落ちるのは不具合
t_538885,majica,2021-11-28T10:19:00.000Z,繋がらん,繋がらん
