id,app_name,datetime,context,prediction
t_539380,paypay,2021-10-22T16:32:06.000Z,昨日屋さんでpaypay使おうとしたら通信エラーで,通信エラー
t_539597,paypay,2021-10-27T12:05:34.000Z,こちらも何度も別アカウントで連絡してますがブロックされてしまいます,何度も別アカウントで連絡してますがブロックされてしまいます
t_539763,paypay,2021-10-27T14:59:49.000Z,プレミアムカードを作ってもサービスデスクが全然つながらないことや、paypayの不正利用が話題になったときに楽天カードは補償が渋かったという話を聞くだけど怖くて作れない,プレミアムカードを作ってもサービスデスクが全然つながらない
t_540102,paypay,2021-10-21T01:52:24.000Z,paypayならチャージ額決める、カードなら月使う額きたら通知来るようにしとく,paypayならチャージ額決める、カードなら月使う額きたら通知来るようにしとく
t_540432,paypay,2021-10-21T11:14:58.000Z,マックでえびフィレオセット買おうと思ったらpaypay使えなかった,マックでえびフィレオセット買おうと思ったらpaypay使えなかった
t_541024,paypay,2021-10-31T10:22:44.000Z,pasmoも電子にしようとしたけど、読み取ってくれなかった,読み取ってくれなかった
t_541368,paypay,2021-10-22T15:53:39.000Z,しかも、質問したら即ブロック,質問したら即ブロック
t_541500,paypay,2021-10-28T06:52:10.000Z,福岡に住んで半年以上経ちましたが、天神からpaypayドームまでの行き方が分からなくて迷子でした,天神からpaypayドームまでの行き方が分からなくて迷子でした
t_541502,paypay,2021-10-23T01:41:25.000Z,paypayの払い方わからん,paypayの払い方わからん
t_541510,paypay,2021-10-22T22:00:50.000Z,paypayの倍企画で詐欺られました,paypayの倍企画で詐欺られました
t_541664,paypay,2021-10-28T07:55:02.000Z,購入後の配送方法変更が出来ず事故ること有,購入後の配送方法変更が出来ず
t_541939,paypay,2021-10-22T01:43:09.000Z,今までマイル貯めてきたけど、外出しなくなってからマイル貯まらなく失効すること多くなってきた,
t_541968,paypay,2021-10-30T06:40:50.000Z,アイシティの通販、paypay決済できないのか,
t_542384,paypay,2021-10-28T12:57:15.000Z,アマギフとpaypayはスルーできない,
t_542418,paypay,2021-10-25T11:26:47.000Z,さっき父からpaypayに登録したら10万円あげるっていう詐欺のような電話がかかってきた,さっき父からpaypayに登録したら10万円あげるっていう詐欺のような電話がかかってきた
t_542520,paypay,2021-10-29T12:17:37.000Z,paypay足りないと音源途切れるの何回見ても草,paypay足りないと音源途切れる
t_542709,paypay,2021-10-22T01:05:01.000Z,ゴミ出しに外へ出て帰ってくるとドアのシステムキーが閉まっていて締め出された,ゴミ出しに外へ出て帰ってくるとドアのシステムキーが閉まっていて締め出された
