id,app_name,datetime,context,prediction
t_4575116,ファミペイ,2021-12-03T03:52:33.000Z,ファミマに高還元キャンペーンが殺到する異常事態となっています,
t_4575180,ファミペイ,2021-12-06T06:34:01.000Z,ログインできないとか言うから何事かと思った,ログインできない
t_4575188,ファミペイ,2021-11-10T02:38:53.000Z,ファミペイを実際にインストールしてクレカを登録しようとしたけど楽天カードは登録できないんすね,楽天カードは登録できない
t_4575324,ファミペイ,2021-11-20T08:05:09.000Z,ファミペイに現金でチャージしようと思いレジでチャージお願いしますといったらめんどくさいって言われたんですけど,ファミペイに現金でチャージしようと思いレジでチャージお願いしますといったらめんどくさい
t_4575349,ファミペイ,2021-12-10T15:30:11.000Z,他のチューハイとか他社のビールなら良かったのにサントリーの発泡酒にタダ酒の枠一個潰されたのが憎いファミペイは二度とサントリーのビールと発泡酒のタダ券を配るな,サントリーの発泡酒にタダ酒の枠一個潰された
t_4575353,ファミペイ,2021-12-09T07:30:09.000Z,急いでたせいでファミペイのクーポン使えてなかった,急いでたせいでファミペイのクーポン使えてなかった
t_4575395,ファミペイ,2021-12-06T06:10:03.000Z,なんとか予約できたけれど、ファミペイの使い方がわからなくて2回もキャンセルしてしまいました,
t_4575467,ファミペイ,2021-12-06T02:55:37.000Z,ファミマのコラボのやつ買おうと思ったけどファミペイのアプリインストール容量不足で無理だったから断念~~~どいつもこいつもアプリ入れろばかりで困っちゃうな,ファミペイのアプリインストール容量不足
t_4575485,ファミペイ,2021-11-25T15:20:37.000Z,ファミペイまた見づらくなった,ファミペイまた見づらくなった
t_4575501,ファミペイ,2021-11-29T11:04:01.000Z,smsの拒否してないのに、届かないってどーゆーことなんだ,smsの拒否してないのに、届かない
t_4575687,ファミペイ,2021-11-17T04:38:45.000Z,ファミリーマートで500円以上の買い物を2回して、参加券2つもらった場合、プロモーションコードの一つをプレゼントするつもりだったですが、画面遷移が分かりづらいくて、同じアカウントに対して2回適用してしまったみたいです,画面
t_4575694,ファミペイ,2021-11-30T04:40:02.000Z,ファミペイ、飲み物配布を受けられなくて泣いている,ファミペイ、飲み物配布を受けられなくて
t_4575755,ファミペイ,2021-12-04T11:14:03.000Z,強く改善を要求する,強く改善を要求する
t_4575758,ファミペイ,2021-11-21T13:01:55.000Z,あと下の方の商品ジャンルが並んでるメニュー部分が長すぎる,商品ジャンルが並んでるメニュー部分が長すぎる
t_4575830,ファミペイ,2021-11-10T10:06:53.000Z,wi-fi環境ですら起動に失敗する,wi-fi環境ですら起動に失敗する
t_4575839,ファミペイ,2021-12-05T22:53:33.000Z,アプリダウンロードしないとダメなの,
t_4575958,ファミペイ,2021-12-06T08:44:52.000Z,ファミペイとポイントカードがうまく連携されてなくてレジ前であわあわしてしまって恥ずかしい,ファミペイとポイントカードがうまく連携されてなくて
t_4575962,ファミペイ,2021-11-13T06:31:45.000Z,ファミペイの無料クーポンの商品が、そもそも店頭にない,ファミペイの無料クーポンの商品が、そもそも店頭にない
t_4576205,ファミペイ,2021-11-04T11:30:03.000Z,なんだかわかれば、アクセスが集中しないんじゃないかな,
t_4576226,ファミペイ,2021-11-27T09:11:47.000Z,うっかりファミペイ翌月払いの引き落とし忘れててみずほ銀行を解約してしまったので問い合わせたら、12/12までに新規に対象の銀行口座作って設定したら延滞料かからない,うっかりファミペイ翌月払いの引き落とし忘れててみずほ銀行を解約してしまったので問い合わせたら、12/12までに新規に対象の銀行口座作って設定したら延滞料かからない
t_4576266,ファミペイ,2021-12-06T04:00:28.000Z,容量ザコすぎて新しいアプリ入れるのためらう,
t_4576484,ファミペイ,2021-12-02T10:42:21.000Z,支払い後にキャンペーン分のポイント付与予定が表示されないのはちょっと不安,支払い後にキャンペーン分のポイント付与予定が表示されない
t_4576490,ファミペイ,2021-11-16T10:01:06.000Z,リプができなくなってますね,リプができなくなってます
t_4576929,ファミペイ,2021-11-04T01:58:20.000Z,ファミペイお試しクーポンあんまりいいのが出てこなくなった,ファミペイお試しクーポンあんまりいいのが出てこなくなった
t_4576967,ファミペイ,2021-11-17T12:09:24.000Z,→電話料金合算払いの額が多すぎて残高不足,→電話料金合算払いの額が多すぎて残高不足
t_4576995,ファミペイ,2021-12-01T03:16:15.000Z,わけわからんくなってくるわ,わけわからんくなってくる
t_4577032,ファミペイ,2021-10-30T07:33:19.000Z,うちのjcbオリジナルシリーズをファミペイチャージで使われて還元するなんて嫌だというドケチなので、jcbが発行するクレカ及び3ds対応プリカはファミペイに登録できない,jcbが発行するクレカ及び3ds対応プリカはファミペイに登録できない
