id,app_name,datetime,context,prediction
t_4599645,楽天ペイ,2021-12-12T13:03:07.000Z,機種変したら楽天ペイ使えなくて焦ったけど一回削除して再インストールしたらまた使えるようになった〜,機種変したら楽天ペイ使えなくて
t_4599648,楽天ペイ,2021-12-03T00:02:06.000Z,楽天ペイ、決済エラーでもお金はしっかり引き落とされる不具合が密かに多発:市況かぶ全力2階建,決済エラーでもお金はしっかり引き落とされる不具合
t_4599650,楽天ペイ,2021-12-02T22:38:51.000Z,楽天ペイ、決済エラーでもお金はしっかり引き落とされる不具合が密かに多発:市況かぶ全力2階建,決済エラーでもお金はしっかり引き落とされる不具合
t_4599668,楽天ペイ,2021-11-06T08:28:04.000Z,楽天ペイがうまく使えません,楽天ペイがうまく使えません
t_4599677,楽天ペイ,2021-11-06T00:25:30.000Z,cokeonでたまに支払いをミスる時がありますが、その時、kyashを連携された楽天ペイの場合、楽天ポイントは数分で戻ってくるけど、kyashは数日かかる,kyashは数日かかる
t_4599695,楽天ペイ,2021-11-28T08:52:42.000Z,決済できませんでしたのメールが来るのに時差があり結局完売で2度買い逃した,決済できませんでしたのメールが来るのに時差があり
t_4599705,楽天ペイ,2021-11-07T02:48:14.000Z,サービスが重複してる気がするので統合集約してサービス価値を高めてほしい,統合集約してサービス価値を高めてほしい
t_4599715,楽天ペイ,2021-10-25T06:42:04.000Z,それ以降ですと生産の都合上その2つのお支払い方法の選択が出来なくなります,それ以降ですと生産の都合上その2つのお支払い方法の選択が出来なくなります
t_4599740,楽天ペイ,2021-11-14T14:18:39.000Z,問い合わせたところ、利用頻度によって上限が下がることがあるとのこと,
t_4599756,楽天ペイ,2021-12-03T05:21:41.000Z,/“楽天ペイ、決済エラーでもお金はしっかり引き落とされる不具合が密かに多発:市況かぶ全力2階建”,決済エラーでもお金はしっかり引き落とされる不具合
t_4599775,楽天ペイ,2021-12-02T10:34:38.000Z,セブンイレブンで楽天ペイ払いにしたようとしたけど通信エラーになって払えなくて、別の方法で支払って帰ったら、三通支払い完了メールが,
t_4599794,楽天ペイ,2021-10-31T08:11:17.000Z,通販で最新の新品グラボ売ってたから買おうと思い、楽天ペイだとポイント還元が4%になるので粛々と手続きを進めていたのだが最後のパスワードに失敗して購入できず,購入できず
t_4599809,楽天ペイ,2021-12-12T09:54:16.000Z,ふるさとチョイスで楽天ペイ選ぶと申込みのたびにクレカ追加登録しないと先に進めなくて草,ふるさとチョイスで楽天ペイ選ぶと申込みのたびにクレカ追加登録しないと先に進めなくて
t_4599965,楽天ペイ,2021-12-05T00:44:10.000Z,"""楽天グループ傘下の楽天銀行で3日までに、スマホ決済の楽天ペイや電子マネーの楽天edyにチャージができないまま利用者の銀行口座から金額が引き落とされる不具合が発生した""",スマホ決済の楽天ペイや電子マネーの楽天edyにチャージができないまま利用者の銀行口座から金額が引き落とされる不具合が発生した
t_4600008,楽天ペイ,2021-12-02T22:27:24.000Z,楽天ペイ、決済エラーでもお金はしっかり引き落とされる不具合が密かに多発-市況かぶ全力2階建,決済エラーでもお金はしっかり引き落とされる不具合
t_4600016,楽天ペイ,2021-12-02T23:15:52.000Z,楽天ペイ、決済エラーでもお金はしっかり引き落とされる不具合が密かに多発:市況かぶ全力2階建,決済エラーでもお金はしっかり引き落とされる不具合
t_4600023,楽天ペイ,2021-12-12T00:22:02.000Z,楽天ペイで決済しようと思ったのですが、何度チャレンジしてもエラーが出てしまいます,エラーが出てしまいます
t_4600064,楽天ペイ,2021-12-03T01:13:28.000Z,◎楽天ペイ、決済エラーでもお金はしっかり引き落とされる不具合が密かに多発:市況かぶ全力2階建,決済エラーでもお金はしっかり引き落とされる不具合
t_4600072,楽天ペイ,2021-12-03T00:08:30.000Z,えら-いこっちゃ/“楽天ペイ、決済エラーでもお金はしっかり引き落とされる不具合が密かに多発:市況かぶ全力2階建”,決済エラーでもお金はしっかり引き落とされる不具合
t_4600073,楽天ペイ,2021-11-03T03:18:21.000Z,5g対応スマホ使っているんだけど楽天ペイ使うとき5gと4gの境目なのかどこかのwi-fi拾ってるかで開いててもエラーが出る,5gと4gの境目なのかどこかのwi-fi拾ってるかで開いててもエラーが出る
t_4600079,楽天ペイ,2021-12-03T23:20:18.000Z,最近、スマホ決済サービスの不具合が多いですね,スマホ決済サービスの不具合が多い
t_4600088,楽天ペイ,2021-12-09T03:21:42.000Z,結局ペイ系は、aupayとメルペイがキャンペーン専用ペイで、linepayは友人送金ペイとなってしまってる,aupayとメルペイがキャンペーン専用ペイで、linepayは友人送金ペイとなってしまってる
t_4600143,楽天ペイ,2021-10-25T08:24:13.000Z,楽天ペイ連携でエラーで使えず,楽天ペイ連携でエラーで使えず
t_4600148,楽天ペイ,2021-10-25T06:31:24.000Z,かながわpayで買い物しようとしたら、d払いは支払いエラーだし、楽天ペイはアプリがインストールされてないと出るしで、支払えなくて散々苦労した,
t_4600187,楽天ペイ,2021-11-02T16:41:00.000Z,楽天の情報のみ更新しても、booth自動連携しないから,
t_4600196,楽天ペイ,2021-11-27T16:23:12.000Z,楽天ペイ、すき家なか卯セイムスコーナンで使える時点で生活圏ほぼ網羅してるけど何故マックで使えないのか,楽天ペイ、すき家なか卯セイムスコーナンで使える時点で生活圏ほぼ網羅してるけど何故マックで使えないのか
t_4600201,楽天ペイ,2021-10-28T09:17:01.000Z,昨日くらいから楽天ペイがエラーで使えない,楽天ペイがエラーで使えない
t_4600300,楽天ペイ,2021-12-10T05:17:15.000Z,ポイントで払ってるのになぜかポイントが作っていうバグがまたあります,ポイントで払ってるのになぜかポイントが作っていうバグがまたあります
t_4600314,楽天ペイ,2021-11-16T14:54:16.000Z,楽天商圏に思いっきり入り浸ってやろうと決意して色々と移行作業を進めてるが、楽天ペイで決済完了後、強制的にキャンペーンページへ飛ばされてあ、楽天だわ,強制的にキャンペーンページへ飛ばされてあ
t_4600318,楽天ペイ,2021-12-02T03:42:45.000Z,楽天ペイのsuica、開く度にaa_jrf3005のエラーコード出てチャージも残高確認も出来なくて地味に困る,楽天ペイのsuica、開く度にaa_jrf3005のエラーコード出てチャージも残高確認も出来なくて
t_4600351,楽天ペイ,2021-12-03T12:45:10.000Z,楽天ペイ、決済エラーでもお金はしっかり引き落とされる不具合が密かに多発-市況株全力2階建:を読む,決済エラーでもお金はしっかり引き落とされる不具合
t_4600353,楽天ペイ,2021-12-08T02:27:58.000Z,コンビニ以外でも使えるようになって欲しい,コンビニ以外でも使えるようになって欲しい
t_4600362,楽天ペイ,2021-12-10T06:39:06.000Z,使える店少なすぎねぇか,
t_4600390,楽天ペイ,2021-11-05T00:59:00.000Z,あっどうでもいいけど楽天ペイはアプリが大変使いづらいので、どうにかした方がいい,アプリが大変使いづらい
t_4600393,楽天ペイ,2021-12-04T12:24:49.000Z,楽天ペイが接続エラーで昨日から使えないのは俺だけだろうか,楽天ペイが接続エラー
t_4600412,楽天ペイ,2021-12-03T14:02:42.000Z,楽天ペイ、決済エラーでもお金はしっかり引き落とされる不具合が密かに多発:市況かぶ全力2階建,決済エラーでもお金はしっかり引き落とされる不具合
t_4600430,楽天ペイ,2021-10-30T02:01:36.000Z,なんか、地元のキャンペーン使うためにdペイとか楽天ペイみたいなの検討してるんだけど、死ぬほど使いにくいな,死ぬほど使いにくい
t_4600444,楽天ペイ,2021-12-06T00:57:00.000Z,楽天ペイとかペイ系のほうが良いんでしょうけど、携帯調子悪めなのでうまくいかんと嫌になったり,携帯調子悪めなのでうまくいかんと嫌になったり
t_4600463,楽天ペイ,2021-12-04T05:35:11.000Z,楽天ペイではチャージ不成立でも引き落とし、またドコモd払いでも一時利用しづらく:時事ドットコム,チャージ不成立でも引き落とし、またドコモd払いでも一時利用しづらく
t_4600545,楽天ペイ,2021-11-07T12:29:46.000Z,今楽天ポイントがすごく使いづらいから,
t_4600570,楽天ペイ,2021-12-13T11:24:54.000Z,いつも利用してるダイソーとか関西スーパーとかではpaypayは使えるのに楽天ペイは使えないから結局あまり活用できてなかった,いつも利用してるダイソーとか関西スーパーとかではpaypayは使えるのに楽天ペイは使えない
t_4600598,楽天ペイ,2021-11-17T23:53:31.000Z,電波オークションとは関係ないのですが、iphone機種変してから楽天ペイが使えなくなってます,iphone機種変してから楽天ペイが使えなくなってます
t_4600618,楽天ペイ,2021-12-03T01:42:38.000Z,さすが楽天/“楽天ペイ、決済エラーでもお金はしっかり引き落とされる不具合が密かに多発:市況かぶ全力2階建”,決済エラーでもお金はしっかり引き落とされる不具合
t_4600625,楽天ペイ,2021-11-01T21:00:00.000Z,何かのニュースから先が読めないと選択に時間がかかる,何かのニュースから先が読めないと選択に時間がかかる
t_4600646,楽天ペイ,2021-12-02T23:52:05.000Z,楽天ペイ、決済エラーでもお金はしっかり引き落とされる不具合が密かに多発:市況かぶ全力2階建,決済エラーでもお金はしっかり引き落とされる不具合
t_4600660,楽天ペイ,2021-12-02T22:33:14.000Z,“楽天ペイ、決済エラーでもお金はしっかり引き落とされる不具合が密かに多発:市況かぶ全力2階建”,決済エラーでもお金はしっかり引き落とされる不具合
