id,app_name,datetime,context,prediction
g_510,coke_on,2023-11-29 06:37:20,あと、残高はトップ画面に表示して欲しい,残高はトップ画面に表示して欲しい
g_511,coke_on,2023-11-01 21:38:22,ただ、いざ買おうと立ち寄る自動販売機が対応でないものが多く、少し残念です,自動販売機が対応でないものが多く
g_512,coke_on,2023-12-11 21:38:04,見えるように戻して欲しいです,見えるように戻して欲しい
g_515,coke_on,2023-11-16 21:22:04,アプリを開くと通知が出てきて操作の邪魔をする自販機によっては接続しにくく値上げでコンビニの方が安くて旨い,アプリを開くと通知が出てきて操作の邪魔をする
g_517,coke_on,2023-10-17 23:38:00,ドリンクチケットを使用したが、製品が出てこず、チケットも使用したことになっていた,製品が出てこず、チケットも使用したことになっていた
g_518,coke_on,2023-11-19 09:28:57,使いやすくて満足なんですが、たまになかなか接続できない自販機がある,接続できない自販機がある
g_520,coke_on,2023-10-26 21:27:34,キャップ裏のコードやバーコードを読み込まないのでせっかくのキャンペーンに参加できず,キャップ裏のコードやバーコードを読み込まない
g_523,coke_on,2023-11-28 20:28:17,1本サービスクーポンでお得に購入できるのがいいねでも、時々接続ができず使えないときがあるので-1です,接続ができず
g_524,coke_on,2023-12-10 14:56:50,歩くとスタンプがもらえて励みにもなるし、あともう少しで貰えそうだから歩かなくちゃ,歩かなくちゃ
g_526,coke_on,2023-12-01 16:52:18,あと、置いて欲しいです,あと、置いて欲しい
g_527,coke_on,2023-11-19 17:01:23,他のポイ活系アプリは問題なく連動されるのに、このアプリだけ数百〜数千歩も少なく表示されます,数百〜数千歩も少なく表示されます
g_530,coke_on,2023-10-13 06:26:27,最後に、支払い完了だと思われる購入ボタンが点灯した後商品が出なかった事例一件購入履歴が出なかったのでエラー処理されたかも一分以上待ったが出てこない急いでた為離れたので諦めた事例一件購入履歴になってたがありました,商品が出なかった事例一件購入履歴が出なかったのでエラー処理されたかも一分以上待ったが出てこない
g_534,coke_on,2023-10-11 08:24:14,お世話になっております最近ですがアプリを長期間使用してますがなぜか数ヶ月以内にアプリ内のデータが全クリアみたいになり大変こまったております早急に改善ねがいます,早急に改善ねがいます
g_538,coke_on,2023-12-11 21:38:04,今日気づいたけれど、歩数の累計が見えなくなったの何で,歩数の累計が見えなくなった
g_539,coke_on,2023-11-24 20:10:40,galaxyzfold5早期対応お願いします,galaxyzfold5早期対応お願いします
g_543,coke_on,2023-12-06 05:39:19,販売機にキャンペーンの商品が入っていないので、購入したいのに出来ない,販売機にキャンペーンの商品が入っていない
g_544,coke_on,2023-11-21 01:44:12,スタンプ集めは良いとして、改善点としてはエラーが頻繁に起きやすい,エラー
g_546,coke_on,2023-10-24 16:45:44,2週間チャレンジが情報を取得出来ません再度アクセスしてくださいと表示されるが今度やっても同じ,2週間チャレンジが情報を取得出来ません
g_549,coke_on,2023-10-15 12:51:08,2023/10/15追記コスタキャンペーンについて、メールで問い合わせると自販機に書いてあるカスタマーに電話との事,2023/10/15追記コスタキャンペーンについて、メールで問い合わせると自販機に書いてあるカスタマーに電話と
g_551,coke_on,2023-11-30 12:03:52,アップデート出来ません,アップデート出来ません
g_552,coke_on,2023-11-30 15:05:35,とりあえず通信が遅い買ってジュースが出てくるまでもの凄く時間が掛かるとてもじゃないけど並ぶ自販機では使えない人に迷惑をかけるアプリ自分みたいに工事現場で休憩時間などに、職人達が一斉に買いに来るところでは白い目を気にしなければいけないアプリです,通信が遅い買ってジュースが出てくるまでもの凄く時間が掛かる
g_555,coke_on,2023-10-17 08:25:07,・接続遅い,接続遅い
g_557,coke_on,2023-10-23 03:59:21,全ての自販機に対応してくれればいいのに,全ての自販機に対応してくれればいい
g_559,coke_on,2023-10-09 19:05:02,キャップの読み取りできない商品つくらんといて電池と時間の無駄,キャップの読み取りできない商品つくらんといて電池と時間の無駄
g_561,coke_on,2023-12-19 01:41:40,このアプリは便利だけど不安定過ぎて嫌になります,
g_562,coke_on,2023-10-22 05:46:19,契約等の問題があるのだろうが、もっと増えればいいかと思う,契約等の問題があるのだろうが、もっと増えればいい
g_566,coke_on,2023-11-11 19:36:13,使用者の使い勝手よりも自分たちの制御しやすさを優先している,使用者の使い勝手よりも自分たちの制御しやすさを優先している
g_571,coke_on,2023-10-28 21:05:19,自販機によっては青歯の接続が不安定で購入が反映されなかったりも実際出くわしたが,自販機によっては青歯の接続が不安定
g_573,coke_on,2023-10-08 20:02:32,cokeonの自販は少ない,cokeonの自販は少ない
g_577,coke_on,2023-10-23 07:29:02,誕生日から1週間スタンプ2倍って通知来たんだけどキャッシュレスのスタンプ2倍と被るから何の恩恵も受けないんですけど,キャッシュレスのスタンプ2倍と被るから何の恩恵も受けない
g_584,coke_on,2023-11-21 12:27:48,日中ですと画面が見づらく、あとからびっくりしましたできたらチケットがあるときはチケットを優先されるとありがたいです,画面が見づらく
