id,app_name,datetime,context,prediction
g_6906,にゃんトーク,2023-12-03 02:27:55,2年前位にインストールした際、当初は録音も記録を聞くのも無料で、アプリ内の表示だけ広告があったような気がしましたが、いつの間にか聴くことすら出来ず有料化されていました,
g_6907,にゃんトーク,2023-10-18 18:34:25,とんでもなく使いづらいアプリになってしまっていたので即アンインストールしました,使いづらいアプリになって
g_6909,にゃんトーク,2023-10-18 18:34:25,昔はラインのチャットみたいに連続で何語か出て来ませんでしたっけ,出て来ません
g_6910,にゃんトーク,2023-10-18 18:34:25,猫の鳴くチャンスなんて殆どないのに,猫の鳴くチャンスなんて殆どない
g_6913,にゃんトーク,2023-10-17 08:26:56,精度うんぬんの前に有料にしないと見れない、何度広告を見ても有料版への誘導画面に行き戻ると最初からになるため試すだけ時間の無駄,有料版への誘導画面に行き戻ると最初からになる
g_6914,にゃんトーク,2023-10-16 14:17:53,久しぶりに使ってみたら広告やら有料アップグレード必須になって、しかも日本語もアップグレードしないと表示されない,広告やら有料アップグレード必須になって、しかも日本語もアップグレードしないと表示されない
g_6916,にゃんトーク,2023-11-28 19:52:44,すぐプレミアムに登録させようと表示してくる,すぐプレミアムに登録させようと表示してくる
g_6917,にゃんトーク,2023-11-15 06:03:37,昔よく利用していて、また使ってみようと開いて更新したら有料になってた,開いて更新したら有料になってた
g_6918,にゃんトーク,2023-11-28 09:34:10,広告なが、うざ、全く機能しなくなりました、最悪なアプリ,広告なが、うざ、全く機能しなくなりました
g_6922,にゃんトーク,2023-10-18 18:34:25,なので翻訳できるのは最初のひと鳴きだけ,
g_6927,にゃんトーク,2023-11-28 17:24:51,課金しないと何もできない,課金しないと何もできない
g_6928,にゃんトーク,2023-10-18 18:34:25,猫の最初のひと鳴きを録音した瞬間広告を見ないと進めず何もできません,広告を見ないと進めず何もできません
g_6930,にゃんトーク,2023-10-18 18:34:25,とも思いましたが日本語にするにはプレミアムに加入を進められて使い勝手がここまで悪いと課金する気にもなれませんでした,日本語にするにはプレミアムに加入を進められて使い勝手がここまで悪いと課金する気にもなれません
g_6931,にゃんトーク,2023-11-15 06:03:37,前の音声聞けないしもうアンインストールします,前の音声聞けない
g_6932,にゃんトーク,2023-12-03 02:27:55,事前に通達があった記憶もなく、子猫の頃のうちのこ達の声ももう聞けない状態だったので、アンインストールしました,事前に通達があった記憶もなく、子猫の頃のうちのこ達の声ももう聞けない状態だった
g_6933,にゃんトーク,2023-10-20 17:07:09,前は鳴き声を聞く度に翻訳されていたが、今は高頻度の広告のせいでまともに使えません,高頻度の広告のせいでまともに使えません
