id,app_name,datetime,context,prediction
t_51724,simeji,2023-11-22 04:00:54+00:00,simejiが起動しなくて文字打ちにくい,simejiが起動しなくて文字打ちにくい
t_51890,simeji,2023-11-22 12:51:52+00:00,機種変に伴い前のdmc5ンテvs5ネロの画像どっから持ってきたんか分からんくなってsimeji新調,機種変に伴い前のdmc5ンテvs5ネロの画像どっから持ってきたんか分からん
t_52020,simeji,2023-12-21 12:18:58+00:00,私も届かないことあったんだけど、simejiじゃなくて日本語かなにするとsmsからって表示とともにパスワード表示されたりするから良ければやって見て,私も届かないことあったんだけど、simejiじゃなくて日本語かなにするとsmsからって表示とともにパスワード表示されたりする
t_52301,simeji,2023-12-21 11:20:37+00:00,今まで絵文字入れてたらエラーで入力できなかったけど,今まで絵文字入れてたらエラーで入力できなかった
t_52369,simeji,2023-12-21 21:43:44+00:00,xでsimeji使えなくなったんだけど,xでsimeji使えなくなった
t_52404,simeji,2023-11-22 08:06:46+00:00,simeji反応しないの辛いな,
t_52594,simeji,2023-12-21 10:11:24+00:00,simeji変な変換多すぎん,simeji変な変換多すぎん
t_52947,simeji,2023-10-16 00:44:34+00:00,何かsimeji使ってるんだけ使ったこともない文章に変換とかされて困るよく見てない私が1番悪いけど,何かsimeji使ってるんだけ使ったこともない文章に変換とかされて
t_52978,simeji,2023-10-24 12:38:08+00:00,個人情報打つのめんどくさいなと思う,個人情報打つのめんどくさい
t_53306,simeji,2023-11-22 14:15:42+00:00,タイピングしてるときに勝手にsimejiのアプリに移動されるのがうざい,タイピングしてるときに勝手にsimejiのアプリに移動される
t_53675,simeji,2023-11-22 19:49:28+00:00,重たくなって携帯使えなくなるんだよなぁ,
t_53711,simeji,2023-12-21 09:57:11+00:00,変換も意味わからん,変換も意味わからん
t_53976,simeji,2023-11-22 15:39:22+00:00,タブレット、simejiとの相性悪くて初期キーボードのままなんだけどめちゃくちゃ使いにくいな、、、、変換ミス多すぎ、、、,変換ミス多すぎ
t_54144,simeji,2023-11-22 14:19:37+00:00,なんか今はもう直りましたけどこのツイートした時1ミリも反応しなくてiphone初期のキーボードしか使えなかったです,反応しなくてiphone初期のキーボードしか使えなかった
t_54311,simeji,2023-11-21 23:01:29+00:00,で運用してるけど、切り替える時に再起動しないといけないのがネック,切り替える時に再起動しないといけない
t_54446,simeji,2023-11-22 05:04:25+00:00,simejiに戻すけどsimejiで新しい絵文字が一覧にないうんち,simejiに戻すけどsimejiで新しい絵文字が一覧にない
t_54516,simeji,2023-11-22 22:49:07+00:00,キーボード反応悪すぎる,キーボード反応悪すぎる
t_54585,simeji,2023-10-24 13:46:06+00:00,電池すぐ減るけど、軽いし小さいし懐かしいアプリが大量に入ってたよ,電池すぐ減る
t_54650,simeji,2023-10-24 13:45:17+00:00,simejiが出た時からずっと使ってて、キーボード背景も自分の好きな画像3種選べてたのに数ヶ月前からそれなくなって文字ボードも選べなくなった有料化文字打ちにくいw,
t_54658,simeji,2023-11-22 00:43:40+00:00,lineで使おうと思ったらフリーズして少し時間経ってiphoneのデフォルトキーボードに戻される,lineで使おうと思ったらフリーズして少し時間経ってiphoneのデフォルトキーボードに戻される
t_54667,simeji,2023-10-24 13:44:33+00:00,今はiphoneなのですが以前android使っていた時にメーカー毎のキーボードのクセがあり、それに慣れなくてsimeji入れて使っていて今もそのまま名残で使ってます,メーカー毎のキーボードのクセがあり
t_54757,simeji,2023-10-15 17:09:18+00:00,同じsimejiなのに端末違うと出てこないとかある,
t_54954,simeji,2023-10-16 03:00:33+00:00,泥とあいふぉんでsimejiの仕様もちょっと違うので微妙な入力ミスが多い,simejiの仕様もちょっと違うので微妙な入力ミスが多い
t_55090,simeji,2023-12-21 09:57:11+00:00,反応遅いし、ムカつく,反応遅い
t_55205,simeji,2023-11-22 01:55:26+00:00,好きアピは前からされてたけど最近キモさが増しててホントにきつい何がきついってsimejiの絵文字付きでくるのが無理すぎる,好きアピは前からされてたけど最近キモさが増しててホントにきつい何がきついってsimejiの絵文字付きでくるのが無理すぎる
t_55242,simeji,2023-11-22 08:08:42+00:00,デフォルトだと羂索が変換で出ないから不空羂索観音までいちいち打たないといけないのでたまらずsimejiをインストール,デフォルトだと[UNK]が変換で出ないから不空[UNK]観音までいちいち打たないといけない
t_55259,simeji,2023-10-24 13:33:33+00:00,操作間違えてsimejiの背景が消えて焦った,操作間違えてsimejiの背景が消えて
t_55432,simeji,2023-10-24 12:49:03+00:00,simejiアプリ使ってると、入力する時に突如ワードがズレる事が多くてよく誤字あります,simejiアプリ使ってると、入力する時に突如ワードがズレる
t_55434,simeji,2023-10-15 16:27:16+00:00,simejiってアプリの更新入る度にスマホ再起動せな反映しないのか,simejiってアプリの更新入る度にスマホ再起動せな反映しないのか
t_55440,simeji,2023-11-22 14:20:13+00:00,simeji使えなくなった,simeji使えなくなった
t_55465,simeji,2023-12-21 12:52:19+00:00,simeji、文字消してると時々めちゃくちゃ一気に消える事あって調べたらバックスペースを左スワイプすると一括削除ってやつで消えるらしい,文字消してると時々めちゃくちゃ一気に消える
t_55496,simeji,2023-12-21 21:43:44+00:00,キーボードの選択肢に出てこないgoogleの検索とかでは使えるから昨日のやつで使えなくなったくさい,キーボードの選択肢に出てこないgoogleの検索とかでは使えるから昨日のやつで使えなくなった
t_55531,simeji,2023-11-22 14:20:58+00:00,感度もiphoneと違うし予測変換してくれなくて,感度もiphoneと違うし予測変換してくれなくて
t_55682,simeji,2023-11-22 03:42:34+00:00,simejiのアプリ、なんかめっちゃ使いにくくなってて泣きそう,simejiのアプリ、なんかめっちゃ使いにくくなってて
t_55834,simeji,2023-12-21 14:33:54+00:00,定期的にsimejiが勝手に解除されて元のキーボードに戻るの本当にどうにかなんねぇのか,simejiが勝手に解除されて元のキーボードに戻る
t_56092,simeji,2023-10-24 08:47:24+00:00,simeji便利だけど文字勝手に入力される機能オフに出来んのんかな,simeji便利だけど文字勝手に入力される機能オフに出来んのんかな
t_56436,simeji,2023-10-15 16:54:27+00:00,なんかsimejiの予測変換が変な暴れ方した,なんかsimejiの予測変換が変な暴れ方した
t_56487,simeji,2023-11-21 22:59:28+00:00,・バックキーと閉じるが近いため誤作動が起きやすい,
t_56693,simeji,2023-11-22 06:35:13+00:00,切り替えが面倒だからキリル文字のフリック入力にも対応してくれ,切り替えが面倒
t_56714,simeji,2023-10-15 16:25:08+00:00,simejiがつかえなくなった,simejiがつかえなくなった
t_56979,simeji,2023-11-22 09:38:50+00:00,誤タップでsimejiのマイク入力onになったままになってた,誤タップでsimejiのマイク入力onになったままになってた
t_57008,simeji,2023-10-15 22:29:05+00:00,めちゃくちゃわかる毎回打つのめんどくさいからsimejiに登録してる,めちゃくちゃわかる毎回打つのめんどくさい
t_57032,simeji,2023-10-16 02:49:37+00:00,急にsimeji使えなくなったんだが,急にsimeji使えなくなった
t_57113,simeji,2023-11-22 05:15:55+00:00,なぜかsimeji先生が使えなくなる不具合,simeji先生が使えなくなる不具合
t_57120,simeji,2023-11-21 22:59:28+00:00,・記号の出力がしにくい,記号の出力がしにくい
t_57268,simeji,2023-11-22 03:50:27+00:00,simejiのキーボードのタッチ音可愛いのにめちゃくちゃうるさいな,simejiのキーボードのタッチ音可愛いのにめちゃくちゃうるさい
t_57360,simeji,2023-11-22 17:37:45+00:00,simeji使えなくなったなぜ,simeji使えなくなった
t_57486,simeji,2023-10-15 15:40:13+00:00,rt:最近改めて英語を勉強しているのですが、綴りも曖昧だしそもそものローマ字入力が遅くて遅くて,綴りも曖昧だしそもそものローマ字入力が遅くて遅くて
t_57599,simeji,2023-12-21 23:35:47+00:00,discordってアプデするとsimeji使えなくなる,discordってアプデするとsimeji使えなくなる
