id,app_name,datetime,context,prediction
t_58635,スマートニュース,2023-12-18 07:43:23+00:00,たまに流れてくるゴミ記事が邪魔,ゴミ記事が邪魔
t_58664,スマートニュース,2023-10-13 10:24:08+00:00,voiceoverでニュースの見出しを読み上げできなくなっていた,voiceoverでニュースの見出しを読み上げできなくなっていた
t_58785,スマートニュース,2023-12-22 03:08:01+00:00,ところで、スマートニュース、記事のクリップ機能が無くなってる,スマートニュース、記事のクリップ機能が無くなってる
t_58820,スマートニュース,2023-10-22 23:33:30+00:00,誤クリックを意図的に誘発させようとしてんのかってくらい見にくい,
t_58843,スマートニュース,2023-10-11 21:50:52+00:00,日の出時刻が遅くなって局入りくらいになってきました,
t_59277,スマートニュース,2023-11-20 07:30:24+00:00,スマートニュースの記事のタイトルがvoiceoverで読み上げしてくれない,スマートニュースの記事のタイトルがvoiceoverで読み上げしてくれない
t_59382,スマートニュース,2023-12-19 06:52:00+00:00,発展の功労者が次々と役職を降りたことで、smartnewsのアメリカ市場での事業拡大は完全に行き詰った,発展の功労者が次々と役職を降りたことで、smartnewsのアメリカ市場での事業拡大は完全に行き詰った
t_59390,スマートニュース,2023-12-20 14:58:15+00:00,そう言えばヤフーやスマートニュースもウクライナの戦況図を出さなくなっている,
t_60192,スマートニュース,2023-11-22 15:32:27+00:00,スマートニュースで楽天ポイントがもらえなくなってしまう,楽天ポイントがもらえなくなってしまう
t_60386,スマートニュース,2023-10-12 22:47:16+00:00,スマートニュースのアプリを最新にしたらニュースのリストを全くもって読まなくなってしまった,スマートニュースのアプリを最新にしたらニュースのリストを全くもって読まなくなってしまった
t_60388,スマートニュース,2023-10-11 23:02:40+00:00,故にバグ発生と改善のタイミングにズレ,バグ発生と改善のタイミングにズレ
t_60461,スマートニュース,2023-10-11 21:44:33+00:00,日の出時刻が遅くなって局入りくらいになってきました,
t_60577,スマートニュース,2023-10-11 23:02:40+00:00,時間差質問問題は、まずアプデのタイミングがバラバラ,時間差質問問題は、まずアプデのタイミングがバラバラ
t_60604,スマートニュース,2023-10-22 23:33:30+00:00,twitterもスマートニュースも広告の見分けがつきにくい,twitterもスマートニュースも広告の見分けがつきにくい
t_60650,スマートニュース,2023-12-18 09:47:04+00:00,"ほとんど広告見なくなった""アメリカ最強アプリとまで評されたsmartnewsスマートニュースが失墜してしまった理由とは",
t_61036,スマートニュース,2023-10-12 21:44:51+00:00,スクショ機能の不具合でスマホを別スマホで撮影してるのでみにくくてごめん,スクショ機能の不具合でスマホを別スマホで撮影してるのでみにくくて
t_61163,スマートニュース,2023-12-22 01:00:12+00:00,スマートニュースとかgoogleの記事、一瞬現れて更新されるのやめてほしい,スマートニュースとかgoogleの記事、一瞬現れて更新されるのやめてほしい
t_61344,スマートニュース,2023-12-21 08:26:35+00:00,一時タイムラインもメディアとか他の所も見えなくなって,一時タイムラインもメディアとか他の所も見えなくなって
t_61456,スマートニュース,2023-10-14 00:35:46+00:00,voiceoverでニュースの見出しを読み上げできなくなっていた,voiceoverでニュースの見出しを読み上げできなくなっていた
t_61466,スマートニュース,2023-10-11 21:39:21+00:00,日の出時刻が遅くなって局入りくらいになってきました,
t_61480,スマートニュース,2023-12-20 09:13:50+00:00,スマートニュースのクーポンも塞がれて悲しい,スマートニュースのクーポンも塞がれて悲しい
t_61621,スマートニュース,2023-12-20 15:00:32+00:00,スマニュー+から気になってスマートフォーマットについて調べてみたら、スマートニュースの新規配信受付が止まっていた,スマートニュースの新規配信受付が止まっていた
t_61644,スマートニュース,2023-12-18 19:06:53+00:00,グノシーとかスマートニュースとか前狂ったように広告でてたのに最近じゃめっきり見なくなったね,グノシーとかスマートニュースとか前狂ったように広告でてたのに最近じゃめっきり見なくなった
t_61651,スマートニュース,2023-11-18 03:13:59+00:00,尚、起きて、スマートニュースは開かなかった,尚、起きて、スマートニュースは開かなかった
t_61664,スマートニュース,2023-11-20 07:23:57+00:00,スマートニュースのアプリもウィジェットも、一覧の更新は自動でなく手動になるよーにして欲しい,スマートニュースのアプリもウィジェットも、一覧の更新は自動でなく手動になるよーにして欲しい
t_61894,スマートニュース,2023-12-20 03:31:05+00:00,記事が謎すぎた,記事が謎すぎた
t_61895,スマートニュース,2023-10-13 22:01:44+00:00,"rt:旦那氏,アプリのスマートニュースを良く読むんだけど,最近ボイスオーバーで読み上げなくなったと嘆いてた",ボイスオーバーで読み上げなくなった
t_61947,スマートニュース,2023-12-21 03:41:56+00:00,あまりにも警察関係のニュース見すぎてスマートニュースの表示が警察関係のばっかりになった,スマートニュースの表示が警察関係のばっかりになった
t_62332,スマートニュース,2023-10-13 02:08:56+00:00,"旦那氏,アプリのスマートニュースを良く読むんだけど,最近ボイスオーバーで読み上げなくなったと嘆いてた","旦那氏,アプリのスマートニュースを良く読むんだけど,最近ボイスオーバーで読み上げなくなった"
t_62466,スマートニュース,2023-10-12 12:35:46+00:00,スマートニュースのアプリを最新にしたらニュースのリストを全くもって読まなくなってしまった,スマートニュースのアプリを最新にしたらニュースのリストを全くもって読まなくなってしまった
t_62595,スマートニュース,2023-10-21 08:43:47+00:00,しかも、本体のカメラ下部分が熱くなってるし,本体のカメラ下部分が熱くなってる
t_62734,スマートニュース,2023-11-17 01:22:03+00:00,スマートニュース、特定のキーワードのタイトルも持つ記事は表示させない機能ないのかな,特定のキーワードのタイトルも持つ記事は表示させない機能ないのかな
t_62848,スマートニュース,2023-10-13 22:56:10+00:00,"rt:旦那氏,アプリのスマートニュースを良く読むんだけど,最近ボイスオーバーで読み上げなくなったと嘆いてた",ボイスオーバーで読み上げなくなった
t_62857,スマートニュース,2023-12-18 07:43:23+00:00,スマートニュース、ソースメディアのブロックできるようにしてほしい,スマートニュース、ソースメディアのブロックできるようにしてほしい
t_62882,スマートニュース,2023-12-21 01:57:57+00:00,午前11時前、スマートニュースのアプリを介して運行情報を見たら、相鉄全線が“埼京・川越線内で発生した荷物挟まり”の影響で、遅延している,午前11時前、スマートニュースのアプリを介して運行情報を見たら、相鉄全線が“埼京・川越線内で発生した荷物挟まり”の影響で、遅延している
t_63276,スマートニュース,2023-12-18 04:07:07+00:00,時事に強くなりたくて一時期ちゃんと読んでたけど広告の量が苦痛でやめてしまった/“アメリカ最強アプリとまで評されたsmartnewsスマートニュースが失墜してしまった理由とは,
t_63710,スマートニュース,2023-12-20 23:49:09+00:00,スマートニュースで出てくる記事がクソみたいな芸能ゴシップとか、芸能人がテレビ番組でこう話したみたいななんの価値もない記事ばっかりで全然見てなかったけど、機種変してアプリの初期設定し直したとき間違えて男性にしたら車とか政治とかスポーツ選手の話題ばっかりになってちょっと新鮮,スマートニュースで出てくる記事がクソみたいな芸能ゴシップとか、芸能人がテレビ番組でこう話したみたいななんの価値もない記事ばっかりで全然見てなかったけど、機種変してアプリの初期設定し直したとき間違えて男性にしたら車とか政治とかスポーツ選手の話題ばっかりになってちょっと
t_64391,スマートニュース,2023-10-11 23:35:06+00:00,日の出時刻が遅くなって局入りくらいになってきました,
t_64927,スマートニュース,2023-12-21 07:19:32+00:00,不具合だったか,不具合
t_64971,スマートニュース,2023-11-22 13:39:39+00:00,スマートニュース見てるとたまに数年前の記事が出てくるのやめてほしい,スマートニュース見てるとたまに数年前の記事が出てくるのやめてほしい
t_65015,スマートニュース,2023-12-21 12:36:44+00:00,スマートニュースとかで通知来るくらい不具合だったみたいねw,スマートニュースとかで通知来るくらい不具合
t_65078,スマートニュース,2023-11-21 22:35:06+00:00,楽天ポイントもらえなくなります,
